job_title,job_ad_details,nation_short_desc
Plastics Die Operator,"<p>A fantastic opportunity to work with a highly focused and dedicated team in a long established business in Brisbane South. You will be an important part of our team as this role offers you the chance of seeing your hard work and process expertise utilised throughout the manufacturing process.<br /><br />As an injection moulding die setter you will be involved in all aspects of the injection moulding process, playing an important role relating to continuation of production with continuous improvement initiatives within an automated manufacturing facility.</p><p>To be successful in this role you will possess the following:</p><p><strong>Job tasks and responsibilities</strong></p><ul><li>Lead the Safety-First activities and drive risk mitigation</li><li>Understand and help champion LEAN initiatives</li><li>Proactively identify hazards to maintain our perfect record in safety in all aspects of the business</li><li>Assist in&nbsp;the safe continuous running of the shift and deliver the plastics production schedule</li><li>Perform intermediate machine and equipment trouble shooting.</li><li>Identify bottlenecks and work through solutions for smooth process flow</li><li>Pack product as per product quality plans</li><li>Organising completed production parts for warehousing</li><li>Ensure high product quality of all manufactured and finished goods</li></ul><p><strong>Skills and experience</strong></p><ul><li>A clear commitment to a Safety-First culture</li><li>Strong communication and interpersonal skills</li><li>A great team player</li><li>Plastic Injection Moulding and die setting experience is desirable.</li><li>The ability to influence outcomes and build a team culture</li><li>A ""can do"" and ""hands on"" proactive attitude</li><li>Have a current forklift licence</li></ul><p>If&nbsp;you strongly feel you can fit into this role please get in touch at&nbsp;gulshan@sdiplastics.com.au</p>",AUS
EL1 Annual Report Coordinator,"<HTML><p>We are looking for self starters who can project manage, coordinate and create an annual report!<br> <br> <strong>Your new company</strong><br> Demonstrate your project management expertise in this Annual Report role within a portfolio agency. This is a small and collaborative team within a statutory authority focusing on the planning and the development of their Annual Report.<br> <br> <strong>Your new role</strong><br> You will take lead in the development and coordination of this organisations Annual Report.<br> This will include:</p><ul><li>liaising with key areas of the organisation, writing and reviewing the content of these key documents</li><li>working with the design team to get the documents ready for tabling and publication.</li><li>proactively managing issues as required to deliver projects on time and on budget.</li></ul><p><br> <strong>What you'll need to succeed</strong><br> We are seeking an individual with previous experience in putting together an annual report. Strong project management and writing skills, along with the ability to effectively manage key stakeholders will ensure that you succeed in this position.<br> <br> <strong>What you'll get in return</strong><br> In return, you will have the opportunity to further develop your Annual Report skills whilst furthering your professional networks.<br> <br> <strong>What you need to do now</strong><br> If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.<br> If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.</p></HTML>",AUS
Trades Assistants- Expression of Interest,"<p><strong>CHAMP GROUP</strong></p><p>Family owned and operated | Servicing clients in Mining, Manufacturing, Construction and Government Sectors throughout Australia.</p><p>Building strong &amp; lasting partnerships by providing game changing workforce and facility solutions, all driven by the #TEAMCHAMP values.</p><p><strong>THE ROLE</strong></p><p>We are currently seeking a experienced Trade Assistants for workshop site-based work in the Perth Region Western Australia.</p><p>Workshop position duties will include fixing &amp; repairing vibrating screens on the CHPP, working in a harness, component change outs, fault finding, repairs and same day replacements.</p><p><strong>WHATS IN IT FOR YOU</strong></p><ul><li>Attractive hourly rate</li><li>Workshop  work</li><li>Ongoing role</li></ul><p><strong>TO BE CONSIDERED</strong></p><p><strong>You must meet the below criteria</strong></p><ul><li>Hold a current driver’s licence</li><li>Current Working at heights &amp; Confined Space</li><li>Be able to complete a Drug &amp; Alcohol screen</li><li>Be able to complete online inductions</li></ul><p>If you are interested apply today!</p><p><strong>recruitment@gochamp.com.au </strong></p>",AUS
Enrolled Endorsed Nurses (EEN) - Noosaville,"<p><strong>We&nbsp;will&nbsp;offer:</strong></p><ul><li>New Starter Reward Bonus of $200!</li><li>Immediate start</li><li>Great pay rates and weekly pays</li><li>High level of&nbsp;variety&nbsp;shift with a&nbsp;constant and reliable flow of work</li><li>Easy to use app to accept shifts and submit time sheets</li><li>Referral Bonus Scheme</li><li>Flexibility!&nbsp; We work around when you are available</li><li>Opportunities for education and personal development</li><li>Friendly and supportive team</li></ul><p><strong>About Us</strong></p><p>Crewe Sharp is one of the leading providers of agency nursing staff to Residential Aged Care facilities across Australia. We are seeking dedicated, caring, and compassionate&nbsp;nurses to work across a range of shifts. &nbsp;&nbsp;</p><p>If you are compassionate and have genuine empathy for the elderly, We Want You!</p><p><strong>To be successful, we require:&nbsp;</strong></p><ul><li>Minimum 6 months&nbsp;in Aged Care (preferred)</li><li>Current&nbsp;National Police Check</li><li>Current&nbsp;Senior First Aid / CPR Certificate</li><li>Mandatory current Flu Vaccination proof</li><li>Covid vaccinated as per QLD government requirements</li><li>Must have or be willing to obtain an NDIS workers screening card</li><li>Must have a&nbsp;driver’s licence,&nbsp;a&nbsp;reliable car and a mobile phone</li></ul><p><strong>If this sounds like you, please click&nbsp;on the link below and register by uploading your current resume, 2 industry-related referees, and availability.&nbsp;</strong></p><p><strong>Crewe Sharp</strong></p><p><strong>Together, we improve lives.</strong></p>",AUS
Part time Café All-rounder in Liverpool,<HTML>        A restaurant in Liverpool is seeking a part time Café All-rounder (up to 40 hours per week) to join our team.<br /><br />        To be considered for this role you should: <br />        <ul>                    <li>Be available at both days at weekends</li>                    <li>Have at least 3 years of experience as a Café All-rounder</li>                    <li>Have Australian work rights</li>                </ul>      </HTML>,AUS
Safety & Sustainability Manager,"<div><div>
 <p>At Interactive we want the way we do business to positively impact our people, the community, the environment and our business.  <br />   <br /> We’ve got programs in place but we always strive to do better. In this role, you’ll own our sustainability and WHS programs and drive us to hit greater heights. <br />   <br /> <strong>Here are some of the things you’ll own and execute in this role: </strong> </p>
<ul>
<li>Achieving ISO 14001 (Environment) and ISO 45001 (WHS) accreditations  </li>
<li>Owning the overall strategy for our sustainability and WHS programs and ensuring it aligns with our overall business strategy and objectives </li>
<li>Introducing more sophisticated metrics to track our sustainability performance  </li>
<li>Embedding a more commercial mindset to our sustainability program </li>
<li>Telling our story to prospective customers and external stakeholders who want to understand what we stand for </li>
</ul>
<p> <strong>A bit about you: </strong> </p>
<ul>
<li>You’ve previously led WHS and Environment programs and initiatives and you’ve previously matured the businesses you’ve worked in </li>
<li>You’re familiar with ISO 14001 (Environment) and ISO 45001 (OHS) standards</li>
<li>You’re passionate about HSE but bring a pragmatic and commercial lens to your work </li>
<li>You can present at a variety of levels, including Executive, Board of Directors, regulatory bodies and prospective customers </li>
</ul>
<p> <strong>A bit about us: </strong></p>
<p>We’re a tech company, but with a special personal touch. Our customers trust us to hold their most important data, support their critical devices and secure their systems and we were named in the WRK+ Best Places to Work in 2023 and were named the #1 Best Place to Work in Australia in 2020. <br /> <br /> <strong>Why Interactive? </strong></p>
<p>As part of our team, you’ll enjoy perks like free on-site baristas in our Sydney and Melbourne offices, flexible/hybrid work (with no minimum or mandated office days) and access to a diverse range of benefits and discounts from our partners.  <br /> <br />Sounds like the opportunity you’ve been waiting for? We can’t wait to hear from you! <br /> <br />#LI-TR1 <br />#LI-Hybrid</p>
 </div></div>",AUS
PHP Developer,"<HTML><p style=""margin:0;"">This award-winning Digital Agency are seeking the services of a highly skilled PHP Developer to join their rapidly expanding team.</p> <p style=""margin:0;"">&nbsp;</p> <p style=""margin:0;"">The successful PHP Developer will assist with the development of world-class website, mobile and tablet app builds for both global and local clients. &nbsp;</p> <p style=""margin:0;"">&nbsp;</p> <p style=""margin:0;"">To be considered for this exciting career-growth opportunity, you will possess the following skills/experience:&nbsp;</p> <ul> <li>3-4 years commercial experience as a PHP Developer.</li> <li>Advanced skills in front-end technologies - HTML, CSS, JavaScript, JQuery and more.</li> <li>Previous experience with latest PHP frameworks - Laravel / Symfony.</li> <li>Any experience with Magento will be highly regarded.&nbsp;</li> <li>Flawless communication skills are essential as you will be dealing with clients.</li> </ul> <p style=""margin:0;"">If you are a talented PHP Developer, seeking a career-growth opportunity with one of Melbourne's fastest growing Digital Agencies, please apply with your resume to jobs@pbisearch.com.au immediately.&nbsp;</p> <p style=""margin:0;"">&nbsp;</p> <p style=""margin:0;"">&nbsp;</p></HTML>  Attractive salary, perks and career-growth",AUS
Service Advisor / Coordinator,"<p><strong>About the company </strong></p><p>Liebherr’s decades of experience, knowledge, and dedication to the highest quality and most reliable technologies makes us a respected leader and a trustworthy partner to industry. We sell and service earthmoving machinery, mining equipment, mobile cranes, tower cranes, maritime cranes as well as foundation and piling equipment throughout Australia and New Zealand. Are you ready to join the family?</p><p><strong>About the role </strong></p><p>Seeking an experienced, professional and customer focussed Service Coordinator to join the team at our Melbourne and branch located in Dandenong. Reporting to the Service Supervisor this role is responsible for coordination of activity for the Field Service team which services clients throughout Melbourne and across Victoria and Tasmania.</p><p><strong>Duties </strong></p><ul><li>Coordinate day-to-day scheduling of technicians and resources</li><li>Liaise with customers to schedule work</li><li>Manage work in progress </li><li>Provide job progress updates</li><li>Preparing quotations for service work</li><li>Timesheet administration</li><li>Provide high level of proactive customer service</li><li>Active involvement in the continuous improvement of the Field Service Support process.</li></ul><p><strong>Skills &amp; experience</strong></p><ul><li>Experience working in a service department </li><li>Trade qualifications in Diesel/Plant Mechanic or Electrical would be beneficial</li><li>High attention to detail and effective communication skills</li><li>Ability to handle multiple tasks and complete to high standard</li><li>Extensive customer support experience </li></ul><p><strong>Culture</strong></p><p>We are dedicated to seeing our employees work together in an environment that fosters the true meaning of collaboration; a culture that creates the highest quality, cutting-edge products, long-lasting relationships, and improved organisational and individual capabilities. We aim to give our employees an opportunity to grow and develop their careers</p><p><strong>Diversity and Inclusion</strong></p><p>Diversity and inclusion sit at the heart of the Liebherr Group’s Core Values.  We are committed to building a workforce that is representative of the communities in which we live, work and operate.  Our culture thrives on mutual respect, teamwork and diversity of thought in the workplace</p><p><strong>Benefits</strong></p><ul><li>5 weeks Annual leave</li><li>Paid Parental Leave </li><li>Liebherr One Hub – Employee discount portal for great savings</li><li>Annual reviews | Career progression</li><li>Soft skills and Leadership training programs</li></ul><p><strong>How to apply</strong></p><p>Please apply via the link below. </p><p>Rachel Davidsen</p><p>Senior HR Advisor</p><p>Applications close COB 30th November 2021 </p><p>Candidates are advised that interviews may commence before closing date. Liebherr Australia would like to thank you for submitting your application.</p><p>No agencies or third parties please</p>",AUS
Real Estate Receptionist & Administrator,"<p><strong>About the business</strong></p><p>We are a boutique real estate office, and we believe that great people make a great business. We value integrity, trust and sincerity as much as we value hard work, determination and success. This exciting opportunity will allow you to play an integral role in our successful and enthusiastic team.</p><p><strong>About the role</strong></p><p>Are you well presented, bright, cheerful, and friendly on the phone and dealing with customers face-to-face? Are you resourceful and take the initiative to create magic WOW moments for customers leaving them feel like they have just interacted with or visited a company like no other?</p><p>We're looking for a super Receptionist with equal parts energy and professionalism even when the going gets tough. You will be joining an adept team who all share the joy and passion of providing excellent customer service and representation of our business.</p><p>You will be a self-starter ready to handle the demands of various administrative tasks and deadlines, with high attention to detail and accountability to follow up until the job is done to standards of excellence. You will be someone who always positively interacts with a cast of fellow colleagues and customers, and be an excellent communicator (written and verbal), all while remaining on top of things and conveying a smile with your voice.</p><p>We're a growing company with great people and ample opportunity…a genuinely good place to work!<br /> </p><p><strong>To be successful in this role you will require the following:</strong></p><ul><li>Experience in reception or administration (not essential but will be prioritised) </li><li>Highly organised with excellent time management skills</li><li>Ability to work well independently and as part of team and demonstrate initiative</li><li>Exceptional relationship and communication skills</li><li>High level of attention to detail, customer service focus, personable demeanour</li><li>Professional and well presented</li><li>High ethical standards</li><li>Proficient in Microsoft Office &amp; Gmail product and the ability to learn new systems easily </li></ul><p>Daily tasks include but are not limited to:</p><ul><li>Answer Telephones in a timely, professional and welcoming manner.</li><li>Greeting all Clients in a professional and friendly manner.</li><li>Qualify and deliver messages to relevant departments</li><li>Sales and Property Management Support</li><li>General office duties including incoming/outgoing mail, stationary, cleaning and banking<br /> </li><li>Database Entry</li><li>Inventory</li><li>Other duties and projects as directed.</li></ul><p><strong>Work Hours</strong></p><p>Full time - Monday to Friday 8:30am to 5pm<br /> </p><p><strong>Requirements</strong></p><p>A driver's license is a requirement however a Real Estate Agent’s Representative Certificate is an advantage but not a requirement. </p>",AUS
Fund Accountant,"<p>We are a real estate private equity firm, managing over $1bn AUM. Supported by local advisers, on/offshore clients, international hedge funds and investment banks.</p><p><strong>Your Key Responsibilities:</strong></p><ul><li>Help deliver management reporting of the Syndicate’s financial performance.</li><li>Preparation of technical and non-technical journals.</li><li>Preparation of monthly and quarterly balance sheet reconciliations.</li><li>Preparation of quarterly distribution</li><li>Maintenance of master model</li><li>Assisting in Syndicate Annual Accounts.</li><li>Liaise with external advisors and clients as necessary.</li><li>Provide ad hoc support to other members of the company investment/finance team as directed.</li><li>Support the team in delivering to its timetable.</li><li>Support the book-keeping, cash reconciliation, recording of technical transactions, and related tasks.</li></ul><p><strong>Skills And Attributes For Success:</strong></p><ul><li>Attention to details</li><li>Understand the importance of confidentiality and privacy</li><li>Excellent written and communication skills</li><li>Excellent problem solving skills</li><li>A team player and also able to work independently</li><li>Bachelor of Commerce Degree (Accounting)&nbsp;</li><li>Undertaking or completed CPA/CA preferred</li></ul><p><strong>What we can offer:</strong><br />• Great team environment<br />• Work with a supportive and collaborative team<br />• Exciting opportunity to build your career within the accounting sector<br />• Career progression and develop available<br />• Salary package upon experience</p>",AUS
