id,job_ad,y_true
79484040,"Job title: CEO
Abstract: Exciting opportunity to lead and progress our work in addressing the harmful impacts of gendered expectations in disaster. 


Employer: Marita Ryan Consulting
Location: melbourne
Highlights: Dynamic role in a highly regarded national organisation, Lead change and organisational growth and sustainability, Fully remote working arrangements
Contents: Full time â€“ 3 year contract (subject to Government funding)
 Gender and Disaster Australia Ltd. (GADAus) is the leading national organisation offering evidence-based education, training and resources to address the harmful impacts of gendered expectations in disaster.
 The GADAus Board is currently seeking a highly motivated CEO to lead our organisation. With a dedicated Board, committed team and proven track record for excellence, the organisation is well positioned to expand its core work across the nation. The CEO will provide strategic direction and collaborative, values driven leadership to implement our strategy and ensure achievement of GADAusâ€™s purpose, values and financial sustainability.
 To be successful in this role you will have experience as a CEO or at Executive level with a strong record of advocacy, stakeholder engagement and influence within community or NFP settings.
 You bring strong commercial and financial acumen to growth and development within the organisation and have a sound understanding of contemporary governance, along with experience working effectively with a Board.
 As a leader you are values driven and outcomes focused with a positive â€˜can doâ€™ attitude and have a strong understanding of the role of advocacy in change making. You have exceptional interpersonal and communication skills and your natural approach is inclusive, respectful and professional. For further information on Gender and Disaster Australia please go to https://genderanddisaster.com.au/
 To apply
 Our intention is to understand at a high level how your personal values, knowledge and experience align with the key selection criteria (listed in the Position Description). Please complete a cover letter, (up to 3 pages) outlining this and send with your resume to Marita Ryan at Applications close 9am Monday 4th November 2024 Round 1 interviews will be held via Teams on Thursday 14th November 2024
 For further information Marita Ryan",Remote
80331384,"Job title: Home-Based Online ESL Teacher (Online English Teacher)
Abstract: We look for passionate and skilled teachers who would like to join our growing tutor community!
Employer: ET-Phone
Location: -
Highlights: 
Contents: Home-Based Online ESL Teacher (Online English Teacher)
 We are urgently need in local Home-Based Online ESL Teacher (Online English Teacher).
 Please send your 1-minute self-introduction video to our email: And please write down your Skype ID on your resume and in the email upon application.
 Speakto.Inc. (Brand:ET-Phone) is an online English teaching company composed of native teachers, and we are looking for more teachers to join our growing team! ET-Phone is an online learning company dedicated to teaching English to Koreans.
 Our Home Page : www.et-phone.co.kr
 We look for passionate and skilled teachers for both full-time and part time who would like to join our growing tutor community!
 Please send your 1-minute self-introduction video to our email: Qualifications:
 1.) Bachelor's/College Degree holder, EDUCATIONAL FIELD
 2.) Excellent command of the English language
 3.) Passionate, enthusiastic and motivated to deliver good results
 4.) Minimum of 6 Months of ESL teaching experience is a plus for this position
 5.) Has a passion for teaching with a positive work attitude
 6.) Near-native English communication skills (oral and written)
 7.) Availability at peak hours is preferred (2 pm to 11 pm in PHT), but we are also looking for AM tutors.
 8.) Excellent work ethic (Punctuality)
 9.) All applicants should form and prepare a 1-minute introduction recording in advance and send it via our email: . Your application will not be reviewed if this is not provided.
 10.) Please write down your Skype ID on your resume and in the email upon application.
 Compensation:
 Salary ranges from Php 22,000 - Php 32,000 per month (above-industry average compensation package)., Long-term work incentive (Company Service Incentive), New Teacher Incentive -> 200 Php/day for the first 2 month of enrollment, Enrollment Incentive, Composition Correction Incentive, Level Test : (depending on your number of enrolled students for LT), Night work Incentive, 13th month salary, Holiday pay.
 Responsibilities
 - Tutors should have a strong responsibility over their students and classes with passion and drive to develop studentsâ€™ English skills.
 - Provide 10/20/30/40 minutes of online ESL classes to Korean students via Boda app (video class) or X-lite (phone call class)
 - Monitor and evaluate the progress of the student
 Requirements:
 Computer: A desktop or laptop, Operating System: Windows 10 (or above), Processor: Intel Core i5 7th generation or AMD R5 (Ryzen5) or above, Memory: At least 8GB RAM and above, Hard Disk: Better with a 128GB SSD (solid-state drive) to get fast reads and writes, Web Camera: High-definition (HD) webcam (Logitech webcam is recommended), Headset: headset with noise-canceling microphone (Logitech or Jabra USB type Headset is recommended), Internet: Stable LAN internet connection with at least 50 Mbps (Backup internet of at least 20 Mbps), *Backup internet should be installed within a month of employment, Environment: Quiet home environment, clutter free background with solid color (White color is recommended).
 Others:
 Interviews are held from Mondays to Fridays, 8:30 AM to 5:30 PM., Interviews will be held online, through Skype (Please provide the Skype ID upon your application as well.).
 Job Types: Full-time
 Pay: Php22,000.00 - Php32,000.00 per month
 Training period of 3 days (6 hours per day).
 Benefits:
 Paid training, Work from home. 
 Schedule:
 8 hour shift. 
 Supplemental Pay:
 13th month salary, Anniversary bonus, Overtime pay, Performance bonus. 
 Experience:
 ESL: 1 year (Preferred).",Remote
79721069,"Job title: Safeguarding, De La Salle
Abstract: The position reports to the Provincial and is â€˜future focusedâ€™ with an emphasis on policy development, audit & compliance and safeguarding training. 
Employer: Trak Search
Location: chullora
Highlights: Senior role with a profound sense of purpose, Attractive salary, professional supervision, travel & work-from-home conditions
Contents: Senior, future-focused role, Location: Chullora, Sydney, Commencement: by January 2025.
 Are you seeking a safeguarding position which is:
 A Mission-based, senior role with a profound sense of purpose? , â€˜Future-focusedâ€™ with an emphasis on policy development, audit and compliance activities and safeguarding training?, Offering attractive remuneration, professional supervision, travel and working-from-home conditions?.
 About De La Salle Brothers:
 The De La Salle Brothers is the largest religious order of Brothers in the Catholic Church dedicated solely to the mission of Christian education. The De La Salle District of Australia, New Zealand, Pakistan, and Papua New Guinea (ANZPPNG) is part of this global Lasallian family, founded over 300 years ago. About the Role: This senior Safeguarding role for the De La Salle District of Australia, New Zealand, Pakistan & Papua New Guinea is a key leadership position focused on the provision of expert, technical advice to ensure the effective delivery of, and compliance with, the organisationâ€™s safeguarding responsibilities. The position reports directly to the Provincial and is â€˜future focusedâ€™. It is responsible for ensuring that safeguarding policies and practices are developed and embedded to protect children, young people, and vulnerable adults, across the four sectors of the District. Interested?
 If you have an in-depth knowledge of safeguarding practices and experience in adult education, please visit traksearch.com to find additional information. , To express your interest, simply send a resume from this site; from the Trak Search website; or by email to quoting ref number TS1558. , Enquiries are also welcome to John Chesher on ..
 Closing Date: Wednesday 13th November 2024.",Hybrid
80190376,"Job title: Delivery Driver
Abstract: Pickup then deliver food or other items to customers. Choose when, how, and where you dash (As well as how much you earn). Casual/Part Time Available.
Employer: DoorDash
Location: miami
Highlights: Dash now or schedule when you deliver! Work on your own time!, Earn more alongside base pay with Challenges, Delivery Streaks, and Peak Pay!, No prior experience necessary. Sign up in minutes and earn within days!
Contents: Your Time. Your Goals.
 What is DoorDash
 Available in 63 cities in Australia and over 4,000 cities across the globe, DoorDash connects local businesses and local drivers (called Dashers) with opportunities to earn, work, and live.
 As a Dasher, you can be your own boss and enjoy the flexibility of choosing when, where, and how much you earn. All you need is a mode of transportation (bike, car, scooter) and a smartphone to start making money. Itâ€™s that simple. You can even sign up and begin working that same day. 
 Why Deliver with DoorDash
 Receive deliveries right away: Once approved, log on to the Dasher app to receive nearby orders immediately.
 Choose your own hours: When and where you work is totally up to you.
 Variety of orders: from food to groceries to pharmaceuticals.
 Freedom to dash anywhere: Deliver near your home or in a city you're just visiting.
 Easy to get started: Don't worry about car inspections or vehicle restrictions. Just sign up and receive everything you need to start earning.
 The Dasher App: you're in control of your deliveries with the Dasher App.
 Know how much you'll make: Clear and concise pay model lets you know the minimum amount you will make before accepting any order.
 Get updated on peak hours with extra pay.
 Get your payments quickly and regularly. 
 Sign Up Details
 Requirements
 18 or older
 An Australian Business Number (ABN)
 Any car, scooter, or bicycle (in select cities)
 Driver's license number (if you choose to dash with a car)
 Consent to a background check 
 How to sign up
 Click â€œApply Nowâ€ and complete the sign up
 Get the app and go 
 Hourly earnings amounts: For illustrative purposes only, actual earnings may differ. Number includes peak pay and other incentives. Dash time refers to time spent on a delivery.",OnSite
80082230,"Job title: Store Supervisor
Abstract: We are looking for a Motivated, Enthusiastic and Friendly individual to join our growing team. Work for Specsavers Australia's optical market leader.
Employer: Specsavers Baulkham Hills
Location: baulkhamhills
Highlights: Two free pairs of glasses per year!, Guaranteed career progression with paid upskilling, Supportive Employee Assistance and Wellbeing Programs
Contents: Be a part of the revolution and join one of Australia and New Zealandâ€™s leading optical retailers in making a difference in audiology and optical care. Our focus is simple - to provide a positive store environment and deliver each customer with the best experience as possible. To help us achieve this, we are seeking a passionate and customer focused Supervisor, who has a natural flair for leading and developing their teamâ€™s capabilities.
 This is a fantastic opportunity for you to work alongside the Store Partners to assist in creating an outstanding customer orientated and aftercare focused culture. You will supervise the day-to-day operations of the store to ensure that service level components, standards and sales targets are met. Acting as a role model and inspiring the team to always strive to be better will see you celebrating your stores success on a daily basis.
 As a confident and hardworking Supervisor, your skills and experience will include:
 Previous related retail & management experience, A passion for providing excellent customer service, Ability to provide solutions and driving store sales, An ability to work well under pressure, Strong interpersonal and communication skills, with the ability to build rapport with customers and colleagues, Flexibility to work retail hours which may include some late nights and weekends.
 The following benefits will also be on offer:
 Opportunity to work with well-known brands, with more than 1,000 frame styles and colours, Comprehensive Induction program, Extensive Training and Development to help you reach your full potential, A supportive culture that can be felt throughout our organisation.
 If you want a meaningful role in which you can make a long-term impact, this could be the opportunity you have been waiting for. Apply now!
 *Please note due to the high volume of applications only successful candidates will be contacted. We thank you in advance for your interest in Specsavers",OnSite
79619100,"Job title: 1 x WA600 Front End Loader Operator (Quarry) - Wollert. Start Tomorrow
Abstract: Resource Labour Hire is sourcing a Skilled & Ticketed WA600 Front End Loader (dual ticket holder) Operators for a Quarry job in Wollert - ASAP Start
Employer: Resource Labour Hire
Location: wollert
Highlights: 
Contents: Resource Labour Hire is sourcing a Skilled & Ticked WA600 Front End Loader Operators for an ongoing job in a Quarry in Wollert - Dual Ticket Holders would be desired but must be able to operate professionally a Front End Loader (you'll b e skill tested upon arrival to site) Immediate Start once Registered & Inducted, Front Loader Operator - WA600 - (Must be multi skilled) - if you cannot operate a SALES LOADER please don't apply this time around Crushing & Screening Quarry, Good Rates of Pay plus Allowances & Overtime , $40ph TFN, $45ph ABN , Plus travel allowance $21.19 per day , Ongoing Contracts / Good hours 55 per week / Temp to perm opportunities.
 You must have had at both covid jabs for you to complete the site induction Required:
 WA600 Front End Loader Operator that can walk the walk and not just talk - Operators that are ticketed, skilled and reliable. , WA600 Front End Loader Operator that can communicate with our clients, follow instructions and complete jobs on time, WA600 Front End Loader Operator that understand working on a variety of sites, starting on time and rocking up through rain or shine , WA600 Front End Loader Operator that have an eye on safety for themselves and colleagues - prechecks, look after the machines and looking for ongoing work .
 Salary:
 Minimum $40ph TFN plus Super / $45ph ABN, $21.19 per day travel allowance, Allowances paid on all jobs when Applicable , Overtime - Penalty Rates 8 / 38 hours & Weekends Monday to Friday 6am - 4pmSaturday 6am - 12pm , Immediate Start once Registered , Ongoing Contracts - Temp to Perm Opportunities .
 If available to start immediately please send your resume to the consultants at Resource Labour Hire by clicking on â€œapply nowâ€",OnSite
79670400,"Job title: Email Marketing Lead
Abstract: If youâ€™re passionate about email marketing, and digital marketing in general we want to meet you! 
Employer: Online Marketing Gurus
Location: crowsnest
Highlights: AFR Best Places to Work Finalist 2022, Hybrid-working - enjoy our great office vibe, and work from home, We live diversity, equity & inclusion - our people are from all walks of life
Contents: We are seeking a talented and experienced Email Marketing Lead to spearhead our email marketing strategies.
 As the Email Marketing Lead, you will be responsible for planning, executing, and optimizing end-to-end email marketing campaigns. This includes managing email databases, crafting engaging newsletters, and leveraging web technologies to drive sales growth.
 Your innovative ideas and deep understanding of customer engagement will be instrumental in promoting our brand, delivering valuable updates to our customers, and ensuring strong customer relationships.
 Our team is dynamic and passionate about our work. We engage in daily collaboration, prioritising data-driven insights that yield tangible results, steering clear of fluff, jargon, or guesswork. And the best part? We genuinely enjoy working together!
 Over 3 years, weâ€™ve invested $1M+ into trying and testing every digital strategy to see what works and what doesnâ€™t. It seems the rules to succeeding online are always changing, so everyday our team is building new and intuitive tools to tackle the future of marketing. We solve the digital world by turning to the numbers (real, hard evidence you canâ€™t deny). And our clients turn to us, the Online Marketing Gurus (the nerds who know their stuff and get it done). Responsibilities would include:
 Identify target audience and grow our email list, Design and implement direct email marketing campaigns, Proofread emails for clarity, grammar and spelling, Ensure mobile-friendly email templates, Write newsletters including all company updates, Upgrade our email templates using graphics, personalization and advanced features, Ensure prompt and accurate communication with clients via email to minimize unsubscribes, Create email databases for lead generation, Analyze campaign performance and suggest improvements, Report on sales revenue generated from email marketing efforts, Ensure emails follow industry policies and best practices.
 Requirements3-5years experience as an Email marketing Specialist or Digital marketing specialist, Hands on experience with HTML and content management systems, Proficiency in marketing automation technology, Knowledge of SEO/SEM and Google Analytics, Familiarity with analytical and database tools, Excellent written communication and copywriting skills, Strong project management skills, An ability to work under tight deadlines, BSc degree in Marketing or relevant field.
 BenefitsPerks:
 Birthday leave ðŸŽ‚, Paid Parental leave ðŸ‘¨â€ðŸ‘©â€ðŸ‘¦, Volunteer leave ðŸ˜‡, Career Development and Training Programs ðŸš€, Pet-friendly and vibrant office ðŸ•, Barista style coffee â˜•ï¸, Social events - gourmet lunches, social drinks ðŸŽ‰. 
 About OMG:
 Our #1 belief and goal is that if employees are happy and over the moon - the culture is amazing and together we can achieve incredible results!, Massive focus on hiring good human beings - we believe the rest can be learned and developed through our training initiatives, Huge focus on employee development, engagement & growth opportunities, Hybrid-working - enjoy the great office vibe and the benefit of working from home, Largest independent agency in Australia - tripled revenue year in last 3 years, We are in significant growth mode, looking for our future leaders as we scale globally- currently 140+ employees in Sydney and Melbourne, 40 in the Philippines, as well as USA expansion ongoing. This was 30 employees 3 years ago!, R&D investment, forefront of digital marketing, innovation, Our values are- We â€˜Share evidence, not opinionâ€™, â€˜Find solutions, not problemsâ€™, â€˜Make customers love youâ€™, â€˜Own it and get it doneâ€™, We live Diversity, Equity & Inclusion as our people including our Leadership Team are of many cultural backgrounds and represent a positive gender mix. In fact we have people from all walks of life and diverse backgrounds including LGBTQ, disability and socio-economic backgrounds..
 OMG is an equal opportunity employer, so by working for us, youâ€™ll be part of an organization that supports diversity and inclusion.",Hybrid
79749866,"Job title: Warehouse & Quality Administrator
Abstract: The purpose of this role is to account for all movement of stock, from farm to shelf internationally and domestically with major retailers. 
Employer: RJN Cua Vineyards
Location: redcliffs
Highlights: 
Contents: Warehouse & Quality Administrator The purpose of this role is to support the Dispatch Manager in accounting for all movement of stock, from farm to shelf internationally and domestically with major retailers. This role is important for traceability and quality purposes which are required to be monitored for food safety, invoicing, and stock management. As the successful candidate, you will be responsible for the following duties (more to follow):
 Record keeping for incoming internal fruit, Record keeping for incoming external fruit purchased from other growers, Complete quality assurance checks and records, prepare these records ready to be shared with third parties domestically and internationally, Manage incoming orders daily and the packing requirements, Communicate incoming orders and the requirements that follow, Prepare fruit ordered for export to protocol markets â€“ complete inspection yourself as a designated Authorised Officer, Complete record keeping for container loading and domestic loading, Complete record-keeping for all fruit moving externally, Manage certified and non-certified fruit and the segregation process.
 To be successful with your application:
 Previous experience in warehousing and quality is preferred, Ability to use IT systems for record-keeping, QA and traceability , Have obtained your Authorised Officer certification or be willing to undergo this training and responsibility.
 This role is open to low to high skilled individuals, as training can be provided by the Dispatch Manager and Dispatch Assistant. As Warehouse & Quality Administrator it is essential you be available to work Monday â€“ Saturday, 6 am â€“ 2:30 pm. This is based on the role being seasonal and only requiring this availability from January to June. Pending your desire for ongoing work, this role can be extended to ongoing with additional duties. For further information please contact",OnSite
80401758,"Job title: Client Service Specialist (Mandarin Speaking) â€“ Mon-Fri, 1:30-5:30 PM
Abstract: If you love helping people by using your exceptional customer service experiences and communication skills, this could be a dream job for you.
Employer: Prosperity Advisors Ltd
Location: rosedale
Highlights: 
Contents: About the business
 Prosperity Advisors (å°å®‡ä¿¡è´·ï¼‰ is an ambitious, boutique finance advisory practice, with a focus on delivering financial success to our clients and contributing to their overall wellbeing. We work closely with our clients to find the best solution to meet their needs, and we're committed to growing our employees alongside the business. 
 About the role
 In our business, we believe teamwork makes the dream work. We also appreciate everyone has a gift. We are now seeking a client service champion to join our friendly and energetic team. The role will help us to deliver an excellent customer experience and support during loan refix, onboarding, and post-settlement stages.
 Please note: This is a fixed-term position for 6 months, with a strong likelihood of renewal at the end of the term.
 Your primary responsibilities are:
 Client Service and Enquiry Handling, Loan Refix, File Collection and Document Management, Settlement Preparation, Post Settlement Support .
 Benefits and perks
 Purpose-Driven CompanyBe part of an organization that aligns work with meaningful goals., Great Team Culture and ValuesCollaborate with supportive teammates in a positive and value-driven environment., Career Development OpportunitiesGrow your career with pathways to explore diverse roles within the company., Flexible Work ArrangementEnjoy the best of both worlds: work from home on Wednesdays and Thursdays, and connect in person with our fantastic team at the office on other days. 
 Skills and experience
 Excellent Mandarin and English in speaking, writing and listening., Exceptional communication skills and ability to build rapport., Strong attention to detail skills, Ability to multitask , Strong focus on the client's experience, Ability to work under pressure to meet deadlines., Team player and able to work without supervision, Be passionate about learning, growth, innovation and collaboration., A creative mind with an ability to suggest improvements, Personal experience with home loans is preferred.",Hybrid
80315125,"Job title: Merchandising Specialist - Ecommerce, Remote
Abstract: Are you a bicycle guru keen to work with the #1 online bicycle retailer in Australia? Apply now!
Employer: Bicycles Online
Location: -
Highlights: Internal career progression across our international footprint., Competitive salary with a flexible work environment., Dynamic and rapidly expanding industry.
Contents: About Us
 At BikesOnline, our mission and purpose of ""Ride More, For Less"" is born from our belief that cycling has the power to improve lives, and the environment. We love to break through old norms, to get bikes and products to our customers quickly and to have a laugh while we do it. Founded in 2011, weâ€™re global in our approach and presence with 80 staff in 6 countries and growing. We have a genuine focus on nurturing our team with perks like flexible work arrangements, generous staff discounts, a commitment to ongoing learning and internal career progression across our international footprint. We are passionate cyclists who love inspiring others to ride more. We design our products, provide expert advice and support initiatives to encourage people from all walks of life to enjoy more cycling adventures. We are committed to delighting customers by sourcing and making quality products for less and providing a simplified and exceptional experience.
 The BikesOnline Merchandising team is responsible for product creation and optimisation on the BikesOnline website for both Australia and the USA, ensuring consideration of regional variations. The team leverages automation tools and techniques for efficient creation, storage, and upload of product descriptions, while applying search engine optimisation (SEO) best practices to improve product titles and subsequent search rankings.
 What You'll Do
 Reporting to the Merchandising Leader, the Merchandising Specialist - AU responsibilities include, but not limited to:
 Product Listings Development: Creating, updating, and optimising product listings specifically for Bikes, Parts & Accessories (P&A), Global Insera OEM, and AU-specific OEM. Utilising AI tools, the Merchandiser dynamically enhances product descriptions, ensuring they align with the brandâ€™s tone and meet regional specifications., Content Creation & Localisation: Sourcing, writing, and reformatting product content, with a focus on adapting it for Australian audiences. A high level of product knowledge in bikes and parts & accessories, is used to ensure accuracy and engagement in product descriptions., Product Optimisation: Optimising product names and descriptions, with an understanding of SEO principles to improve search engine visibility and enhance product performance., Data Verification & File Management: Verifying product data for accuracy and consistency, supporting the team leader in maintaining an up-to-date and accurate product database. The Merchandiser also manages necessary product files and specifications across digital platforms., AI-Enhanced Content Generation: Using AI tools to generate and refine product descriptions, ensuring alignment with brand standards and accommodating the needs of local and international markets, including chatbot integrations and other digital technologies., Price & URL Management: Adding and maintaining website prices and URL links for AU BikesOnline products, ensuring all listings are accurate and reflective of the AU market., Performance Tracking & Reporting: Supporting the tracking and reporting of product listing performance, assisting with data collection and analysis to continuously improve listings based on AU market trends., Content Best Practices: Adhering to best practices for creating, maintaining, and optimising image and video content, contributing to the teamâ€™s commitment to high-quality digital assets across all platforms., Collaboration: Working closely with other departments to ensure seamless product listing processes, resolving any website or merchandising-related issues that affect AU-specific products.. 
 What We Believe In
 Our company values are integral to our culture and success. We expect that you embrace our core values, with behaviours and actions that:
 Delight the Customer, Focus on the Process, Take responsibility, Learn Grow and Develop, One Team Together. 
 What You'll Have
 2+ years of experience in copywriting, content creation, or a similar role., Broad exposure to the cycling industry and international cycling brand awareness., In-depth knowledge of bikes, parts and accessories, with a passion for the cycling community., Exceptional written and verbal communication skills., Strong organisational skills with the ability to multitask and meet tight deadlines., Advanced computer literacy, including basic knowledge of HTML., Familiar with content management systems and tools like Google Suite, Asana, Slack, and e-commerce platforms (e.g., Neto, Shopify)., Self-driven with high standards of quality., High proficiency with Asana for task management and coordination., Familiarity with SEO strategies, content optimisation, and keyword research., Ability to use AI tools to generate and refine product descriptions., Proficient in content management systems and e-commerce platforms., Understanding of back-end processes such as categorisation, filters, and product assortment., Strong analytical skills for tracking and improving product listing performance. .
 Why Youâ€™ll Love Working Here
 When you embark on your journey with BikesOnline, youâ€™re not only joining a close-knit community, but contributing to a dynamic and rapidly expanding industry - sparking newfound creativity and innovation.
 We both welcome and value employee perspectives, as inclusivity and collective contribution are the foundations of our culture.
 If youâ€™re passionate about bikes, thatâ€™s amazing! However, if not, our wealth of knowledge will allow you to absorb new skills.
 From personal development to career opportunities - we invest in our people and culture, providing a safe, trustworthy, and flexible work environment.
 We encourage you to be inquisitive, be yourself, and join the BikesOnline family! 
 How To Apply?
 If this sounds like you, thereâ€™s no better time to join a team already full of awesome humans. Please include a cover letter outlining your interest in BikeOnline and a resume with your application. We will be in touch with you soon after you submit your application, as long as you have:
 Submitted a resume & cover letter;, Passion for bicycles with a strong knowledge of bicycle products;, 2+ years of experience in copywriting, content creation, or a similar role; and, Familiar with content management systems and tools like Google Suite, Asana, Slack, and e-commerce platforms (e.g., Neto, Shopify). .",Remote
