Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Moon Castle: The Space Adventure	2011	animation	James Choo	Zu Liqing, Zhang Lin, Deng Yuting, Liang Ying, Xie Weitong, Gao Quansheng, Zhao Na	The plot follows the goats, who go to the moon in a candy-shaped spaceship in order to assist the Queen of the Moon. The Bitter Gourd King and his gourd troopers are attacking the World of Sweetness with bitter juice, and the Queen needs the help of the goats. Wolfie and his family come with the goats by accident. At one point the Gourd King kidnaps Wolfie's family, and Weslie comes to tears upon seeing his parents.	Chinese
Inimey Nangathan	2007	animation	Venky Babu		"Vichu, Varadhu, Vaithi and Govind are four friends and they earn their livelihood doing Kathakalakshepam. They want to become rich and famous. They come across an old lady, who advises them to meet a Swamiji who, she tells them, would help them to become rich overnight. The Swamiji agrees to help them but on one condition—they should retrieve a holy necklace from Rakshasas who live in a cave.
The four friends set out to the cave where they meet a colorful character from the sea, a gold palace, and of course, the Rakshasas too.
Lured by wealth, the four friends estrange. What happens then forms the crux.[1]"	Tamil
The Wild Thornberrys Movie	2002	animation	Cathy Malkasian, Jeff McGrath	Lacey Chabert, Tom Kane, Tim Curry, Ice-T	"12-year-old Eliza Thornberry plays with a family of cheetahs in East Africa after being left in charge of the cubs by their mother, Akela. When Eliza strays far from the cheetahs' home, one of the cheetah cubs, Tally, is kidnapped by poachers. Eliza is determined to save the cub, which prompts her grandmother Cordelia to bring her to a boarding school in London for her safety. Upon arriving, Eliza discovers that her pet chimpanzee, Darwin, stowed away in her suitcase. He attempts to blend in but gets both him and Eliza in trouble.
After having a dream in which Shaman Mnyambo tells her to save Tally, Eliza and Darwin return to Africa. While taking a train from Nairobi, they encounter an injured rhino, who was shot at the river by the same poachers who kidnapped Tally. They save the rhino with the help of veterinarians Bree and Sloan Blackburn. Meanwhile, Eliza's older sister Debbie is left alone with her feral adoptive younger brother Donnie at their RV, the Comvee, while their parents, Nigel and Marianne, go to film a solar eclipse at Tempo Valley. Eliza returns to the Comvee for supplies; after a small confrontation, Debbie pursues her, Darwin, and Donnie. Cordelia and her husband, Colonel Radcliffe, meet up with Nigel and Marianne to inform them of Eliza's escape, and they also begin searching for Eliza.
Darwin, Eliza, and Donnie meet a gorilla who mentions seeing people setting up a fence across Tempo Valley. Then, they run into the Blackburns again. Eliza concludes that the poachers are targeting the elephant herd traveling through the valley. Later, the trio finds Tally in the Blackburns' RV, exposing their true nature as poachers. The Blackburns capture them and reveal the fence is electrified. Meanwhile, Debbie meets a local boy named Boko, who is sent by his village elders to assist her. The two reach the Blackburns' RV, but Debbie is held hostage by Sloan after she reveals she is Eliza's sister. When Sloan threatens to kill Debbie if Eliza doesn't tell him how she found out their plan, Eliza admits it was because of her ability to talk to animals. A storm comes and takes away Eliza's powers while the Blackburns flee.
They reach Tempo Valley in time to see the elephant herd heading for the electric fence. When Eliza becomes doubtful of herself, Debbie reminds her that she has been helping animals long before gaining her powers, restoring her confidence. The Blackburns, riding a helicopter, order their men to set off explosives, scaring the elephants and making them charge toward the fence. Eliza triggers the fence's electricity prematurely, causing the herd to stop temporarily, and then convinces the lead elephant to turn around. Infuriated, Sloan grabs Eliza and throws her into a river. He then attempts to shoot the elephants, but they pull the Blackburns' helicopter out of the air by its rope ladder and destroy it, causing him and Bree to fall. They survive the fall but are arrested by rangers soon after as the eclipse ended. Eliza is saved by Shaman Mnyambo, who tells her she saved the elephants using her heart. As a reward, he gives her back her powers.
Eliza reunites with her family, who decide not to send her back to boarding school, while Boko returns to his village, keeping Debbie's watch as a memento. The Thornberrys return to the Savannah, where Eliza reunites Tally with his family. Debbie is angered when Eliza tells her that she will turn into a baboon if she reveals her secret, and in the process frightens a group of baboons Nigel and Marianne are filming. One of them activates the radio, which plays music that the Thornberrys and the baboons dance to."	American
Race for Your Life, Charlie Brown	1977	animation	Phil Roman, Bill Melendez	Duncan Watson, Bill Melendez, Gail Davis, Stuart Brotman	"The Peanuts gang heads off to Camp Remote somewhere in the mountains. Charlie Brown is accidentally left behind by the bus while at a desolate rest stop. He is then forced to hitch a harrowing ride on Snoopy's motorcycle in order to make the rest of the journey to the camp, accompanied by rock guitar type riffs while he is shouting in fear at Snoopy's wild driving.
Upon their arrival, the kids are immediately exposed to the regimentation and squalor of camp life which is a stark contrast to their comfortable residences back home. They are unfamiliar with the concept that the camp schedule is in the 24-hour clock (Franklin asks if ""oh-five-hundred"" is noon, and Sally thinks ""eighteen-hundred"" is a year). Although they do their best to adjust to the rigors of camp life, Snoopy, in a tent of his own, enjoys an ice cream sundae while watching TV on his portable set.
The gang must contend with a trio of ruthless bullies (and their cat, Brutus, vicious enough to intimidate even Snoopy and Woodstock) who openly boast of them having won a raft race every year they have competed. The only thing that keeps them at bay is Linus using his security blanket like a whip (which also gets him unwanted attention from Sally due to her praising the courage of her self-proclaimed ""Sweet Babboo""). It is revealed that they have only won through outright cheating — using a raft equipped with an outboard motor, direction finder, radar and sonar. They also resort to every trick they could think of to hamper or destroy everyone else's chance to even make it to the finish line, much less win the race.
The kids are broken into three groups: the boys' group (consisting of Charlie Brown, Linus, Schroeder, and Franklin), the girls' group (consisting of Peppermint Patty, Marcie, Sally, and Lucy), and Snoopy and Woodstock. Charlie Brown is the very reluctant leader of the boys' group, struggling with his insecurity but making a good effort to lead and implement well-thought out decisions. His antihesis is Peppermint Patty, the leader of the girls' group, who is very confident despite her incompetence as a leader. She insists on every decision, no matter how inconsequential, being confirmed by a vote of secret ballots. Predictably, when the voting is tied or she disagrees with the outcome, she often overrules the decision, to the disdain of the other girls. The bullies are overconfident; they use their cheating to burst ahead, but in their boasting they fail to watch where they are going and crash into a dock, which costs them a lot of time and effort to dislodge their boat while the others sail past.
The groups see many unique sights along the river race, such as mountains, forests, and a riparian logging community of houses built on docks. However, they also run into different obstacles: getting lost, stranded, storms, blizzards, and sabotage from the bullies. Snoopy abandons the race to search tirelessly for Woodstock when a storm separates them; after a long search, they manage to find each other and are joyfully reunited. Charlie Brown grows increasingly into his leadership role; ultimately, after the bullies sabotage everyone else's rafts, the boys' and girls' teams merge. Although treated as a scapegoat for problems, Charlie Brown handles it well, such as when the team is trapped, he claims it is incumbent upon him as the leader to remove the obstacle.
Thanks to Charlie Brown's growing self-confidence and leadership, the gang is about to win the race at the climax after overcoming considerable odds. Unfortunately, Patty incites the girls to celebrate too soon and they accidentally knock the boys overboard in their excitement; when they attempt to rescue them, the bullies seize the opportunity to pull ahead.
The bullies gloat about their apparently imminent victory. However, their brash over-confidence, infighting, and constant carelessness during the race has seen them become involved in numerous mishaps, causing them to suffer substantial damage to their raft. Just shy of the finish line, their raft finally gives out and sinks. This leaves Snoopy and Woodstock as the only contenders left. Brutus slashes Snoopy's inner tube with a claw, but Woodstock promptly builds a raft of twigs with a leaf for a sail and continues toward victory. When Brutus tries to attack Woodstock, Snoopy decks him, and Woodstock wins the race. Conceding defeat, the bullies begin to vow vengeance next year, but their threats are humiliatingly cut short when Snoopy hands Brutus a rough beating after he threatens Woodstock again.
As the gang boards the bus to depart for home, Charlie Brown decides aloud to use the experience as a lesson to be more confident and assertive, and to believe in himself. Unfortunately, right after he finishes speaking, the bus leaves without him for the second time, and as before, he is forced to hitch a ride with Snoopy again."	American
Boonie Bears: Entangled Worlds	2017	animation	Ding Liang	Shang Wenjie, Bao Chunlai, Sun Jianhong	Boonie bears and the gang, (Da Ya, Big Vince and Small Yukun) Try to stop the Catherine from getting the golden antliers.	Chinese
Ribbit	2014	animation	Mamat Khalid	Johan Raja Lawak, Awie, Izzue Islam, Elfira Loy, Aznil Nawawi	All his life, Ribbit has felt different from all the other frogs. To find purpose in his life, Ribbit embarks on an incredible journey through the Amazon Rainforest. During this journey, Ribbit is accidentally hypnotised into believing he is a human prince trapped in a frog’s body. Convinced that he now understands why he is different, Ribbit heads out in his search for the Princess whose kiss will solve all his problems. Joined by his best friend, a female squirrel named Sandy, Ribbit encounters an amazingly zany cast of unique and colourful characters.	Malaysian
Blinky Bill (a.k.a. Blinky Bill: The Movie)	1992	animation	Yoram Gross	Robyn Moore, Keith Scott	"The local woodlanders are carrying with their everyday life as normal until the next morning, when two men Harry and Joe start to take down the entire forest with their tractor. The animals evacuate as many trees fall down, and more trees are cut down including Mrs Koala's home, and a tree knocks Blinky Bill unconscious.
At sunrise nothing is left of the bush and every animal is left homeless. They move out of the grounds to search for a new home, including Mr. Wombat. Blinky Bill, dazed and confused, calls for his mother, but she is nowhere in sight. Blinky rescues a young female koala named Nutsy from a cluster of fallen trees. They both run into Mr. Wombat. Nutsy tells him that Blinky has amnesia and Mr. Wombat explains to him about his life so far.
Blinky was a very mischievous sort causing trouble and receiving a scolding from Mayor Pelican, his teacher Miss Magpie and his mother for his many antics. He once encountered and escaped Ms. Pym at her general store. His mother then disciplines him and cries about the grief he is causing her. By the end of this story, Blinky is feeling very guilty about the trouble he caused his mother, so decides to find her.
Blinky Bill and Nutsy make their way towards a riverbank where they meet up with a hard of hearing Granny Grunty Koala. Down the river, they meet up with Splodge and his family who tell them about what happened to Mrs Koala who refused to evacuate out of pride of her own home. Blinky and Nutsy make their way to the waiting line where Mayor Pelican is assigning all the woodlanders to their places. Blinky Bill approaches the mayor who is less than pleased, and orders Nurse Angelina to take the children to the leaking North Cave. Unfortunately Blinky's mother isn't here.
Blinky asks Ruff's mother for directions to the woodchip mill. Ignoring the fact there is danger there, Blinky goes to find his mother at the mill, and Nutsy follows him as they make their way though a rampaging river and the woods. They finally make it to the mill. The wood chip mill is home to the very woodcutters that felled their homes.
Next morning Blinky and Nutsy witness the woodcutters reducing the animals former homes into sawdust, narrowly escaping the circular buzz-saw. Then they stay in hiding till night time, but as they try to escape, they alert the dogs. When Blinky slingshoots the security light, Harry's wife Joan urges her husband to investigate. Blinky manages to slip out of the place, but Nutsy is trapped and makes a run for it, climbing into the bedroom of the family's daughter Claire Ann.
Blinky tearfully goes back to tell the others about the tragic news. Blinky's gang form a rescue party, forcing Marcia to join them. Blinky has Jacko para-drop Marcia down the chimney of the woodcutters' house taking notes of the house layout and items. Meanwhile, Nusty climbs into Claire Ann's bed who wakes up happy to find a real koala in her bed and manages to get her parents to let her keep the koala temporarily.
Blinky's gang sneak up to the house at night, then break into the house, but then they start up a commotion. Claire Ann immediately hides herself and Nutsy in her bedroom cupboard. Splodge manages to fend off both the dogs and Joe, while Blinky keeps Harry and Joan locked in their bedroom. In the chaos that follows, the wood chip machines starts up. Blinky gets Nutsy out of the house and they both fight off Harry. The chain of chaotic events against Harry and Joe end them up in a water tank. Blinky locates his mother and they all leave the place in the woodcutters' truck, while Claire Ann waves tearfully goodbye to her new-found koala friends."	Australian
The Last Unicorn	1982	animation	Jules Bass, Arthur Rankin, Jr.	Mia Farrow, Alan Arkin, Jeff Bridges	"In an enchanted forest, a talking unicorn learns she is the very last of her kind. A butterfly reveals that a monstrous animal called the Red Bull herded her kind to the ends of the earth. Venturing into unfamiliar territory beyond the safety of her home, the Unicorn journeys to find them and bring them all back.
Upon her journey, the Unicorn is captured by the evil witch Mommy Fortuna and is put on display in Mommy Fortuna's Midnight Carnival. As most of the attractions are normal animals with a spell of illusion placed on them (to wit, a toothless lion for a Manticore, a paralyzed chimpanzee for a Satyr, and a mere snake for the Midgard Serpent), Fortuna uses a spell to create another horn on the unicorn's head that the non-magical carnival visitors can see, as they are unable to see her real form. Fortuna keeps the immortal harpy Celaeno captive as well and acknowledges the dangers of caging such a monster, but deems the risk secondary to the deed's recognition and prestige. While held captive, the unicorn is befriended by Schmendrick,[5] an incompetent magician in the service of Mommy Fortuna. With the help of Schmendrick, the Unicorn escapes, in the process freeing Celaeno, who kills Fortuna and her henchman Ruhk. The Unicorn and Schmendrick later gain a second traveling companion Molly Grue, the careworn lover of Captain Cully (the disappointing ""reality"" behind the Robin Hood legend).
When the Unicorn nears the seaside castle of King Haggard, the keeper of the Red Bull, she encounters the animal, which turns out to be a monstrous fire elemental. At the last moment before her capture, Schmendrick uses his unpredictable magic and transforms her into a human woman with white knee-length hair. With her in this guise, the Red Bull is uninterested and departs. The Unicorn suffers tremendous shock at the feeling of mortality in her body. While Molly wraps the Unicorn's human form in a blanket, Schmendrick states that the magic, not he, chose the form, and promises that he will return her to normal after the quest is complete.
Schmendrick, Molly Grue, and the now-human Unicorn proceed to King Haggard's castle. Haggard is at first unwelcoming, and Schmendrick introduces the Unicorn as his niece Lady Amalthea. Schmendrick requests that the three of them stay there as members of Haggard's court, only to be told that the only occupants of the castle are Haggard, his adopted son Prince Lír and four ancient men-at-arms. Nonetheless, Haggard consents to lodge the trio, replacing his more competent on-call wizard, Mabruk, with Schmendrick, and setting Molly Grue to work in his scullery. Mabruk himself leaves when he recognizes ""Amalthea"" for what she truly is, and jeers that by allowing her into his castle Haggard has invited his own doom.
Amalthea begins to forget her identity and her reasons for coming to the castle and falls in love with Prince Lír as the result of the mortality of her current form. Caught in her newfound emotions, she struggles with thoughts of abandoning her quest for the sake of mortal love. Haggard confronts Amalthea in private conversation, hinting at the location of the unicorns, yet from the waning magic in her eyes, he has doubts regarding his previous suspicions that she is more than she seems. Meanwhile, Molly is able to learn the location of the Red Bull's lair from a talking cat.
Molly, Schmendrick, and Amalthea are joined by Lír as they enter the bull's den, but Haggard attempts to trap them by destroying the way they came in. Schmendrick reveals Amalthea's true identity to Lír after explaining what they are looking for. Lír is unmoved and says that he loves her anyway. This makes Amalthea want to abandon the quest and marry Lír, but Lír dissuades her. The Red Bull appears, but is no longer deceived by Amalthea's human form and chases after her. As Lír struggles to protect her, Schmendrick turns Amalthea back into the Unicorn, but she is unwilling to leave Lír's side. The Bull drives her toward the ocean just as he earlier drove all the other unicorns, but she manages to run away and the Red Bull gives chase. Lír tries to defend her, but is killed by the bull. Enraged, the Unicorn turns on the Bull and forces him into the sea. Carried on the white surf of incoming tides, the other unicorns emerge en masse from the water, causing Haggard's castle to collapse into the sea as they rush past, with Haggard falling to his death.
On the beach, the Unicorn magically revives Lír before departing for her forest. Schmendrick assures Lír that he has gained much by winning the love of a unicorn, even if he is now alone. He departs to start anew. The Unicorn returns to say goodbye to Schmendrick, who laments he has done her wrong by burdening her with regret and the taint of mortality, which could make her unable to rejoin her kind in the forest. She disagrees about the importance of his actions, as they helped them to restore unicorns to the world; though she is the only unicorn to feel regret, she is also the only unicorn to know love. Schmendrick and Molly watch the Unicorn depart for her home in the woods."	American
Rock Dog	2017	animation	Ash Brannon	Ash Brannon (director/screenplay); Kurt Voelker (screenplay); Luke Wilson, Eddie Izzard, J. K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon, Sam Elliott	"Bodi (Luke Wilson) is a young Tibetan Mastiff who is expected to be the next guard of the village of Snow Mountain, succeeding his father Khampa (J. K. Simmons) after the latter has driven out a pack of gangster grey wolves led by the villainous Linnux (Lewis Black) years ago, but is sure they will return. Khampa has some of the local sheep dressed up as Mastiffs to give the illusion the village is being guarded by multiple Mastiffs to keep the wolves at bay, but Bodi has trouble perfecting his father's signature move the Iron Paw which projects a powerful blast that as Khampa states can only happen if Bodi ""finds the fire."" Khampa has also forbidden music in the village since Bodi got distracted from his duties when he was younger.
After a disastrous training session, Bodi accidentally and indirectly causes a nearby flying plane to drop a package. Among the items that fell out, Bodi becomes interested in a red radio and listens to some of the music on the stations before becoming entranced on rock music and idolizes British rock legend Angus Scattergood (Eddie Izzard). Bodi steals a traditional dramyin from a den of locked up instruments, adds additional strings to make it a conventional Western guitar, and begins neglecting his guard duties in favor of playing music, which puts him at odds with his father, especially since Bodi told him that he has decided to be a musician.
After Khampa and some of the guard sheep accidentally cause Bodi to unleash a false alarm on the village while dressed as wolves (in an attempt to scare him straight) escalating into some fireworks being set off, the village elder Fleetwood Yak (Sam Elliott) convinces Khampa to let Bodi follow his dream and gives him a bus ticket to give to Bodi that will take him to a nearby city. Khampa gives Bodi the ticket, but makes him promise to give up music if his trip doesn't work out; the villagers and Fleetwood say goodbye to him after he leaves with his guitar. At the bus station, Bodi is discovered by two of Linnux's henchman, the short and comical Riff (Kenan Thompson) and the tall and silent Skozz. Riff informs Linnux of Bodi's departure and Linnux orders them to kidnap Bodi, reasoning that Bodi is his chance to take over Snow Mountain.
When Bodi makes to the city, he heads to Rock and Roll Park since it's where Scattergood began his career. He attempts to join a band consisting of the down-to-earth fox Darma (Mae Whitman) and an absent-minded goat drummer named Germur (Jorge Garcia), who are the only members and therefore don't have an audience. However, Bodi is humiliated after losing a guitar contest to an arrogant snow leopard guitarist named Trey (Matt Dillon), who is amused with Bodi's naivety. Trey, discovering his idolization for Scattergood, manipulates Bodi into convincing Scattergood to give him some guitar lessons at his mansion, though he knows a little secret about Angus' security set-up. At Scattergood's mansion, he is revealed to be a white Persian cat who wears black sunglasses all the time and has a serious case of songwriter's block as his manager, Ian, has given him three days to unleash a new song or his career will go down. His only companion is his robot butler Ozzie.
When Bodi tries to meet Scattergood, the latter is put off by Bodi's fanboy attitude and tries to evade him. Eventually, Bodi and Scattergood get lost in a back alley and Bodi decides to play music at Rock and Roll Park to get money for Scattergood to get back to his mansion. However, Riff and Skozz mistakenly kidnap Scattergood after they see Bodi at the park just when Bodi tries to convince a disbelieving Darma and Germur that he is with Scattergood. After Riff and Skozz realize their mistake, Linnux angrily sends them off to find Bodi again and they drop Scattergood off at his home. After Scattergood thinks that his career is over since he has less than a day to write a new song, he hears Bodi playing on his guitar and decides to use Bodi to create a new song. He invites Bodi into his home with the facade of a ""guitar lesson"" and together they create a new song called ""Glorious"".
Bodi later realizes that he was used after hearing Scattergood take full credit for the song on a radio, which saddens him. Trey mocks Bodi and everyone in the park leaves, although Darma and Germur feel sorry for Bodi. Soon afterward, Bodi finally gets captured by Linnux's henchmen via tranquilizer darts and he accidentally - while slightly under the tranquilizer's effects - reveals the fake Mastiff guards when Linnux interrogates him for information. Linnux and his gang head off to Snow Mountain while Bodi is put into a boxing match at Linnux's Fight Club, but Bodi cleverly has his opponent break the cage surrounding them so he can escape.
Meanwhile, Scattergood, after being guilt-tripped by Ozzie for exploiting Bodi for his own self-serving goals (Ozzie only needed to be recharged), uses his old tour bus to find Bodi. At Rock and Roll Park, Scattergood meets up with Darma and Germur and they discover that Bodi has been captured when they see his guitar covered in tranquilizer darts. Scattergood, with a change of heart, forgoes sending in his new song to rescue Bodi. After meeting with Bodi outside of Linnux's hideout, Scattergood makes amends with him by giving his old acoustic guitar with his autograph as a sign of gratitude and then takes him to Snow Mountain to stop Linnux and his henchmen.
Linnux and his gang overpower Khampa and the whole village and attempt to devour the villagers, but Bodi appears. After a climatic chase, Bodi subdues the wolves by ""finding the fire"" by playing Scattergood's guitar and making the wolves, the villagers, and his friends levitate. Khampa banishes Linnux with his Iron Paw and accepts Bodi's ambition to play rock music.
At the city, Scattergood gives full credit of the song ""Glorious"" to Bodi. Bodi forms a band with Darma and Germur as they (including Scattergood, Fleetwood, and the sheeps) sing and play ""Glorious"" to the city, the Snow Mountain villagers, Khampa, and most of the redeemed wolves (including Riff and Skozz) at Linnux's old Fight Palace. Outside, Trey tries to convince a bear bouncer that he's a part of the band, but is rejected. Scattergood recommends Bodi's band to Ian as Bodi shows the audience his blue energy wave."	American
Dinosaur	2000	animation	Eric Leighton, Ralph Zondag	D. B. Sweeney, Alfre Woodard, Ossie Davis	"A Carnotaurus ambushes an infant Parasaurolophus, triggering a stampede which forces an Iguanodon mother to abandon her nest. The one surviving egg journeys through several predicaments via the flight of a Geosternbergia, before ending up on a far away island populated by lemurs. One of the lemurs, Plio (Alfre Woodard), names the hatched baby Aladar and raises him despite her father, Yar's (Ossie Davis) objections. Years later, an adult Aladar (D. B. Sweeney) and the lemurs take part in the mating ritual, where Aladar's friend, Zini (Max Casella), goes without a mate. Moments after the ritual ends, a giant meteor strikes and destroys the island, spreading destruction in its wake. Aladar, Plio, Zini, Yar and Plio's daughter, Suri (Hayden Panettiere), flee and jump across the sea to the mainland. They mourn for their losses before moving on.
While crossing the deserted wastelands, they are ambushed by a pack of hungry Velociraptors. After escaping, the family comes across a remaining multi-species herd of dinosaurs led by Kron (Samuel E. Wright) and his second-in-command, Bruton (Peter Siragusa), who are on a journey to reach the ""Nesting Grounds"", a valley said to be untouched by the meteor. As Aladar and the lemurs befriend a trio of elderly dinosaurs Brachiosaurus Baylene (Joan Plowright), Styracosaurus Eema (Della Reese) and doglike Euoplocephalus Url, Kron permits them to follow the herd. Together, they migrate across the desert to a lake they have relied on for past trips. Though it has seemingly dried up by the meteor, Aladar and Baylene discover the buried water under the dried surface, saving the herd from dehydration. Impressed by Aladar's compassionate ways, Kron's younger sister Neera (Julianna Margulies) begins to fall in love with him.
Meanwhile, two Carnotaurs pick up the herd's trail and begin stalking them for food. Bruton and an Iguanodon scout search for water, but are attacked by the Carnotaurs. Bruton escapes badly wounded, while the scout is eaten by one of the Carnotaurs. Bruton returns to the herd and warns Kron that they are being followed, putting the entire herd in a state of panic. Kron picks up the pace and quickly evacuates the herd, leaving Aladar, the lemurs, the elder dinosaurs and Bruton behind, while the Carnotaurs are in pursuit. During a rainstorm, the stragglers spend the night in the cave, where Plio heals Bruton, and the Carnotaurs find and attack them. Bruton saves the others and sacrifices himself, causing a cave-in to kill the female Carnotaur in the process. As the rest of the group venture deeper through the cave, the male Carnotaur, having survived, vengefully resumes searching for the herd.
Aladar loses hope when they reach a dead end, but the others convince him to keep going, relating how he inspired them to do the same. After they knock down the dead end together and successfully find the Nesting Grounds on the other side. Eema sees a large wall of rocks blocking the original entryway to the valley. Knowing that the herd will die attempting to climb over it, Aladar rushes off alone to find them, and he gets pursued by the surviving Carnotaur. As Aladar arrives to catch up with the herd and suggests the safer way to the valley, a stubborn Kron furiously attacks him and they engage in battle until Neera stops them. The herd decides to abandon Kron and takes Aladar as their new leader. As they prepare to leave, the Carnotaur confronts them. Aladar rallies the herd to stand together, and they bellow their way past the predator. The Carnotaur pursues Kron on the ledge and, after a brief struggle, bites him on the back. Aladar and Neera fight against the Carnotaur until he plummets into the ravine below to his death. The two are relieved, but their joy is short-lived when they find that Kron has succumbed to his wounds.
In the aftermath, the herd are led back to the Nesting Grounds as their new home. A new generation of dinosaurs hatch sometime later, along with Aladar and Neera's children. The lemurs find more of their kind, and soon they begin embarking on a new life together."	American
