Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Friends with Kids	2012	comedy	Jennifer Westfeldt	Adam Scott, Jennifer Westfeldt, Jon Hamm, Kristen Wiig, Maya Rudolph, Chris O'Dowd, Megan Fox, Edward Burns	"Jason (an advertising executive) and Julie (a charitable investment advisor), longtime best friends now in their mid-30s live in the same building in Manhattan. Not romantically involved, they are close friends with two childless married couples, the placid Alex and Leslie and the sex-obsessed Ben and Missy. During the next four years, after both couples have children, their marriages suffer. Following a chaotic birthday party for Jason at Alex and Leslie's place in Brooklyn, Jason and Julie discuss how it would be better to have children first, to 'get it out of the way' since 'time is running out', and only then meet the person that you wanted to marry. After more discussion, they decide to have a child together, despite never having had romantic feelings for each other, and then to continue to date other people, to find 'their one'. Although their friends predict disaster, Jason and Julie adjust to their new relationship with baby Joe far better than their friends had imagined.[3]
Jason and Julie begin dating again and enter into budding relationships with young actress Mary Jane and divorced father Kurt, respectively. During a couples winter getaway in Vermont, Ben calls Jason and Julie's thought process and parenting skills into question. In the ensuing argument, Ben decries their arrangement as untenable in the long term and humiliates Missy. Jason defends his decision to have a child with Julie, saying that he loves her deeply and that she was the soundest choice of person for him to start a family with.
After returning from Vermont, Ben and Missy separate and later divorce. Shortly thereafter, at Julie's birthday dinner out (about 18 months after Joe's birth), Jason is surprised to find that she invited only him. Julie tells him that Kurt wants her to meet his children that weekend but that this new degree of commitment has made her realize that she is in love with Jason, who, along with Joe, have become her closest family. A stunned Jason tells Julie that his love for her has never been romantic and has asked Mary Jane to move in with him. Heartbroken, Julie leaves the restaurant, and soon moves out of her Manhattan apartment to Brooklyn, putting some space between herself and Jason. A few months thereafter, Jason and Mary Jane break up over their differing feelings about children, and both Julie and Jason return to dating others. Several months later, at a bar with Ben, Jason confides that he does have feelings for Julie, but that their messy split makes acting on such feelings impossible. Ben disagrees, noting the differences between his and Missy's sex-based relationship and Jason and Julie's long-lasting friendship.
Shortly before Julie's next birthday, after dropping 2-1/2-year-old Joe off at Julie's house after a day out, Jason presents her with a present: a photo scrapbook of the couple, and then the three of them (that he'd made for her birthday prior, but she never received due to their abrupt parting), consistent with Julie's prior statement that Jason and Joe were her family. They reminisce over several of the photos and then put Joe to bed, after Jason says a few things about 'staying the night' (as Joe wants him to). Jason's emotional shift and words make Julie emotional and uncomfortable, so she sends Jason home. He leaves, but quickly returns, and tells her what he said to her a year ago was all wrong. He finally realized it—she is the love of his life, she is his 'person', ""and that's just the way it is"". She tells him she can't be with someone who isn't 'into' her, and he, after a passionate kiss, offers to have sex with her to prove he is into her, in every possible way. She accepts his offer, passionately kisses him back, and they tumble onto her bed."	American
A Bad Moms Christmas	2017	comedy	Jon Lucas	Jon Lucas (director/screenplay), Scott Moore (director/screenplay); Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Susan Sarandon, Christine Baranski	"Amy (Mila Kunis) is now in a happy relationship with Jesse (Jay Hernandez) and is looking forward to having a simple Christmas. Her plans are derailed when her overly critical mother, Ruth (Christine Baranski), texts her to say she is coming for Christmas.
Meanwhile, Kiki (Kristen Bell) is still overworked with her four kids but now her husband Kent is much more helpful. Kiki is surprised when her mother Sandy (Cheryl Hines) shows up three days earlier than expected and is planning to spend the next three weeks with Kiki. Sandy’s love for Kiki is overwhelming, and smothering Kiki.
When Carla (Kathryn Hahn) gets home, her mother, Isis (Susan Sarandon), has arrived, telling her she intends to spend time with her for the first time in years. Surprised by this turn of events Carla is excited to spend time with her. Eventually, Amy, Kiki and Carla go to the mall where they express their misery over the holidays. But while commiserating about the pressures of the holidays they make a pact to “take Christmas back”. Ruth tries to create a spectacle out of Christmas, rather than keeping it simple like Amy wanted. In an effort to tamp down those plans Amy takes the family to Sky Zone to meet up with Kiki and Carla and their families. Ruth, Sandy and Isis all meet and chat while their daughters have fun with their kids.
At work, Carla meets an erotic dancer named Ty (Justin Hartley), who says he is competing in a Sexy Santa competition and he asks Carla to be his date, which she enthusiastically accepts. Kiki continues to have issues with her mother’s overbearing ways and decides to bring Sandy to Dr. Karl (Wanda Sykes) to discuss these issues. This leads to a breakdown in communication leading to Kiki scolding Sandy and causing her to leave the session.
Amy and Kiki join Carla as they attend the Sexy Santa show. All the ladies in the room are impressed with Ty's dancing. To everyone's surprise, Isis gets up on the bar and starts dancing with Ty. Carla runs up to get Ty back, leading to a fight. When Carla brings Isis home, Isis tells her she needs money for a new investment, but Carla knows she's just going to gamble it all away and then disappear from Carla's life like it's been for years. Nonetheless, Carla relents and loans Isis the money.
On Christmas Eve, Sandy tells Kiki that she put up a cash offer for the house next door so that she can live right next to Kiki. Finally, Kiki lashes out and tells Sandy she cannot live next door and that she wants some space. Sandy leaves the room crying.
Amy gets angry with Ruth when she discovers Ruth has invited a bunch of strangers over to her home to throw an elaborate Christmas party, exactly what Amy did not want. Amy loses her temper and demands everyone leave her home and tells Ruth to leave and get out of her life forever. Her kids, Jane and Dylan, witness this outburst and become upset with Amy. Meanwhile, Carla finds a note from Isis indicating she has just taken off with the money she lent her. Kiki is all alone as well.
Ruth goes to church for Midnight Mass and is, surprisingly, joined by Sandy and Isis. All the ladies criticize each other for their efforts as mothers, with each of them realizing their flaws. Amy’s father goes to her to talk about Ruth and the horrible fight they had, but acknowledging that while Ruth can be difficult to deal with, she has always been insecure over her work as a mom toward Amy, always worried whether or not she was doing a good job as a mother, but she always had the right intentions and loved Amy unconditionally. Amy goes to the church to try and repair her relationship with her mother. They apologize to each other and express their love. Once the clock strikes midnight, Amy and Ruth rush home to fix Christmas.
On Christmas morning, Jane and Dylan go downstairs to see that Ruth has returned, the relationship has been repaired and the house looking wonderful with decorations and gifts. Kiki makes up with Sandy, who tells her she put the neighboring house on the market and admits that she's just always felt lonely on Christmas since Kiki's father died. Carla is then visited by Isis, who is serious about turning her life around and has a new job at Sky Zone.
All the families get together and Ruth, Sandy and Isis announce that they have become friends and are now planning to take a trip to Las Vegas."	American
Goodbye Mr. Loser	2015	comedy	Yan Fei, Peng Damo	Shen Teng, Ma Li, Yin Zheng, Ai Lun, Wang Zi, Tian Yu, Song Yang, Chang Yuan, Li Ping, Lee Li-chun, Zhang Yiming	"Unemployed amateur musician Xia Luo (Shen Teng) attends the wedding of Qiu Ya (Wang Zhi), his high school crush. He overdrinks, makes an inebriated declaration of love to Qiu Ya, and angers his wife Ma Dongmei (Ma Li), who publicly shames him for being a poor provider and husband.
After causing chaos as his wife pursues him through the wedding hall, Xia Luo locks himself into a bathroom at the wedding venue, flies into a rage of self-hatred and passes out, waking up in his teenage body in his middle-school classroom in 1997. Thinking he is in a dream, he impulsively beats up his teacher, sets fire to the classroom, and kisses Qiu Ya, then jumps out a window to end the dream. But after waking up in hospital and realising he is still in 1997, Xia Luo is forced to make the best of things.
Although Xia Luo appears his normal teenage self to everyone else in 1997, he retains all his memories of adult life, including around twenty years of as yet unwritten pop music—which he decides to present as his own work, to gain fame and to win the heart of Qiu Ya. Over the next twenty years he becomes a pop megastar in China, taking the place of other superstar singers from the original 1990s to 2000s timeline, including 'ghostwriting' famous TV themes for pop radio, duetting with Sarah Brightman at the 2008 Beijing Olympic opening ceremony in place of Liu Huan and producing and judging for a popular music talent TV series (based on The Voice).
Having achieved all of his ambitions including marrying Qiu Ya, Xia Luo gradually realizes that he was destined to be with Ma Dongmei—after he abandoned her in middle school in the new timeline, she nevertheless defended him from bullies and troublemakers and was forced into a simple life in a small apartment, eventually marrying Da Chun, one of Xia Luo's kindly but slow-witted classmates from 1997.
As time goes on, Xia Luo gradually runs out songs from his original time to claim as his own, and his own written songs were criticized as lacking talent. He eventually announces his retirement and starts wasting his money on drugs and women. He also discovers Qiu Ya having an affair with another friend. Disappointed with how his life is turning out, Xia Luo makes a proposal to Da Chun, wanting to trade away all he owns in exchange for his wife, but the frustrated husband punches him into unconsciousness and he wakes up in a hospital bed, where it is discovered he is dying from AIDS. As Xia Luo's health deteriorates, Ma Dongmei sings a final love song to him in his hospital bed, revealing that it was always her favourite, even though he was serenading Qiu Ya with it in the classroom at the time (this song is also the only song Xia Luo truly wrote himself).
At the moment of his death, Xia Luo awakes and finds himself back in the wedding venue bathroom where he realizes that Ma Dongmei is the true love of his life. He runs back into the room and embraces her, which he continues to do as they are both arrested and taken to the local police station. He resumes his normal life much as before but with a new devotion to Ma Dongmei.
The film contains many references to Chinese popular culture in the late 1990s and early 2000s, including cameo appearances and depictions of well-known pop stars of that era. Some celebrities appear as themselves (including Jay Chou as a talent show contestant on The Voice, who performed a song Xia Luo had allegedly written, in reality one that Xia Luo had plagiarized from him), whilst others are depicted through stand-ins (for instance, Miss Na, who talent-spots Xia Luo in the new 1997 timeline)."	Chinese
Fitzgerald Family Christmas, TheThe Fitzgerald Family Christmas	2012	comedy	Edward Burns	Edward Burns, Connie Britton, Heather Burns, Kerry Bishé, Marsha Dietlein	The seven adult siblings of the Fitzgerald family prepare for their estranged father to return home for Christmas for the first time since he walked out on his family 20 years ago.[4]	American
Girl Most Likely	2013	comedy	Shari Springer Berman and Robert Pulcini	Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss	"Imogene Duncan (Kristen Wiig) was once a promising playwright who now works in a low-paying magazine job in New York City. After her affluent boyfriend leaves her and she is fired from her magazine gig, she stages a suicide attempt in an effort to get her ex's attention and is accidentally discovered by her friend Dara. Held in the hospital on a 5150 (involuntary psychiatric hold), she is eventually released into her estranged mother's (Annette Bening) care where she is taken to her childhood home in New Jersey.
Shortly after returning she hears a conversation between her mother and her new boyfriend, George Bousche, and learns that her father never died, but instead left the family to pursue a PhD. After learning that her father wrote a book, she goes to the local library and steals it. She discovers from the back cover that he lives in New York City and convinces her mother's boarder, Lee (Darren Criss), to take her there, but is forced to return after she is barred access from her apartment and her friend, Dara, refuses to let her stay in her home.
To pay Lee back for driving her to the city, Imogene goes to see him perform in his Backstreet Boys tribute band. Afterwards they talk about Imogene's failed career as a playwright. Years ago, after she won a prestigious grant, Imogene failed to write an actual play and now believes she cannot write. Lee accidentally discovered her old plays while living in her room and believes she is talented and should attempt to write again. They sleep together and the following morning she, Lee and her brother, Ralph, head back to the city to go to Dara's book launch party.
The launch goes poorly as no one is particularly happy to see her. Her brother Ralph is nearly arrested and is brought to the party by the police. After they leave the party, Ralph takes them to their father's house where Ralph reveals that he knew his father was alive the entire time. Imogene and Ralph have dinner with their wealthy father and his new wife where he expresses no regret over his decision to leave them. After their father offers Imogene money to help fix her life she leaves him and returns home to her mother. After Imogene and her mother discuss her father an assassin arrives looking for Bousche and threatens to kill the family. He is prevented from doing so by Imogene, who dons her brother's human exo-skeleton suit and attacks him.
Ultimately Imogene writes a play based on her experiences called Exo-life starring Julia Stiles, which receives a standing ovation."	American
Boonie Bears III	2016	comedy	Ding Liang Lin Yongchang	Zhang Wei, Zhang Bingjun, Tan Xiao	A story of friends old and new, of being lost but most importantly being found; The Big Top Secret follows Briar as he is whisked away from the home he knows and plunged head first into the ranks of a traveling circus. The struggling circus, led by Hugo the Gorilla, is on its last leg and in desperate need of a boost. Frustrated with his brother, Bramble, and the rest of his forest friends, Briar finds a new and welcoming home among Wolfgang's Big Top. Briar brings life back to the circus and quickly finds happiness in his new life filled with new friends and fame. While rising to the top has its benefits, it also comes with a price. After searching high and low, Bramble and his forest friends are thrilled to have found their lost Briar, but Briar is not so sure that he wants to be found. He doesn't want to leave his perfect new life at the big top but even the most perfect-seeming things have dark sides. Through trials and chases and trains, all of the animals learn what it is to belong and the true meaning of family.	Chinese
Hangover Part III, TheThe Hangover Part III	2013	comedy	Todd Phillips	Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong, Heather Graham, Jeffrey Tambor, Justin Bartha, John Goodman	"Two years after the events in Bangkok, Leslie Chow (Ken Jeong) escapes from a maximum security prison, using a riot as cover. Meanwhile, in the United States, Alan Garner (Zach Galifianakis) causes a multi-car freeway pileup after he purchases a giraffe and accidentally decapitates it on a low overpass. Alan's father Sid (Jeffrey Tambor), angry with Alan for his immature antics and never owning up to his mistakes, dies of a heart attack in the middle of a lecture. After the funeral, Alan's brother-in-law Doug Billings (Justin Bartha) informs friends Phil Wenneck (Bradley Cooper) and Stu Price (Ed Helms) that Alan has been off his ADHD medication and is out of control. The group attends an intervention in which Alan agrees to visit a rehabilitation facility in Arizona where he can seek treatment, as long as ""the Wolfpack"" takes him there. On the way to Arizona, Phil's minivan is rammed off the road by a rental truck and the group is taken hostage. They are later confronted by mob boss Marshall (John Goodman) and ""Black Doug"" (Mike Epps), his head enforcer.
He tells them that a few weeks after their shenanigans Chow hijacked half of a $42 million gold heist and, seeing how Alan has been the only one to communicate with Chow during his imprisonment, deduced that the Wolfpack could locate him and retrieve the gold. Marshall kidnaps Doug and gives the others three days to find Chow, or else Doug will be killed. Alan sets up a meeting with Chow in Tijuana, Mexico, where Stu and Phil will hide and attempt to drug him. However, Alan accidentally reveals their location and Chow forces them to confess that they are working for Marshall. Chow explains his plan to retrieve the stolen gold from the basement of a Mexican villa he previously owned. Stu, Alan and Phil break into the house and successfully retrieve the gold, but Chow double-crosses them by locking them in the basement, rearming the security system and escaping in Phil's minivan. They are arrested but mysteriously released from the police station. They are picked up by a limousine and taken back to the villa, where they meet up with Marshall.
They learn that Chow had lied to them; the villa was never his. In fact, it was Marshall's own villa and the gold they stole was the other half Chow didn't get from Marshall. Marshall forgives them for their mistake but kills ""Black Doug"" for his incompetence and reminds them of their now two-day deadline. The group tracks Phil's phone, which was left in the minivan, outside a pawn shop in Las Vegas. The pawnshop owner, Cassie (Melissa McCarthy), tells them that Chow traded a gold brick for $18,000, far less than its usual sell rate of $400,000. Using Stu's former lover Jade (Heather Graham) as their contact, they learn that Chow is barricaded in the penthouse suite of Caesars Palace. Phil and Alan sneak into his suite from the roof, but Chow escapes, jumping from the balcony and parachuting down to the Strip. Stu catches up to Chow and locks him in the trunk of the limo that Marshall lent to them. They take the gold and meet with Marshall, who releases Doug back to the group. Although Marshall initially promised not to harm Chow, he shoots through the trunk of the car, presumably killing him. However, Alan had given Chow the means to escape from the trunk through a backseat compartment just moments earlier.
Chow emerges from the limo and kills Marshall, allowing the Wolfpack to live because Alan saved his life. He offers Alan a bar of gold as a gift, but Alan turns him down and ends their friendship because of Chow's unhealthy influence on the group. As Chow sadly watches them leave, they go to retrieve Phil's minivan from the pawnshop and Alan makes a date with Cassie. Six months later, the two marry. Vowing to own up to his actions, Alan regretfully resigns from the Wolfpack but would still like for the gang to hang out on occasion. As the four walk to the ceremony, a montage of clips from the previous films play.
In a mid-credits scene after the wedding, Alan, Cassie, Stu, and Phil appear to have staged another wild party that they cannot remember. Stu emerges from the bathroom wearing panties with breast implants and Alan remembers that the wedding cake was a gift from Chow; who emerges from the next room naked, laughing, holding a bottle of whiskey and wielding a katana. Crystal the capuchin monkey then jumps on Stu before the scene cuts to black."	American
Cheap Thrills (film)	2014	comedy	E. L. Katz	"Pat Healy
Ethan Embry
David Koechner
Sara Paxton"	"Craig (Pat Healy) is an auto mechanic who loses his job. He is unable to pay his rent and after seeing the eviction sign, he goes to a dive bar, where he meets an old friend from high school, Vince (Ethan Embry). After their reunion, they meet a rich couple, Colin and Violet (David Koechner and Sara Paxton), who appear friendly and benign initially, and after becoming aware of Craig's dire financial situation, offer them money in return for completing certain tasks to entertain Violet, as it is her birthday.
As the first task, Colin offers fifty dollars to whoever between Craig and Vince can drink a shot he pours first. From there, the danger of the tasks escalates along with the payout. The dares result in a bouncer confronting Craig, who is offered five hundred dollars by Colin to hit him first. He does so and is knocked out. When he comes to, he realizes he been brought to the home of Colin and Violet. Tensions between Craig and Vince begin to emerge when they compete with each other in a breath-holding contest and Vince punches Craig in the stomach to prevent him from winning so that he may claim the prize money himself. Another dare between Colin and Vince involves Vince urinating on Craig's shoes. When Craig angrily goes to clean up in the bathroom, Vince accompanies him and they hatch a plan to rob the couple. Vince divulges that there is $250,000, which he instructs Craig to steal.
At knife-point, Vince manages to get Colin to reveal that the safe is unlocked. Craig retrieves the money and returns only to have Colin and Violet turn the tables on them when they disarm Vince. Colin and Violet agree to let bygones be bygones if Craig and Vince promise to behave, and still allow them to take all of the money, if they continue to play. Another dare involves Craig having sex with Violet as well as getting $4,500, the amount required to pay for Craig's month's rent. This angers Vince, who views it as an unfair bet, increasing hostilities between the two friends. Humiliated and feeling guilty for cheating on his wife, Craig withdraws from the game and goes home, having earned enough money to delay homelessness for the time being. Violet, who seems to have begun to develop feelings for him, is upset and becomes withdrawn, causing the game to end, as its purpose was to entertain her. Vince, desperate to win some more money, offers to perform anything asked of him. Colin suggests the amputation of his pinkie finger for $25,000. Just as Vince is about to accept, Craig returns to the game, stating that he only temporarily solves his problem with the $4,500 he has earned so far, and offers to the do the same dare for a smaller sum. Vince also goes lower, and they go back and forth until Craig settles for $15,000. Vince cuts Craig's pinkie off, resulting in Craig winning again, which only serves to anger Vince further.
The next challenge involves eating a cooked dead dog, (which had died while trying to eat Craig's finger), with the winner who finishes his portion first receiving $50,000. The contest results in a draw, a tiebreaker and the money will be given to whoever eats Craig's finger, Craig wins but he then gets beaten up by an enraged Vince. After being taken outside to calm down by Colin, he suggests that Vince kill Craig for the remaining portion of the $250,000. Vince considers the offer but finds himself unable to kill his friend, he suggests he and Craig leave but is suddenly shot to death by Craig. Colin calls Craig a taxi and he leaves with his winnings in hand, after he has left, Colin pays Violet her money, (the two had made a bet on which friend would kill the other; Colin chose Vince with Violet choosing Craig.) The film ends with Craig arriving home, comforting his child, suddenly the light turns on and his wife appears, staring at Craig covered in blood and at the money strewn all over the room."	American
Stand Up Guys	2013	comedy	Fisher Stevens	Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies	"Released from prison after serving 28 years, Val reunites with his old friend and partner Doc. Doc has been ordered by mob boss Claphands to kill Val as soon as he gets out. One of the first things Val wants is to visit a local brothel, which is run by Wendy. After Val is unable to perform, he and Doc break into a drugstore where Val consumes a larger dose of Viagra than what is prescribed. After a return to the brothel, Val tells Doc that he's ready to party. They go to a club, where Val shares an intimate dance with a younger woman.
After snorting some pills, Val passes out, so Doc contemplates killing him then and there. Instead, he takes Val to a hospital where the head nurse is Nina, their old friend Hirsch's daughter. Thereafter, they go to a local diner where Val correctly guesses that Doc is to kill him. Doc says he's been given until 10 a.m. to do the job, or else he will be killed as well. Val breaks into a black Dodge Challenger SRT8, and they go to get Hirsch, who had once been their getaway driver. Hirsch gets behind the wheel and almost immediately into a highway chase with the police. Asked what he wants to do next, the widowed Hirsch chooses the brothel, since he hasn't slept with anyone since his wife.
After they leave, the three men hear sounds coming from the Challenger's trunk. In it, they find a naked Sylvia, who was kidnapped by men who abused her, then threw her into the trunk. Sylvia tells them where the kidnappers are. Val and Doc go there, then shoot a couple of them. After tying everyone up, Sylvia comes in with a baseball bat, whereupon Doc and Val leave her to her revenge. Back at the car, Doc and Val find that Hirsch has died. They break the news to Nina, who helps the two bury her father at the cemetery. Doc and Val return to a diner, where the young waitress (who waits on them several times) is revealed to be Doc's granddaughter Alex, who adores Doc, but has no clue who he is. Doc makes a phone call to Claphands, begging him to show Val mercy, since he has only a few years left. Claphands reveals that he knows about Alex, and that he will hurt her if Doc doesn't complete the job.
Doc writes a letter to Alex, puts his home keys inside the envelope, then pins it to the wall of the diner. Walking down the street at sunrise, Val spots a church and he goes inside to give a priest his confession. Next, they break into a tailor shop, where they try on suits. Two thugs working for Claphands interrupt them, pestering Doc to get the job done. Doc and Val shoot and wound them both. Alex goes to Doc's apartment. The phone rings. It's Doc and he asks what she thinks of his paintings of sunrises. When he was painting, Doc says, he was thinking of her. A shoe box in the closet is filled with cash. The rent has been paid in advance for a year. He tells Alex goodbye and Alex calls him her grandfather. He tells Alex that he loves her and hangs up.
Strolling down to Claphands' warehouse, Doc and Val draw their pistols and open fire. A firefight commences, during which Doc and Val shoot at Claphands and his men, killing both of the latter. A firefight between them and Claphands ensues. The camera pans above the building, and the sky turns into one of Doc's sunrise paintings."	American
Enough Said	2013	comedy	Nicole Holofcener	Julia Louis-Dreyfus, James Gandolfini, Catherine Keener, Toni Collette, Ben Falcone	"Eva, a masseuse and the divorced mother of a teenage girl, attends a party in Pacific Palisades with her friends, married couple Will and Sarah. There she meets a poet, Marianne, and Will introduces Eva to one of his friends, Albert. After the party, Albert asks Will for Eva's number and, although hesitant since she is not physically attracted to him, Eva agrees to go on a date with Albert, which goes well. Marianne contacts Eva for a massage, and after taking an immediate liking to one another they become friends.
Eva finds herself growing fonder of Albert and they have lunch with his teenage daughter, Tess, who, like Eva's daughter Ellen, is graduating from high school and moving away to attend college. A few days later, Eva goes to her massage appointment with Marianne and realizes that Albert is Marianne's ex-husband after Marianne tells a story about how he manages to pick out onions when scooping salsa — the same story Albert had told Eva, but about guacamole. Tess then arrives at the house and Eva's suspicions are confirmed. Marianne tries to introduce Eva to Tess, but Eva hides behind a tree to avoid the meeting. Eva continues seeing Albert, keeping her friendship with Marianne a secret; likewise, she does not tell Marianne that she is seeing him.
Eva encourages Marianne to voice her complaints about Albert so she can identify potential problems in her relationship with him. At the encouragement of Eva, Sarah and Will invite her and Albert to a dinner party, which ends badly after Eva nitpicks over Albert's faults, which upsets him. At another appointment with Marianne, Eva is exposed when Albert arrives to drop Tess off. He is angry that Eva kept her friendship with Marianne a secret, and breaks up with her.
Eva and her ex-husband take Ellen to the airport for her flight to college. A few months later, on Thanksgiving Day, Eva drives by Albert's home and stops in front of the house on her way to pick up Ellen from the airport. He sees her and she awkwardly waves. He eventually comes outside, to Eva's surprise, and sits with her on the porch while they begin to renew their relationship."	American
