Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
The Kid	2000	family	Jon Turteltaub	Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin	"Russ Duritz works as a successful but impolite image consultant in Los Angeles and has a strained relationship with his father. One of his clients is a stadium manager who is reneging on a previous promise to fund a baseball camp for disadvantaged children. When Russ makes a pie throwing video to fabricate an explanation, his coworker Amy urges him to reconsider.
When Russ returns home to find a toy plane on his porch, he assumes it is a gift from his father. However, inside he finds a strange boy, and chases him through the streets. After seeing the boy enter Skyway Diner, Russ runs in and finds no sign of him. Believing the experience to be a hallucination, Russ frantically sees a psychiatrist for medication the next day, but finds the same boy on his couch eating popcorn and watching Ed, Edd n Eddy when he returns home. The boy says his name is Rusty, that he was just searching for his toy plane, but came across the popcorn. Starting to see a resemblance, Russ begins comparing memories and birthmarks with Rusty, and figures out that the boy is actually himself as a kid. After a series of probing questions about Russ's life, Rusty tells him, ""I grow up to be a loser.""
Amy finds out about the boy the next day and starts to think that Russ and Rusty are father and son. After she accuses Russ of being a dead-beat dad, Rusty assures her he is not Russ's son. Rusty implores Russ to tell Amy the truth about their identities, but Russ thinks she'd never believe them. Amy discovers the truth on her own while watching the two argue; Russ, and Rusty are nearly identical in style, and intensity.
When Amy finds out that Russ lied about airing the stadium manager's tape, she gets mad at him and leaves disappointed.
Russ cancels his appointments the following day, and spends the time walking with Rusty, and driving around the city trying to figure out why Rusty is there, and what from the past needs to be fixed to get Rusty back home. As they drive through a tunnel, Russ recalls a fight he lost with some neighborhood bullies who were abusing a three-legged dog named Tripod. They emerge from the tunnel to find themselves reliving Rusty's eighth birthday in 1968. Russ helps Rusty win the fight and save Tripod, but suddenly remembers that because of the fight, his sick mother also came to school for him that day. When they get home, Rusty's father angrily shakes and scolds him for getting into trouble and causing his mother more stress. Rusty cries while attempting to tell his father that he found a screw he lost, but his father tells him to grow up while rubbing Rusty's tears away harshly, causing a lifelong facial tic. Russ tells Rusty that his mother will die before his next birthday, then comforts him. Tearfully, Russ tells Rusty that his father's outburst was because his dad was scared that he didn't know how to raise him alone, and also assures Rusty that he was not responsible for his mother's death.
The two go to Skyway Diner, and celebrate their birthday. When a dog named Chester greets Rusty, they find out that his owner is an older version of Russ who owns planes, and has a family with a woman who is clearly an older version of Amy. Realizing that Rusty's appearance was meant to change his ways rather than the other way around, Russ returns to his time, arranges plans to see his father, buys his assistant tickets to Hawaii, and, with a puppy, returns to Amy, who invites him into her home."	American
Back to the Secret Garden	2001	family	Michael Tuchner	Joan Plowright, George Baker	"In 1946, Lady Mary Craven (Cherie Lunghi) visits an American orphanage, telling the children about an exchange program that will allow one child to travel to England and stay at Misselthwaite Manor, which is now an orphanage. She meets young Lizzie Buscana (Camilla Belle), who is in the garden trying to take care of her mother's rose bush. Lady Mary tells Lizzie about the exchange program and the secret garden, whereupon Lizzie agrees to participate so she can see the garden for herself.
Lizzie arrives in England and is met at the train station by Martha Sowerby (Joan Plowright), who runs Misselthwaite Manor. Lizzie quickly discovers that the children are only allowed to be in the garden on Sunday after church and must be on their best behaviour and not touch anything.
Making friends with Geraldine, Steven and Robert (Aled Roberts), Lizzie visits the garden after curfew and realizes that she must help it. Returning to the manor Lizzie notices a fire in Robert's room, caused by Robert having fallen asleep with a candle still lit. After alerting everyone and helping put out the fire, she is questioned by Martha as to why she is still dressed and how she knew there was a fire. Lizzie tells Martha about her illicit visit to the garden, and Martha discovers that Lizzie stole the key to the garden. Martha discovers that Geraldine told Lizzie about the key, but Geraldine believes the key should belong to Lizzie, and that the garden has chosen her, instead of Martha, who could not find the door.
Geraldine (Florence Hoath), who is jealous of Lizzie, learns that Ms. Sowerby gave the key to Lizzie, and persuades Steven to steal it in revenge for Lizzie's rejection of his feelings. When Lizzie finds the key missing, she assumes that Robert has taken it, knowing of his animosity towards her. She goes to find the key with Robert and discovers that it was Steven (Justin Girdler) who took it, on Geraldine's instructions, and threw the key in the pond. Lizzie confronts Geraldine, who initially denies it, but confesses when Martha punishes her for being a liar.
Lizzie is told that maybe she does not need the key, because of the magic door. When Martha goes to meet Lady Mary, who has returned to Misselthwaite, she tells Mary of the garden's untended state, even though it has been well-tended in her absence. Lizzie realises that the garden has been starved of children's love and fun; with the help of Robert she gathers the orphans, who run to the quickly-reviving garden.
Lady Mary and Sir Colin (Leigh Lawson) arrive with Martha and are amazed, as the garden does not look dead as Martha had described. Lizzie tells Lady Mary that the garden needed love and that she should not have it closed. Lady Mary informs Lizzie that the garden belongs to her, and that it took ""a girl from across the sea, many years ago"" to bring the garden back to life, and that it has taken a girl from across the sea to do it again, and that it is up to her to do as she wishes with the garden. Lizzie announces that the garden will stay open so that all the children can enjoy it."	British
The Little Ones	1965	family	Jim O'Connolly	Carl Gonzales, Kim Smith	Two poor boys from London, Ted, an abused child and Jackie, the son of a prostitute run away to Liverpool in an attempt to stowaway on a ship bound to Jamaica. Arriving in Liverpool tired and hungry, they steal a suitcase which they hope to pawn for money to provide food. The owner of the suitcase, a wealthy shipping businessman, alerts the police and the boys are subsequently caught, scolded and sent home. Recognizing their dire life at home, a friendly superintendent tells that the boys that many ships leave here for Jamaica.	British
Mother Goose Rock 'n' Rhyme	1990	family	Unknown		The film deals with the events surrounding Gordon Goose and Little Bo Peep, who, while still trying to find her sheep, goes to Mother Goose's house for help, only to discover her sudden absence. Bo Peep and Gordon search Rhymeland to flush out what has happened to Mother Goose, all the while watching as many Mother Goose characters begin to mysteriously disappear.	American
The Adventures of Sharkboy and Lavagirl in 3-D	2005	family	Robert Rodriguez	Taylor Lautner, Taylor Dooley, Cayden Boyd, George Lopez	"Max is a lonely child in the suburbs of Austin who creates an imaginary dreamworld named Planet Drool, where all of his dreams come to life. He creates two characters; Sharkboy, who was raised by sharks after losing his father at sea, and Lavagirl, who can produce fire and lava, but has trouble touching objects without setting them alight. The two left Max to guard Planet Drool. In reality, Max's parents have little time for him, and their marital relationship is not going well. Max is also bullied by fellow schoolmate Linus. However, he does receive friendship from Marissa, the daughter of his teacher Mr. Electricidad, whose name is Spanish for ""electricity"". After a chase, Linus steals Max's dream journal (where all of his most precious dreams are kept) and vandalizes it. The next day, as Max attempts to retaliate, twin tornadoes form outside the school. Sharkboy and Lavagirl emerge from the tornadoes and have Max accompany them to Planet Drool, which he learns is turning bad because of Mr. Electric, the dreamworld's now-corrupt electrician.
They confront Mr. Electric, who drops them in the Dream Graveyard, where some of Max's dreams have been dumped. They find Tobor, a robot toy that Max never finished building in the real world after being discouraged by his father. Tobor gives them a lift to other parts of the planet. The three form a friendship during their journey, but they face hardships, such as Sharkboy's anger for the oceans being frozen over, and Lavagirl's desperation to find her true purpose on Planet Drool. They are pursued by Mr. Electric and his ""plughounds"" across the planet. They plan to visit the Ice Princess and obtain the Crystal Heart, which can freeze time, giving them enough time to get to the center of Planet Drool and fix the dreamworld using Max's daydreaming. However, they are captured by Mr. Electric, and delivered to Linus's Planet Drool incarnation Minus, who has altered the dreamworld with Max's own dream journal, and traps the three in a cage. Sharkboy gets annoyed by Minus and has a shark frenzy, destroying the cage. After they escape, Max retrieves the dream journal from Minus while he is sleeping. Max informs Sharkboy that his father is alive in his book, but when Lavagirl wishes to learn what it says about her true identity, she burns the book to ash. In rage, Lavagirl asks Max why she was made out of lava, but Sharkboy tells him to let her cool down.
After an encounter with the Ice Guardian, Max, Sharkboy, and Lavagirl reach the Ice Princess, the Planet Drool incarnation of Marissa Electricidad. She hands over the Crystal Heart, but they are too late to stop the corruption since the ice princess is the only one who can use the Crystal Heart's power, and she cannot leave her home. Mr. Electric fools Sharkboy into jumping into water filled with electric eels, seemingly killing him. Lavagirl also dies after jumping into the water to retrieve Sharkboy. Tobor appears and convinces Max to dream a better and unselfish dream, which in turn revives Sharkboy, who then races Lavagirl to a volcano to revive her. Max concludes that her purpose is as a light against the dark clouds which have engulfed Planet Drool's skies. Max gains reality warping as the Daydreamer and defeats Minus, then offers to make a better dreamworld between the two of them, to which Minus agrees.
Mr. Electric refuses to accept the new dreamworld, and flies to Earth to kill Max while he is dreaming. Max awakens back in his classroom during the tornado storm. Mr. Electric materializes, and Max's parents get sucked into the storm, but are saved by Sharkboy and Lavagirl. Max gives the Crystal Heart to Marissa so she can use the Ice Princess's powers to destroy Mr. Electric. Mr. Electricidad, Linus and Max make peace with one another, and Max reunites with his parents.
Max later informs his class that Planet Drool became a proper dreamworld again, Sharkboy became the King of the Ocean, and Lavagirl became Queen of the Volcanoes, and as the film shows Max finally finishing Tobor, he reminds the class to ""dream a better dream, and work to make it real""."	American
Because of Winn-Dixie	2005	family	Wayne Wang	AnnaSophia Robb, Jeff Daniels, Cicely Tyson	"10-year-old India Opal Buloni has just moved to the fictional small town of Naomi, Florida with her father, a preacher.
While in the Winn-Dixie supermarket, she encounters a scruffy Berger Picard that is wreaking havoc.[2] Opal claims that it is her dog and names it ""Winn-Dixie"". Winn-Dixie becomes friends with everyone he encounters, and so Opal makes some new friends in the process. She also rekindles her relationship with her father, and learns ten things about her mother, who abandoned them seven years ago. Opal describes the preacher as a turtle, always sticking his head into his turtle shell, and never wanting to come out into the real world. This is most likely because of how sad he is about her mother, with whom he is still in love.
One of the people Opal meets is Miss Franny Block, a kind and somewhat eccentric elder librarian, who tells her many great stories, including one involving a bear. Opal also meets Gloria Dump, a blind recovering alcoholic with a tree in her backyard that has beer bottles hanging from it. She calls it a 'mistake tree' and the bottles represent the ghosts of all the things she has done wrong. One day, fed up with Winn-Dixie, the landlord of the Bulonis' trailer park, Mr. Alfred, orders the preacher to get rid of the dog. The preacher calls the animal pound to take Winn-Dixie away, but Opal begs her father to keep her dog. Unable to see his daughter this upset, the preacher tells the pound to return Winn-Dixie, claiming that he is not the same dog he called about.
Opal gets a job at Gertrude's Pets and befriends a worker there, Otis, a shy ex-convict with a passion for music. She also meets a girl named Sweetie Pie Thomas, who is eager to get a dog like Winn-Dixie. Later, a thunderstorm comes and Winn-Dixie, being pathologically afraid of thunderstorms, runs away. While Opal looks for him, her father wants to give up and she blames him for the loss of her mother and Winn-Dixie running away. But her father explains that he tried very hard to look for her mother. He then admits that he believes that she is never coming back. Later they go back to a party and Otis starts to sing a song on his guitar. Winn-Dixie is heard outside howling along to the song. Everyone, while singing, lets him in and welcomes him back."	American
Alice in Wonderland	2010	family	Tim Burton	Johnny Depp, Anne Hathaway, Helena Bonham Carter, Mia Wasikowska, Alan Rickman, Crispin Glover, Stephen Fry, Michael Sheen, Christopher Lee	"Troubled by a strange recurring dream and mourning the loss of her father, 19-year-old Alice Kingsleigh attends a garden party at Lord Ascot's estate. There, she is confronted by an unwanted marriage proposal to Lord Ascot's son, Hamish, and the stifling expectations of the society in which she lives. Unsure of how to proceed, she pursues a rabbit wearing a blue waistcoat and accidentally falls into a large rabbit hole under a tree. She emerges in a forest where she is greeted by the White Rabbit, the Dormouse, the Dodo, the Talking Flowers, and Tweedledum and Tweedledee. They argue over whether Alice is ""the right Alice"" who must slay the Red Queen's Jabberwocky and restore the White Queen to power, as foretold by Absolem the Caterpillar and his prophetic scroll. The group is then ambushed by the Bandersnatch and a group of playing-card soldiers led by the Knave of Hearts. Alice, Tweedledum and Tweedledee escape into the woods. The Knave steals the Caterpillar's scroll. The Dormouse leaves the others behind with one of the Bandersnatch's eyes in her possession. Tweedledum and Tweedledee are then captured by the Red Queen's Jubjub bird.
The Knave informs the Red Queen that Alice threatens her reign, and the soldiers and Bayard the Bloodhound are ordered to find Alice immediately. Meanwhile, the Cheshire Cat guides Alice to the March Hare and the Mad Hatter. The Hatter helps Alice avoid capture by allowing himself to be seized instead. Later, Alice is found by the Bloodhound, but Alice insists upon helping the Hatter. At the Red Queen's citadel and palace, the Red Queen is unaware of Alice's true identity and therefore welcomes her as a guest. Alice learns that the vorpal sword, the only weapon capable of killing the Jabberwocky, is locked inside the den of the Bandersnatch. The Knave attempts to seduce Alice, but she rebuffs him, causing a jealous Red Queen to order that Alice be beheaded. Alice obtains the sword and befriends the Bandersnatch by returning its eye. She then escapes on the back of the grateful Bandersnatch and delivers the sword to the White Queen. The Cheshire Cat saves the Hatter from the executioner, and the Hatter calls for rebellion against the Red Queen. The rebellion is quickly put down by the Jubjub bird, but the resistance flees to the White Queen's castle, and both armies prepare for battle. Absolem advises Alice to fight the Jabberwocky just before completing his transformation into a pupa.
On the appointed day, the White Queen and the Red Queen gather their armies on a chessboard-like battlefield and send Alice and the Jabberwocky to decide the battle in single combat. Encouraged by the advice of her late father, Alice fights the Jabberwocky among the ruins surrounding the battlefield and finally jumps from the remains of a spiral staircase onto the Jabberwocky's neck and beheads it. During this fight, a falling masonry stone kills the Jubjub bird. As punishment for their crimes, the White Queen banishes the Red Queen and the Knave into exile together. The Knave attempts to kill the Red Queen, yet the White Queen graciously protects the Red Queen from his attack. After the Hatter performs a celebration dance called Futterwacken, the White Queen gives Alice a vial of the Jabberwocky's purple blood whose power will bring her whatever she wishes. She decides to rejoin the everyday world after saying farewell to his friends. Back in England, Lord Ascot takes Alice as his apprentice with the idea of establishing oceanic trade routes to Hong Kong. As the story closes, Alice prepares to set off on a trading ship. A light-blue butterfly with dark vein markings lands on her shoulder, and Alice recognizes him as Absolem."	American
Freaky Friday	2003	family	Mark Waters	Lindsay Lohan, Jamie Lee Curtis, Chad Michael Murray, Mark Harmon	"Anna Coleman is an average teenager with a stressful life due to her stodgy widowed mother, Tess, and annoying younger brother, Harry. The conflicts revolve around: Tess's upcoming second marriage to Ryan, which Anna is not emotionally ready for due to her father's death three years before; Anna's pop punk/pop rock band, Pink Slip, which Tess hates because according to Anna, she thinks that they are all noise; Anna's claims about her archrival, Stacey Hinkhouse, who does not stop tormenting her and has Tess convinced that she and Anna are still best friends like they used to be; and her sadistic English teacher, Mr. Elton Bates, who gives her an ""F"" on everything she does no matter how hard she tries. Tess also disapproves of Anna's crush, Jake, an older student. To make matters worse, Anna gets detention twice during the school day. One for backtalking to Mr. Bates in the hallway, and another for hitting Stacey in the head with a volleyball on purpose during physical education after Stacey did it multiple times to her on purpose and got away with it.
The Colemans eat out at Pei-Pei's Chinese restaurant, where Anna begs Tess to let her go on an important audition with her band. However, Tess refuses since the show is on the same Friday as the rehearsal dinner. They begin arguing again until Pei-Pei's mother interrupts to give them fortune cookies, which contain a body switching spell, causing an earthquake only they felt. The next morning, they wake up in each other's bodies, figuring that the fortune cookies are responsible for the switch, but cannot go directly back to the restaurant as Anna has to go to school and Tess has to see her therapy patients, taking each other's roles. At school, Tess finds that Anna is not only right about Stacey when she assaults her, but Mr. Bates also gives her an ""F"" on a pop quiz about Hamlet even though she answered everything right. She soon recognizes him as a former classmate who asked her out to the prom, but she turned him down, and he is now taking it out on Anna. She threatens to report him to the school board unless he stops abusing Anna.
Before Anna goes to Tess's office, she gives Tess's body a makeover, much to her dismay. At Tess's practice, Anna has some difficulty handling her patients apart from a mother who has concerns over her daughter. At lunchtime, they go back to the restaurant to confront Pei-Pei and her mother, but she explains that only showing selfless love to one another will break the spell. In the afternoon, Anna attends Harry's parent-teacher conference, where she reads a composition about how much he actually admires her. She sees him in a different light, and vows to treat him nicer. Meanwhile, Tess attempts to make amends with Stacey, but she frames her for cheating. Jake helps her finish the test, which makes her realize that she has misjudged him. Unfortunately, he is no longer enamored with ""Anna"" after Tess sabotages Stacey's test.
Meanwhile, Ryan surprises Anna with an interview on a talk show to discuss Tess's new psychology book. However, she turns the interview into a wild romp to cover the fact she has not read the book. Tess and Jake catch it on TV and while she is embarrassed, he is impressed. Later, Anna bumps into him at a coffee shop, and they bond over their favorite music. He begins to fall in love with ""Tess"" and attempts to pursue her, much to the real Tess' horror.
At the rehearsal dinner, Anna's bandmates come to try to convince ""Anna"" to sneak off to the audition, but they are caught by security. Ryan surprises Tess and Anna by giving ""Anna"" permission to go. He explains that he just wants the kids to accept him, and he urges ""Tess"" to go support the band, finally winning her over. Since Tess cannot play, Anna unplugs her guitar, and plays while Tess mimes along and enjoys doing so. Jake is in the audience, and he realizes that Anna is the one for him. Tess also realizes how fun music is, and promises to treat Anna's band with more respect. Back at the rehearsal dinner, Tess tells Anna to ask Ryan to postpone the wedding, so that Anna will not have to go through marrying him in Tess's body. Instead, she proposes a toast where she finally accepts him because of how happy he makes Tess. This is the final act of selfless love needed to break the spell, and another earthquake has them switch back to their own selves. On the wedding day, Tess and Ryan marry, and she and Anna finally make up after such long conflict by saying ""I love you"" to each other. Also, Anna and Jake start dating with Tess's approval. Anna's band also plays at the reception. Pei-Pei's mother attempts to give Harry and Grandpa Alan the body switching fortune cookies when they argue, but her daughter confiscates them in the nick of time by tackling them to the ground."	American
Nanny McPhee Returns	2010	family	Susanna White	Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith, Ralph Fiennes, Ewan McGregor	"On a farm during World War II, while her husband is away at war, Isabel Green is driven to her wits end by her hectic life. Between trying to keep the family farm up and running and her job in the village shop, run by the slightly mad Mrs. Docherty, she also has three boisterous children to look after, Norman, Megsie, and Vincent. When her children's two wealthy cousins, Cyril and Celia, also then come to live with them, Isabel requires childcare help.
When the magical Nanny McPhee arrives, the children at first do not listen and carry on fighting, which she soon puts a stop to. Meanwhile, Isabel's brother-in-law, Phil, has gambled away his half of the farm, and is being chased by two hired-assassin women under casino owner Mrs. Biggles. He desperately attempts to make Isabel sell her half of the farm, using mean and spiteful schemes to leave her no choice. Isabel takes the children on a picnic during which an ARP Warden, Mr. Docherty, warns them about bombs and how he imagines a pilot might accidentally release his bomb. At the end of the picnic, Uncle Phil delivers a telegram saying Isabel's husband has been killed in action. Isabel and everyone else believes the telegram, but Norman says that he can ""feel it in his bones"" that his father is not dead. He tells this to Cyril, who at first says it is just because he is upset, but then agrees Norman might be right, so the two boys ask Nanny McPhee to take them to the War Office in London, where Cyril and Celia's father works.
There, Nanny McPhee and the boys ask Cyril's father Lord Gray, who is very important in the War Office, what has happened to Mr. Green. At first Lord Gray sneers at Norman's disbelief at his father's death, but after Cyril blurts out that he knows that his parents are getting a divorce, Lord Gray checks what has happened. While he is gone, Cyril tells Norman that he and Celia have been sent away because their parents will be splitting up, and Norman asks where Cyril and Celia will live. When Cyril replies ""with Mum, I suppose, not that it makes much difference, she only ever really sees us when she wants to show us off"", Norman tells Cyril that he and Celia are welcome to live on the farm with the Greens. Lord Gray returns and tells Norman that his father is not dead, but missing in action, and that there is no record of a telegram being sent to his mother. After the boys leave, Norman deduces that Uncle Phil forged the telegram.
While the boys were at the War Office, Megsie, Celia and Vincent were trying to stop Isabel from signing the papers and selling the farm. Just as Isabel is about to sign the papers, a German pilot accidentally drops a huge bomb; it shakes everything but does not explode and is left sticking out of the barley field. When Nanny McPhee returns with Norman and Cyril, Norman accuses Phil of forgery, which he admits to, and Isabel handcuffs him to the stove. The children go out to watch Mr. Docherty dismantle the bomb, but he falls from the ladder. Megsie takes over, and succeeds with the help of the other children and Nanny McPhee's jackdaw, Mr. Edelweiss. After Nanny McPhee helps to harvest the barley with a little magic, saving Phil from Mrs. Biggles' hitwomen in the process, it is revealed that old Mrs. Docherty is in fact baby Agatha from the first film and that Nanny McPhee has been staying with her. As Nanny McPhee walks away from the now happy family, the children and Isabel chase after her, only to see Mr. Green, in army uniform and with an injured arm, making his way to them. He runs to his family and they embrace."	American
MVP 2: Most Vertical Primate	2001	family	Robert Vince	Scott Goodman, Richard Karn, Cameron Bancroft, Robert Costanzo, Oliver Muirhead	"MVP 2 opens with the loveable Jack being invited to play for the Seattle Simians hockey team, but when the Los Angeles Carjackers team sets Jack up by making it look like he bit the finger of one of the players, Jack leaves while other Simians players look for him. Jack meets Ben, a runaway homeless skater boy, who lives in a shack at an old pool. Over time, the two become best friends, but when a police officer finds out where Jack and Ben live, they have to leave the pool. When leaving the pool, Ben breaks his board but was going to enter a skating competition and get sponsored. Jack goes to Oliver Plant's dumpster full of old skateboard stuff but Oliver finds Ben who tells him about his board and the competition so Oliver gives him a board to use. They stay with Oliver overnight with him not knowing about the pool incident, but when Oliver says ""good night, Ben,"" Ben suspects him of knowing that he was a runaway. Jack asks him to stay since there is no other place to sleep, Ben agrees. Earlier in the story, Oliver gets a visit from someone who deals with children like Ben so that night Oliver calls her and says he found Ben. The next day they go to the competition and when it's Ben's turn, he says he can't do it, but Jack realizes he has the uncanny ability to skateboard. He says he would ride with Ben, so Ben decides to do it. Ben wins the competition and gets sponsored by Bob Burnquist and Oliver adopts Ben. Meanwhile, Louie, Jack's little brother, gets a ride to Seattle and pretends to be Jack, being terrible at hockey. But Jack shows up and wins ZHL cup for the Simians. After the Simians win and Jack and Louie decide to go back home, Ben gives Louie a skate board so Jack can teach him. In the last part of the movie, Louie rides down a ramp back at their home."	Canadian
