Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Death Note: Light Up the New World	2016	horror	Shinsuke Sato	Masahiro Higashide, Sosuke Ikematsu, Masaki Suda, Erika Toda, Rina Kawaei, Mina Fujii	"In 2006, Light Yagami (aka ""Kira"") battled the detective L in his attempt to rid the world of crime, aided by the power of a Death Note - a supernatural notebook that kills anyone whose name is written inside. Ten years later, in a world afflicted with cyber-terrorism, a chain of unexplained deaths suggests that Death Notes are being used once more. Interpol quickly assigns L's biological successor, Ryuzaki, to the newly established ""Death Note Task Force"", led by Detective Tsukuru Mishima. They quickly secure a notebook during a murder spree in Shibuya, after its owner, Sakura Aoi, is killed by another Death Note. Upon touching Aoi's notebook, the Task Force meets and questions its original owner - a Shinigami (""god of death"") named Beppo - who reveals that there are six Death Notes currently in the human world; this is the maximum number that can exist there at any one time. The Task Force resolves to find the remaining five Death Notes.
Similarly, Aoi's killer - cyber-terrorist Yuki Shien - vows to acquire all the notebooks, believing he is on a mission from Light via his Shinigami, Ryuk. Inciting global panic with a virus featuring a video of Light as Kira, Shien then makes contact with Light's girlfriend and former ally, Misa Amane. After restoring her memories of Death Notes and gifting her with his, Shien asks Misa to disclose information which he believes will reveal where Light is hiding; she refuses, having watched Light seemingly die ten years ago. Undaunted, Shien uses his exceptional hacking abilities to locate three Death Notes, killing their owners in the process. He then impersonates Kira via another virus, threatening a killing spree unless L's successor reveals his name and face. In response, Ryuzaki spreads a CGI video of the original L, inviting Kira to a website intended to trick him into revealing his location. Anticipating this, Shien escapes before killing one of the original Kira investigators - Touta Matsuda. Fearing that the investigation is compromised, the Japanese government dissolves the Death Note Task Force.
Refusing to give up, Mishima finds a hidden message in Ryuzaki's video: ""I own the last Death Note"". Enraged, Mishima confronts Ryuzaki in his home and discovers the latter's unconventional relationship with his Shinigami, Arma. However, Ryuzaki reveals that his Death Note is blank, having promised L before his death that he would never use one. Upon leaving, Mishima is arrested on suspicion of compromising the investigation. A year prior, Mishima was tasked with locating Hikari Yagami, Light's secret successor who was placed in the care of prosecutor Teru Mikami. However, both Yagami and Mikami subsequently vanished, leading the police to suspect Mishima of conspiring with Kira. After Mishima is interrogated, Ryuzaki frees him so that he can access the Task Force's Death Note and confront the new Kira. Agreeing to meet Ryuzaki at the National Arts Centre, Shien again asks Misa for her help, which she reluctantly gives.
After three Task Force members return to the case, they head with Ryuzaki to meet Shien, who has been lured with the promise that Ryuzaki will reveal his face and the team's Death Notes. Mishima remains at headquarters to instruct them - however, contact is cut by a jamming signal made by Shien. Forced to reveal their faces, Ryuzaki and two Task Force members are killed by Misa, who has acquired ""Shinigami Eyes"" which display a person's real name above their head. Misa then gives Shien the information he needs but warns him that Light is definitely dead; his name did not appear when she looked at her picture of him. Finally, Misa kills herself with a Death Note page.
Realising that the Kira who gave him his task is an imposter, Shien arrives at the secret location and sacrifices half of his life span to obtain Shinigami Eyes - deciding to kill the imposter and take his place as Neo Kira. Shien is then shocked to be confronted by Mishima and Ryuzaki; the latter suspects Neo Kira wrote his name much earlier and specified a later time of death. Ryuzaki then reveals that he believes Mishima is Neo Kira - and upon touching Shien's Death Note, Mishima remembers everything. Having witnessed Teru Mikami turn insane and murder Hikari Yagami, Mishima killed Mikami and replaced Yagami as Neo Kira. Mishima later gave up ownership of his notebook and instructed Ryuk to give it to Shien, confident that the cyber-terrorist would find the remaining Death Notes. With this new information, Shien attempts to kill Mishima, but the police arrive with orders to kill all three of them. Mortally wounded in the initial crossfire, Shien dies after giving Mishima the Death Notes, allowing him and Ryuzaki to escape through an abandoned subway. They are then confronted by the last remaining Task Force member, who realises that Mishima is Kira and thus the one who killed a member of her family. However, Arma kills her when she attempts to shoot Mishima - at the cost of her own life, much to Ryuzaki's despair.
Mishima and Ryuzaki's execution order is annulled by Interpol and Mishima is taken into custody. Ryuk then explains why the six Death Notes were dropped down to earth - the dying Shinigami King, intrigued by Light Yagami, has promised to give his throne to the Shinigami who finds the next Kira. When Mishima points out that all six Death Notes have been secured, Ryuk suggests that human greed will result in their use once again, and leaves. Shortly after being led to his cell, Mishima is greeted by Ryuzaki, who informs him that the vehicle containing the notebooks was attacked by a terrorist group, destroying four and leaving the other two missing. Revealing that today is his appointed date of death, Ryuzaki suggests trading places with Mishima, as he believes that the latter is the only one who can retrieve the missing Death Notes. Accepting his new role, Mishima reveals his real name - Ryo Nakagami - and leaves Ryuzaki to die peacefully in the cell.
A post-credit scene shows a video of Light saying ""Just as I planned"" and ironically smiling."	Japanese
Dream House	2011	horror	Jim Sheridan	Daniel Craig, Naomi Watts, Rachel Weisz, Marton Csokas, Elias Koteas, Jane Alexander, Taylor Geare, Rachel G. Fox, Mark Wilson, Jonathan Potts, Lynne Griffin, Gregory Smith, Chris Owens, Sarah Gadon	"In 2007, Will Atenton (Daniel Craig) leaves his job as a successful editor in New York in order to spend more time with his wife, Libby (Rachel Weisz), and their two daughters, as well as to write his own book. At first, the family appears to be happy in their new home, until they discover that its previous occupants, a mother and her two small daughters, were shot to death in the house. Public opinion has condemned the father, Peter Ward, as the person responsible, but there was not enough evidence to convict Peter in court and he was also deemed mentally unfit to stand trial. Ward has been recently released from police custody and Will begins to feel he is seeing Peter watching the house.
Will visits Greenhaven Psychiatric facility, where Peter has been held for five years. He learns that on the night of the murders, Peter was shot in the head by his wife Elizabeth, who had somehow grabbed the murder weapon in the moments just before her death. In recovery, Peter could not believe he had committed the murders and so he no longer believed he was Peter Ward. He chewed his own name off all of his identification bracelets/cards/tags, leaving only his Greenhaven I.D. sequence, which revealed Peter Ward and Will Atenton to be the same person.
Unable to believe this, Will rushes home and we see his home is actually run down and condemned. Peter visits his neighbor, Ann Patterson (Naomi Watts). Ann had been a good friend to the Wards and never believed Peter was the killer. Returning to the house, Peter remembers he was on the phone with Libby when she stumbled on a burglar, who shot the little girls and wounded Libby. Peter attacked the gunman and Libby accidentally shot Peter.
Ann's ex-husband Jack and the gunman burst into the now-decrepit Ward home. It is revealed that the hit man had been hired to kill Ann, but broke into the wrong house and chose to kill the witnesses. Jack shoots the hit man in the abdomen before staging the scene so it will appear that Peter has murdered again before burning the house down. Peter regains consciousness in time to fight off Jack and rescue Ann. As Peter and Ann make it out of the house, Jack starts up the cellar steps but is doused with kerosene by the dying hit man, and Jack goes up in flames. The house burns to the ground.
Some time later, Peter—now back in New York City—walks past a major bookseller’s window and sees that his book “Dream House” has become a number one national bestseller."	American
I Am a Hero and and I’m a Dune Space	2016	horror	Shinsuke Sato	Yo Oizumi, Kasumi Arimura, Masami Nagasawa, Hisashi Yoshizawa, Yoshinori Okada, Nana Katase	"The story begins with Hideo Suzuki, a 35-year-old manga artist assistant, whose life seems to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, and has low self-esteem, resulting in frustration.
One day, the world as Hideo knows it is shattered by the presence of a disease that turns people (nicknamed ZQN) into homicidal maniacs that resemble and behave like zombies, whose first instinct is to attack and devour the nearest human. Armed with only his sporting shotgun, he runs for his life, meeting strangers along the way. For a while, he and his companions struggle to stay alive, while questioning their moral choices. In the end, only three of them remain and drive all the way to the top of Mt. Fuji to be saved.
I am a Hero in Osaka is set at the beginning of the ZQN outbreak in Osaka. This manga is centered around a part-time manager named Tatsuo with a love for motorcycles and his gasoline-fueled journey to rescue his girlfriend Kozue, stranded on an airplane at Kansai International Airport, as well as Kozue's fight for survival in an increasingly hostile environment. Against sinking odds, the couple do their utmost to reunite with the other.
I am a Hero in Ibaraki is set at the beginning of the ZQN outbreak in Ibaraki. The focus of this story is about an isolated high-school student and his dog struggling to survive, not only against the ZQN, but also that of his infected family and childhood friends.
I am a Hero in Nagasaki is set at the beginning of the ZQN outbreak in Nagasaki. The manga consists of the story of Yamada, a high-school dropout turned photographer who suffers from vivid hallucinations brought upon by a form of Anthropophobia and Nirei Aya, a Kyūdō national champion and Yamada's former classmate. The story documents their journey to Hashima Island, a perceived place of safety. However, their journey will not only be threatened by simply the ZQN, but also from their fellow humans."	Japanese
Ouija	2014	horror	Stiles White	"Ana Coto
Olivia Cooke
Daren Kagasoff
Bianca A. Santos"	"Debbie Galardi recalls playing Ouija with her best friend Laine Morris as children. In present day, Debbie throws her Ouija board into the fire, burning it. Debbie implies to Laine that something strange happened with the Ouija board. After Laine leaves, the Ouija board reappears in Debbie's bedroom. Debbie becomes possessed and hangs herself with Christmas lights inside her home.
Laine attends Debbie's wake with her boyfriend Trevor, younger sister Sarah, friend Isabelle, and Debbie's boyfriend Pete. The five friends meet at Debbie's house and use her Ouija board to try communicating with her. Strange things happen, and a presence smashes Pete's hand and face into a mirror. Later, the friends start finding the phrase ""hi friend"" (a message communicated during the Ouija board session) written in different places, like Isabelle's car window, a tunnel wall, Pete's desk, and Laine's computer. Thinking Deb is trying to communicate with them, the group has another Ouija session. They then discover that they are actually in contact not with Debbie but with a spirit calling itself ""DZ."" Laine sees the image of a little girl with her mouth sewn shut. The girl warns them to run because her mother is coming. Laine sees an old woman, and everyone flees. Laine later learns that Deb found the Ouija board in her attic and played alone.
Isabelle is possessed and killed by being smashed into her bathroom sink and cracking her skull open. Laine and Pete search Deb's attic and find a box of old photographs that belonged to the previous residents. While researching the previous family's history, they learn of a little girl named Doris Zander who went missing, and whose mother was suspected in her disappearance. Laine visits Doris's sister, an old woman named Paulina, who is now committed to a psychiatric hospital. Paulina explains that her mother was a medium and used Doris as a vessel for the dead to speak through. Their mother went mad and sewed Doris's mouth shut before killing her. She tells Laine that there is a secret room in the house where Laine must find Doris's hidden body and unstitch her mouth in order for the girl to banish their mother. The remaining friends go back to the Galardi house, where Laine finds Doris's corpse and cuts the stitches on her mouth. Doris's spirit appears and chases away the ghost of her mother. Pete becomes possessed and is killed in his home, appearing as a soulless ghost with his mouth stitched up.
Laine revisits Paulina and realizes that the old woman intentionally lied. Doris was the evil entity all along and her mother was trying to stop the friends from summoning her.[5] The Morris's grandmother, Nona, advises the sisters to destroy Doris's body and the Ouija board at the same time. Doris's ghost throws Trevor into a swimming pool covered with a plastic canopy, trapping and drowning him. Laine and Sarah return to the Galardi house cellar, where Doris captures Sarah and prepares to sew her mouth shut. Laine plays the Ouija board alone to draw the spirit's attention. Doris starts possessing Laine, but Deb's ghost appears to help Laine defeat Doris. Sarah throws Doris's body into the furnace, and Laine throws the Ouija board. The paranormal activity stops. Later, Laine finds that the planchette has mysteriously appeared back at her home in her bedroom, and as she sees through the planchette the film ends."	American
Mirrors	2008	horror	Alexandre Aja	Kiefer Sutherland, Paula Patton, Amy Smart	"A security guard runs through a subway station until he enters a room he cannot escape and starts begging his reflection in a mirror for his life. His reflection uses a shard to slice into its own throat; the wound reflects upon the real security guard's body, killing him.
Ben Carson (Kiefer Sutherland), a suspended police detective, begins his first day as a night security guard at the Mayflower, a luxury department store that was gutted by a fire and shuttered five years prior. The building still contains numerous mirrors from the store.
On Ben's first night of patrol, he finds a mirror that appears to be covered with handprints, but only on the reflected side of the glass. He sees an open door in the reflection while it is actually closed. Over time, Ben begins to see more intense visions, which he initially shrugs off as hallucinations. He soon finds the wallet of Gary Lewis, the previous night guard (from the beginning of the film) who supposedly killed himself. Inside is a note that says ""Esseker"". After noticing the absence of blood on the mirror shard in Gary’s crime photos, Ben is convinced that the mirrors make people do things to themselves that they are not actually doing.
Meanwhile, Ben's sister, Angie (Amy Smart) is killed by her reflection as it grips its jaw and slowly pulls its mouth apart, causing her to bleed profusely. Ben is distraught when he finds her body. In anger, he attempts to destroy the mirrors at the Mayflower, but they are impervious to damage. He demands to know what the mirrors want, and cracks appear on one of the mirrors, spelling out the word ""ESSEKER"".
Ben enters the flooded basement of the Mayflower and finds a small sign stating ""Psychiatric Studies"" and ""St. Matthew's Hospital"" underneath. He moves to the site of the leak and begins pulling at the tiles and brick of the wall and finds a room with a chair surrounded by mirrors beyond it, a Psychomanteum. Realizing that the Mayflower was built on the site of an earlier hospital, Ben asks his police friend Larry (Jason Flemyng) to help him locate the patient-employee manifest for the hospital. Larry finds the name Anna Esseker, a patient of the psychiatric hospital. She was twelve years old at the time and died in a mass suicide.
Ben looks through Anna's file and finds an Authorization and Consent form that negated her Death Certificate, stating that she had been discharged from the hospital two days before the suicide and is led to believe that Anna is still alive. Meanwhile, Ben's wife Amy (Paula Patton) discovers her son Mikey's (Cameron Boyce) reflection acting differently from the real Mikey. In a panic, she calls Ben, who immediately returns home. Together they cover every reflective surface in the house with green paint.
Ben locates Anna Esseker's childhood home, and discovers that as a child she was violent and uncontrollable, and diagnosed with severe schizophrenia. She was taken in by a doctor from St. Matthew’s Hospital, who believed that she was suffering from a rare personality disorder. His treatment was to confine Anna to a chair surrounded by mirrors, believing this would cure her disorder by forcing her to confront her own reflection. Ben is told by her brother that when she returned, apparently cured, strange things started to happen with the mirrors in their home. As a result, her family sent her to a convent, Saint Augustine's Monastery, where mirrors are forbidden.
Ben visits the convent and finds Anna (Mary Beth Peil), who explains that she was actually possessed by a demon, which was drawn from her and became trapped in the mirrors. She explains that it collects the souls of those it kills and if she were to return it would make it possible for the demon to be brought back into the mortal world. She refuses to go back.
Meanwhile, Amy discovers that Mikey is missing at home and a thin reflective layer of water is completely covering the floor. After putting her daughter in a safe closet, she finds Mikey using a chef knife to scrape the paint from the mirrors. Amy tries to stop him but he escapes, obviously possessed.
Having threatened her at gunpoint, Ben returns with Anna to the Mayflower and straps her into the chair in the Psychomanteum. Back at Ben's house Mikey is suddenly pulled through the water on the floor by his reflection and begins to drown. At the Psychomanteum the lights begin to flicker and the building begins to shake as the demons in the mirrors are released. They repossess Anna and all the mirrors in the Mayflower explode. Simultaneously, Mikey is released from the demon's grip and Amy is able to pull him to safety. Ben is then attacked by the repossessed Anna. He manages to kill her by igniting a nearby gas line, setting off a huge explosion. The old building collapses, killing the demon, and trapping Ben under the ceiling as he rushes toward the exit.
Ben pulls himself out of the rubble and stumbles out of the building. Policemen and firemen are everywhere in the street, and a body is seen being taken in a bag by paramedics, but nobody notices Ben. He looks at the older security guard's name tag and sees it is written backward, realizing everything is in reverse (like in a mirror). He comes upon a mirrored surface in the city and fails to see his own reflection as he reaches out to touch it. He realizes that he was actually crushed under the rubble and is now trapped in the mirror world: In the living world, his hand appears as a handprint on the glass surface."	American
Spike	2008	horror	Robert Beaucage	Edward Gusts, Sarah Livingston Evans, Anna-Marie Wayne	Through a series of dreamlike images, a girl (Sarah Livingston Evans) and her three friends find themselves stranded in a dark and surrealistic forest by someone — or something (Edward Gusts) — who has obsessively loved, watched, and waited for the girl ever since childhood.	American
The Unborn	2009	horror	David S. Goyer	Odette Yustman, Gary Oldman, Meagan Good, Cam Gigandet, James Remar, Jane Alexander, Idris Elba, Carla Gugino	"Casey Beldon has nightmarish hallucinations of strange-looking dogs in the neighborhood and an evil child with bright blue eyes following her around. While babysitting Matty, her neighbor's son, she finds him showing his infant sibling its reflection in a mirror. Matty attacks Casey, smashing the mirror on her head, and tells her: ""Jumby wants to be born now"". She puts him to bed and leaves in shock.
Casey's friend Romy tells her of a superstition that newborns should not see their reflections in the mirror for at least a year because otherwise they will die soon. Casey's eyes begin to change color; a doctor asks if she is a twin, and explains the change as tetragametic chimerism and heterochromia, and that it is completely normal. Her neighbor's infant dies, supporting the superstition.
Casey's father admits that she had a twin brother years ago who died while he was in the womb when her umbilical cord strangled him, and whom he and Casey's mother had nicknamed ""Jumby"". She begins to suspect that the spirit is haunting her and this is the soul of her dead twin wanting to be born so it can enter the world of the living as evil.
Casey meets Sofi Kozma—whom she later learns is her grandmother—who explains that as a child she had a twin brother who died during Nazi experiments in Auschwitz during World War II. A dybbuk brought the brother back to life to use as a portal into the world of the living. Kozma killed her twin to stop the spirit, and now it haunts her family for revenge, which is why Casey's mother became insane and committed suicide.
Kozma gives Casey a hamsa amulet for protection, instructs her to destroy all mirrors and burn the shards, and refers her to Rabbi Joseph Sendak, who can perform a Jewish exorcism to remove the dybbuk out of her soul. Sendak does not believe Casey's story until he sees a dog with its head twisted upside down in his synagogue. The dybbuk kills Kozma and, soon after, Romy. Casey and her boyfriend Mark—who both see the spirit after it kills Romy—realize that it is getting stronger.
Sendak, Mark, Episcopal priest Arthur Wyndham, and other volunteers begin the exorcism, but the dybbuk attacks them and several are wounded or killed. The spirit, having possessed the priest, chases Casey and Mark. Mark knocks Wyndham unconscious but gets possessed. Casey stabs Mark in the neck with the amulet; Sendak arrives and he and Casey complete the exorcism. The rite draws the dybbuk out of the human world, but Mark falls and dies during the separation.
Casey mourns her boyfriend but still wonders why the dybbuk became suddenly active in her life now, and why it didn't attack her earlier. She takes a pregnancy test, and learns that she is pregnant by Mark, with twins."	American
The Phobos	2010	horror	Oleg Assadulin		"On a rainy summer day a group of young people go to a club called ""Phobos"", which is under construction and in the past used to be a bomb shelter. Suddenly all the club doors are automatically closed and the lights are switched off. Initially the characters perceive everything as a joke but later realize that they are trapped: their cell phones do not work and they did not tell anyone about their intention to go to this club. The goth girl Vika says that there is a creature that feeds on their fears and that they need to overcome their own feelings of fright."	Russian
Spellbound	2011	horror	Unknown		"Jo-goo, a street magician (Lee Min-ki), notices a miserable looking girl, Yeo-ri (Son Ye-jin), in the audience during one of his performances, and she winds up being the inspiration for his “Horror magic show.” The show becomes a runaway success almost overnight and Jo-goo in turn, is now a successful stage magician with a model girlfriend. Yeo-ri works for Jo-goo, playing the specter in his show. Forward to almost a year later, the darkness inside her, something her colleagues sense, keeps her from truly connecting with them. When Jo-goo’s attempts to include Yeo-ri in a staff dinner finally succeeds, hilarious disaster ensues when she ends up blindingly drunk. Jo-goo calls Yeo-ri the next morning to sort things out, but when the phone disconnects with a weird sound, he decides to drop by her place for a visit instead. There, Jo-goo meets and engages in a game of hide-and-seek with a ghost child, which then scares the bejesus out of him later that night. As the two of them spend more time together, developing a fast friendship, Yeo-ri confesses the long story behind her gray, wan face.
Yeo-ri has acquired an 'unwanted' ability to see the dead ever since she survived a high school automobile accident. She not only sees dead people, but these 'dead people' also appear in her life on a regular basis. In particular, the vengeful ghost of her best friend Joo-hee, who died during that automobile incident, follows her everywhere scaring people around her relentlessly. Yeo-ri eventually ends up leading a solitary life, even her family has fled the country and left her behind. She sleeps in a tent in her living room, speaks to a friend sometimes and only through the phone, resigning herself to the idea that her solitary life is best in the grand scheme of things.
During the course of Jo-goo’s failed attempts to find his lonely friend Yeo-ri a boyfriend, the pair start to develop feelings for each other. And though Jo-goo is sometimes scared witless himself, he loves Yeo-ri enough to overcome his fear. Joo-hee, consumed by jealousy, becomes a threat during the show, prompting Yeo-ri to head off to join her family in order to protect Jo-goo from herself and the ghost. Is getting away going to be that easy, or does Joo-hee have more tricks up her sleeves?[8][9]"	South_Korean
Black Rock	2012	horror	Katie Aselton	Katie Aselton, Lake Bell, Kate Bosworth, Will Bouvier, Jay Paulson	"Sarah (Kate Bosworth) invites her childhood friends, Abby (Katie Aselton) and Lou (Lake Bell), to a remote island that they once spent time at in their youth, in hopes of bringing their distant group back together. Though Abby and Lou are reluctant, they go with Sarah to the island. While there, they use a hand drawn map to try to find a time capsule they had buried as kids. They give up after Abby picks a fight with Lou over Lou having slept with her boyfriend years ago, something Abby has never gotten over and which ruined their friendship.
On their first night while camping on the beach, they run into Henry (Will Bouvier), Derek (Jay Paulson) and Alex (Anslem Richardson), three veteran soldiers who are hunting on the island. Lou recognizes Henry as the younger brother of a former classmate and Abby invites the three to camp with them. While drunk, Abby flirts with Henry and eventually takes him into the woods to make out. When she tries to stop, Henry becomes aggressive and tries to rape her. Abby hits him in the head with a large rock.
Hearing Abby's screams, the rest of the group come running and find Henry dead. Abby tries to explain what happened but the men don't believe her and become enraged that she's murdered their best friend. Derek and Alex knock the three women unconscious. When they wake, they are tied together by the wrists on the beach. Derek, the more aggressive of the two men, is adamant about killing them, but Alex tries to stop him. Abby goads Derek into letting her go so they can fight hand-to-hand. When he does, Lou tackles him as Sarah throws sand at Alex's face to prevent him from attacking. The three women then separately escape and hide, and the two men vow to kill them.
After hiding separately, they meet up at a childhood fort and decide to wait until nightfall before trying to reach their boat. Upon doing so, they discover the two men have cut the rope that tied the boat to the shore, sending it floating out to sea. Abby and Lou both believe they could swim it but Sarah believes it's too far and that they'd die from hypothermia before reaching it. As they crawl towards the shore, Sarah loudly protests the plan and runs back towards the tree line where she is shot in the head, by the men. Lou and Abby try to swim for the boat but cannot make it, instead heading back to another part of shore. Alex falls down a hill while chasing them and breaks his leg. Lou and Abby return to the fort and huddle together for warmth. They vow to ""stop being stalked and start stalking.""
In the morning, they find the time capsule and retrieve a Swiss army knife from inside. They sharpen sticks into weapons. As they do, they talk about the past and reconcile. They search the island and find the hunters camping on the beach, with an injured Alex sleeping nearby. Abby crawls over to Alex, prepared to slit his throat. However, she accidentally wakes him and he cries out for Derek. Lou runs at Derek, distracting him and Abby wrestles with Alex, eventually shooting him with his own shotgun. Derek chases Lou and Abby finally cornering them in an open field. He fires his gun, but realizes he has run out of bullets. He draws his hunting knife and the two women attack him from opposite directions. They fight, with a wounded Lou eventually slitting Derek's throat with his knife. Lou and Abby take the men's boat and sail back to civilization."	American
