Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Yesterday Once More	2016	romance	Yoyo Yao	Bai Jingting, Guo Shutong, Li Hongyi, Wang Herun, Ding Guansen, Zhao Wenlong	"Lin Tianjiao (Guo Shutong) is the top girl in her school. During one of her tests, she resorted to copying from notes, and is spotted by Gao Xiang (Bai Jingting), who is considered a wayward student. When the note was discovered by the teacher, Gao Xiang chooses to claim responsibility for trying to cheat. Lin Tianjiao feels apologetic towards Gao Xiang, and begins their friendship.
Meanwhile, Lin Tianjiao's good friend, Lu Tiantian (Wang Herun) is courting Ou Xiaoyang (Ding Guansen). However, due to his poor academic standing, Lin Tianjiao ignores him completely. Classmate Huang Tao (Li Hongyi) is secretly in love with Lin Tianjiao, but is too shy to express it. As a result, he and his best buddy, Li Tao (Zhao Wenlong) are at loggerheads with Gao Xiang.
The relationship between Lin Tianjiao and Gao Xiang develops, as she begins to understand Gao Xiang better. Knowing that she likes astronomy, Gao Xiang buys tickets for an Astronomy Exhibition and dates Lin Tianjiao. Lin Tianjiao's mother insists that Lin Tianjiao focuses on her school work, and does not allow her any time off, any allowance for friendship. As a result, Gao Xiang never gets to go on the date with Lin Tianjiao.
Meanwhile, as an act of love for Lin Tianjiao, Gao Xiang steals into the Astronomy Exhibition at night to take photographs of the place. He is arrested and forced to quit school. Before he leaves, he and his band of friends from the local auto-shop steal into the school to paint astronomical images on to the walls and ceiling of the classroom that Gao Xiang and Lin Tianjiao studied in.
At the award of the best student award to Lin Tianjiao, Huang Tao tells her that Gao Xiang is leaving town. Lin Tianjiao uses the opportunity of the award speech to tell of her selfishness as she sought the award. From ignoring the feelings of Lu Tiantian (and her relationship with Ou Xiaoyang) and her brother, Lin Ziao; as well as her good friend, Gao Xiang. She then declines the award, and leaves the auditorium to rush to the train station to bid farewell to Gao Xiang.
Unfortunately, she misses Gao Xiang. She (plus her brother, Lu Tiantian and Ou Xiaoyang) run into Gao Xiang's friends from the auto-ship, and hitch a ride to the local radio station, where Lin Tianjiao uses the programming to say farewell to Gao Xiang (singing the Beatles' song ""Hey Jude"").
After a few years, Lin Tianjiao is a famous astronomer. She gave up on her mother's plan for her to study finance in Tsinghua University, but decided to follow her own dreams of doing astronomy. She plans a trip to Africa, hoping to meet Gao Xiang in Africa. Meanwhile, the rest of the group meet at Huang Tao's wedding, with Li Tao as his best man. Lu Tiantian and Ou Xiaoyang are still courting, and Ou Xiaoyang is intending to propose to her."	Chinese
Marilyn Hotchkiss' Ballroom Dancing and Charm School	2005	romance	Randall Miller	Robert Carlyle, John Goodman, Sean Astin, Mary Steenburgen	"Frank Keane (Robert Carlyle) is a grieving baker unable to move on after his wife's suicide. Frank happens upon a car accident involving Steve Mills (John Goodman) who has suffered serious injuries. Steve was on his way to a ballroom dancing class in Pasadena to meet a childhood friend and asks Frank to go in his place. Frank reluctantly agrees. As the film progresses the story moves back and forth through the timeline of Steve's childhood, the accident scene, and the aftermath of Frank's first Lindy hop.
Steve's friend does not appear at the dance class. Frank's depressive state makes him uncomfortable in an environment with so many people. However, he is drawn to shy student Meredith (Marisa Tomei). Some of the students caution him against talking to her. Meredith's partner Randall (Donnie Wahlberg), the star pupil, is an obnoxious bully who takes an instant dislike to Frank and tries to intimidate him. Frank's friends from grief therapy convince him to continue with the dance class and soon the entire therapy group has joined.
As the class progresses Frank discovers a natural talent for dance that surpasses Randall's. Randall jealously slashes Frank's tires in an attempt to scare off the baker. Frank ignores the attack against the advice of others and forms a friendship with Meredith, who is revealed as Randall's stepsister and not his abused girlfriend as people assumed. Meredith defends her stepbrother's overprotective behavior, which developed in response to their father's violent physical abuse.
Frank eventually scatters his wife's ashes, an act he had been unwilling to perform in the past. He begins to put his life back together. He tracks down Steve's childhood friend (Camryn Manheim) to inform her of Steve's death. She reacts as if their missed reunion means nothing, but privately she cries as she sifts through her mementos of Steve. Frank and Meredith begin a relationship, and with the other members of the dance class continue to find friendship and healing in dance."	American
A Slipping-Down Life	1999	romance	Toni Kalem	Lili Taylor, Guy Pearce	Shy loner Evie (Taylor) hears musician Drumstrings Casey (Pearce) on the radio one night and becomes infatuated with him. She pursues him, carving his name (sadly, backwards) in her forehead with broken glass, and eventually they meet and then marry. They both still struggle to make something of their lives.	American
Return to Me	2000	romance	Bonnie Hunt	Minnie Driver, David Duchovny, Carroll O'Connor	"Bob and Elizabeth Rueland (David Duchovny and Joely Richardson) both work — Bob as an architect, Elizabeth as a zoologist — at Chicago's Lincoln Park Zoo. One night after a fundraiser for a new primate house Elizabeth is killed in a car accident, and her heart is transplanted to Grace Briggs (Minnie Driver), who has suffered from heart disease since the age of 14 and is near death. The surgery is successful and Grace, an artist, is able to live a normal life for the first time. She plans to make her first airplane trip to Italy to paint, and her best friend Megan Dayton (Bonnie Hunt) encourages her to begin dating, although Grace is self-conscious about the long surgical scar on her chest. She also has written a letter thanking the family of their lost loved one for the heart she received. It takes her over a year to finally find the courage to mail the letter.
A year later Bob, who has been working on the primate house that Elizabeth raised money for, remains depressed. He recognizes that he must resume his life as he becomes frustrated seeing that his dog hasn't gotten over the loss either. His friend, Charlie (David Alan Grier), organizes a blind date for him at a restaurant. The date goes very badly, but he finds that he is interested in the waitress — Grace, who is also the granddaughter of the restaurant's owner, Marty O'Reilly (Carroll O'Connor).
Although they are both unaware of the connection they have through Elizabeth's heart, Bob and Grace begin to date. As they grow closer together, Grace is reluctant to tell Bob about her medical history. After several months of dating, Grace finally decides to tell Bob about her transplant. However, before she gets the chance, she finds in his house the letter that she had sent several months earlier. Horrified by the discovery, Grace flees and tells Megan what has happened. Megan's husband (Jim Belushi) becomes infuriated as he has misunderstood Grace's panic and thinks Bob must be married. Megan then explains the situation to him in six monosyllables: ""Grace has Bob's dead wife's heart!""
When Grace meets Bob again, she tells him the truth. Stunned and not knowing what to say, he leaves. Against Megan's advice to not run away from the situation, Grace goes to Europe alone. Back at home and with Marty's help Bob realizes that although he will always miss Elizabeth, he ""aches"" for Grace. He decides to go after her, and the two reunite in Italy. They return to Chicago for the dedication of the new primate house. The film ends at the wedding of friends Wally and Sophie. Megan is visibly pregnant again. Charlie appears to be married and dancing with his wife and their toddler. Grace and Bob are happily dancing."	American
Love Happens	2009	romance	Brandon Camp	Aaron Eckhart, Jennifer Aniston	"Burke Ryan (Aaron Eckhart), is a successful Ph.D. and author of a self-help book that gives advice about dealing with the loss of a loved one. He writes the book after his wife dies in a car accident as a way to deal with the grief. While giving a workshop in Seattle, where his wife was from, he meets Eloise (Jennifer Aniston), a creative floral designer who owns her own flower-shop. She spurns his initial advance as her past relationships with men have not gone well, but after a heated exchange in the men's restroom, she meets him for dinner. Even though the dinner is awkward, they begin spending time together although she insists to her mother and her employee Marty (Judy Greer) that they are not ""dating"". It seems, however, that Burke has not been following his own advice, and in fact has not been dealing with the loss of his wife. In the end, he confesses to an audience that he was driving the car, and not his wife, as he previously maintained. Due to this, he blames himself for her death. Eloise, along with his wife's father (Martin Sheen), help Burke move past his wife's death. Burke goes to Eloise, telling her that she had spent the last few days getting to know the part of him that was not available and wondered was she interested in getting to know the part of him that was available."	American
Loving Couples	1980	romance	Jack Smight	Shirley MacLaine, James Coburn, Susan Sarandon	The plot offers a comic spin on adultery. When Greg crashes his sports car, doctor Evelyn comes to his rescue, and the two soon are engaged in an affair. Evelyn's workaholic husband learns about it from Greg's live-in girlfriend, scatterbrained television weather girl Stephanie, and the two begin to engage in a dalliance of their own. Complications arise when the two couples plan a clandestine weekend getaway at the same Acapulco resort.	American
Lie with Me	2005	romance	Clement Virgo	Lauren Lee Smith, Eric Balfour, Polly Shannon, Kate Lynch	"The camera slowly zooms out on a young woman masturbating to a porn sex tape. She gets up abruptly and goes out to a party, looking for sex. Leila has learned she has some power over men with sex but feels a part of her is still untouched, holding back, despite her assertiveness. Before she can choose a partner for the night she is corraled by David, into a bathroom, while his girlfriend calls through the door. She leaves, but keeps her eye on David as she picks up a shy guy, with whom she has sex against a fence outside as David watches from his car while his girlfriend fellates him. Leila is in complete control of her encounter while David remains completely passive.
He next sees her walking down the street, and follows her. She smiles but does not speak to him and breaks into a run, leading him to a playground. They crouch inside a small tunnel and watch each other as she begins to touch herself. But this time he leaves.
Leila visits her parents and learns that her mother is leaving her father and selling her childhood home. Her father is devastated, staying stoned on pot and refusing to do anything while her mother clears out the house. Leila's best friend, Victoria, is getting ready to be married, but confesses that she's had sex with an old boyfriend recently, despite her insistence that she loves her fiance and is ready to settle down. Leila is skeptical but supportive, and Victoria laughs when she turns on the VCR and discovers the porn tape Leila was watching; Leila tells her nothing about David.
When Leila sees David again they finally speak to each other, and he takes her home, where they have sex. He asks Leila if she will go out with him on a real date, giving her his number when she leaves.
They finally do go out, and begin a real romance. She meets his father, who is physically fragile but very funny, teasing her about having sex and making noise in their apartment. David cares very tenderly for the old man, who is charmingly brusque. Leila is still skittish, although she is not intimidated when David's old girlfriend confronts her at her job, warning her that David has intimacy issues. When they go back to the club again, Leila dances suggestively with a couple of men while watching David's reaction, and he is hurt and angry when they return to his place. She brushes off his fears when he confesses that he thinks of nothing but her, that he needs her, but she acts like it's all a game. He begs to her to promise that she won't leave him, and she does, but doesn't believe it herself.
When David finds his father dead, he turns to Leila for consolation, but she doesn't know how to comfort him. This leads to conflict, and ends with him asking her to leave. Later, he reconsiders; but he is unable to find Leila again, as he knows nothing about her except her first name. Leila finds her sexual world more and more unsatisfying and becomes increasingly frustrated. She picks up the shy guy again, but strikes at him in anger when he is unable to follow her peremptory commands, and throws him out of her apartment in disgust.
Leila spends time with her parents as they go their separate ways, and gets ready for the wedding while the summer is coming to an end. As she rides her bicycle to the ceremony David sees her and follows in his truck. He waits outside the synagogue and approaches her as everyone floods out onto the sidewalk following the wedding, and then Victoria grabs Leila's hand and she calls out to David, to ask if he's coming. At the reception David watches Leila dance with an old man, but she runs away again when he approaches her. This time he follows her all the way home, and all the way inside, telling her he won't leave her again. They reunite and the film ends with the two engaging in a passionate kiss."	Canadian
A Wedding Invitation	2013	romance	Oh Ki-hwan	Peng Yuyan, Bai Baihe, Jiang Jinfu, Pace Wu, Lin Meishiu, Zhao Yingjun, Lan Yuzhen	High school sweethearts Qiao Qiao and Li Xing are about to graduate from university when Li Xing surprises Qiao Qiao with a marriage proposal. Qiao Qiao, however, declines the proposal, offering rash arguments as to why she's not ready. Little does he know, Qiao Qiao has a devastating secret. Nonetheless, they write a breakup agreement; if they're both single in five years, they'll get married. They part ways and five years pass. Believing Li Xing is still waiting for her, Qiao Qiao waits patiently for his call. But when Li Xing finally does contact her it's to invite her to his wedding. Qiao Qiao is flabbergasted and is determined to win her former flame back at any cost, even though the secret that forced them apart lingers.	Chinese
Wives and Lovers	1963	romance	John Rich	Janet Leigh, Van Johnson	"Husband and wife Bill and Bertie Austin and their daughter live in a low-rent apartment. He's a struggling writer, at least until agent Lucinda Ford breaks the news that she's sold his book to a publisher, including the rights to turn it into a Broadway play.
A new house in Connecticut is the first way to celebrate. But during the long hours Bill is away working on the play, Bertie befriends hard-drinking neighbor Fran Cabrell and her boyfriend Wylie, who plant seeds of suspicion in Bertie's mind that Bill and his beautiful agent might be more than just business partners.
Bertie jealously retaliates by flirting with Gar Aldrich, an actor who will be in her husband's play. Bill goes to Connecticut for a heart-to-heart talk, finds Gar there and punches him. But when the play's a success, Bill and Bertie decide to give married life one more try."	American
All That Heaven Allows	1955	romance	Douglas Sirk	Jane Wyman, Rock Hudson	"Cary Scott (Jane Wyman) is an affluent widow in Stoningham in suburban New England, whose social life involves her country club peers, college-age children, and a few men vying for her affection.
She becomes interested in Ron Kirby (Rock Hudson), her gardener, an intelligent, down-to-earth and respectful yet passionate younger man. Ron is content with his simple life outside the materialistic society and the two fall in love. Ron introduces her to people who seem to have no need for wealth and status and she responds positively. Cary accepts his proposal of marriage, but becomes distressed when her friends and college-age children are angry. They look down upon Ron and his friends and reject their mother for this socially unacceptable arrangement. Eventually, bowing to this pressure, she breaks off the engagement.
Cary and Ron continue their separate lives, both with many regrets, but Cary's children soon announce they are moving out. Having destroyed her chance at happiness, her son buys her a television set to keep her company. Before doing so, however, her daughter apologizes to her mother for her prior impulsive and foolish reaction to Ron, saying that there is still time if she really does love Ron. Cary's doctor points out that Cary is now lonelier than she was before meeting Ron.
When Ron has a life-threatening accident, Cary realizes how wrong she had been to allow other people's opinions and superficial social conventions to dictate her life choices and decides to accept the life Ron offers her. As he recovers, Cary is by his bedside telling him that she has returned home."	American
