Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
The Flame Barrier	1958	sci-fi	Paul Landres	Arthur Franz, Kathleen Crowley	"American satellite X-117, carrying a chimpanzee, has unexpectedly fallen back to earth after entering a part of the stratosphere known as ""the flame barrier"", which encircles the earth at an altitude of 200 miles. Howard Dahlman (Dan Gachman), a rich businessman and ardent amateur space program enthusiast, went into the Mexican jungle to recover the satellite but never returned. His wife Carol (Kathleen Crowley) sets out to find him.
Arriving in Campeche, Mexico, Carol meets two jungle guides, the ill-tempered Dave Hollister (Arthur Franz) and his drunken but good-hearted brother Matt (Robert Brown). When she asks their help, Dave refuses, citing the coming rainy season. But he changes his mind after Carol gives in to his extravagant demand for $7,000 each for him and Matt if Howard is alive or 10 percent of his estate if he's dead. Dave asks Carol which is more important to her, Howard or the money from his estate. She hesitates before saying unconvincingly that she wants to find her husband alive.
Carol, Dave, Matt and their native porters head into the jungle with a copy of Howard's map. It shows the route he took to the X-117 crash site, 200 miles from Campeche.
In the jungle, they find a burned skeleton. Dave examines it and tells Carol that it's not Howard. Dave asks if she loves Howard. Carol says that she doesn't know, and that perhaps this is what she's trying to learn on the expedition. In return, Dave says that he too had had an unhappy marriage.
At their camp, Dave, Matt and the porters bring in a badly burned tribesman. Dave attempts to treat him, but the man dies. The porters say that the God of Fire is responsible. To everyone's shock, the man's body suddenly bursts into flames, leaving a skeleton similar to the one they'd found earlier.
Despite the rigors of the trek, Carol and Dave's mutual attraction grows. They kiss passionately later that night.
One by one the porters run off, leaving Carol, Dave and Matt on their own. They soon find Howard's abandoned camp. It has solar power and, surprisingly, the chimp from the satellite is there. Carol says that she's now convinced that Howard is dead, but Dave says that they must find Howard's body to legally prove it. A tribesman appears and takes them to the cave where he says the God of Fire lives.
Inside the cave, they find X-117 surrounded by an alien blob, out of which Howard's perfectly preserved head protrudes. But the chimp disintegrates as it approaches the blob, which itself is surrounded by a deadly invisible electric field. Dave and Matt calculate that the blob doubles in size every two hours. At that rate, it will expand out of the cave and overtake them if they try to outrun it. Their only chance is to destroy it inside the cave.
Dave notices that X-117 is sitting on two veins of metallic ore. He says that if they connect a solar battery to both veins, they can perhaps electrocute the blob and kill it. But by the time they've prepared everything, they have only eight minutes before the blob again doubles. Matt climbs to the vein above the blob. Unfortunately, they've miscalculated and the blob suddenly begins to expand. Matt dives into the blob, sacrificing himself, but giving Dave just enough time to electrocute it.
With the blob dead, Carol and Dave walk slowly away, arm in arm."	American
Moontrap	1989	sci-fi	Robert Dyke	Walter Koenig, Bruce Campbell	"On July 20, 1969, during the last phase of the Apollo 11 mission to the Moon, a robotic eye emerges from the lunar soil and takes notice of the landing module as it takes off. The eye buries itself again.
Decades later the Space Shuttle Camelot encounters a derelict spaceship in orbit around Earth. Mission commander Colonel Jason Grant (Walter Koenig) leaves the shuttle to investigate. He discovers a reddish-brown pod and a mummified human corpse. Both things are brought back to Earth, where it is found that they originated on the Moon some fourteen thousand years ago. Shortly thereafter, the unattended pod comes to life. It builds itself a cybernetic body with parts from the lab and pieces of the ancient corpse. The cyborg kills a lab technician and exchanges fire with security guards before Grant destroys it with a shotgun blast to the head.
Using the last completed Apollo rocket, Grant and fellow astronaut Ray Tanner (Bruce Campbell) go to the Moon on a search-and-destroy mission. They discover the ruins of an ancient human civilization. Inside, they find a woman in suspended animation who identifies herself in a rudimentary fashion as Mera (Leigh Lombardi). Mera later reveals the name of the killer cyborgs — the Kaalium. They survive the attack of a spider Kaalium and return to the landing module, with Mera wearing her own spacesuit but it turns out that the Kaalium have stolen the module. The Kaalium also shoot down the command module, leaving the astronauts stranded on the Moon. In subsequent attacks by the Kaalium, Tanner is killed, Grant and Mera are taken prisoner, and the Kaalium head to Earth.
Grant frees himself and rescues Mera from certain death at the hands of a cyborg. In the meantime, the Space Shuttle Intrepid is launched to intercept the approaching alien ship. Grant and Mera look for the control room and find the landing module, which has been adapted into the alien machinery. Grant supposes the module was the last piece of equipment that the Kaalium needed to complete their ship. He starts the module's self-destruct sequence and as they are attacked by a Kaalium crew member, discovers that he can use his gun as a rocket to get away. He and Mera exit through a breach in the hull. The ship explodes after they have reached safe distance.
Some time later, Grant and Mera are shown as a couple living on Earth. Mera, having learned to speak English, explains that she was put in stasis to warn others about the Kaalium. Grant tells her that she does not have to worry anymore, that it is over and hugs her. However, one of the pods survived the explosion and is now in a junkyard preparing to build itself a new body.
As the end credits finish rolling, a brief audio clip is heard of Grant talking to a NASA official on the phone about the possibility of any debris that may have fallen to Earth in the aftermath of the ship's explosion. The official denies such a thing and assures Grant that anything that would have crashed to Earth would have incinerated upon entry."	American
Predator 2	1990	sci-fi	Stephen Hopkins	Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton	"In 1997, Los Angeles is suffering from both a heat wave and a turf war between heavily armed Colombian and Jamaican drug cartels. A Predator watches a shootout between the police and Colombians, observing as Lieutenant Michael R. Harrigan charges into the firefight to rescue two wounded officers and drive the Colombians back into their hideout.
The Predator assaults the Colombians, causing a disturbance that prompts Harrigan and his police detectives Leona Cantrell and Danny Archuleta to defy orders and enter the hideout. They find the Colombians have been slaughtered. Harrigan pursues the crazed gang leader onto the roof and shoots him in self-defense, believing him to be attacking Harrigan, when the latter panickedly opens fire at the camouflaged Predator. Harrigan himself catches a glimpse of the alien, but dismisses it as an effect of the extreme heat and his acrophobia. At the station, Harrigan is reprimanded by his superiors for his defiance. He is introduced to Special Agent Peter Keyes, leader of the task force investigating the cartels, and Detective Jerry Lambert, the newest member of Harrigan's team.
Later that evening, several Jamaican cartel members storm the Colombian drug lord's penthouse. After they ritualistically murder him, they are slaughtered by the Predator. Harrigan's team enter the penthouse where they find the Jamaicans' skinned corpses suspended from the rafters, noting the similarity to the earlier Colombian massacre. Keyes arrives and kicks Harrigan's team out. Archuleta later returns to continue investigating. After he finds one of the Predator's speartip weapons in an air conditioning vent, the lurking Predator kills him. Harrigan vows to bring down Danny's killer, believing they are dealing with an assassin. Forensic analysis reveals the speartip is not composed of any known element on the periodic table. Seeking answers, Harrigan meets with Jamaican drug lord King Willie, a voodoo practitioner, in an alley. King Willie tells Harrigan that the killer is supernatural, and that he should prepare himself for battle against him. Harrigan, even more puzzled, leaves before the Predator kills King Willie, taking his head as a trophy. For Harrigan's persistence, the Predator begins to mark him as his ultimate hunting challenge.
Tracing a lead indicating Danny's killer had recently been in a slaughterhouse, Harrigan arranges to meet his team at a warehouse district to investigate. Cantrell and Lambert take the subway to the rendezvous when the Predator, hunting Harrigan's subordinates, suddenly attacks during a standoff between a gang and a group of vigilantes. The Predator kills the gang and multiple vigilantes; Lambert faces off against the Predator and is killed. Cantrell is spared after the Predator's scan of her body reveals that she is pregnant. Arriving on the scene to find numerous armed civilians dead in addition to Lambert, Harrigan chases the fleeing Predator but is intercepted by Keyes' men. Keyes reveals that the killer is an extraterrestrial hunter with infrared vision that uses active camouflage and has been hunting humans for sport throughout armed conflicts, most recently in Central America. Keyes and his team have set a trap in a nearby slaughterhouse, using thermally insulated suits and cryogenic weapons to capture it for study.
When the Predator arrives, the trap is sprung. However, the Predator uses its mask to scan through various electromagnetic wavelengths to identify the light from the team's torches. It easily outmaneuvers and slaughters the men before heavily wounding Keyes. Harrigan then attacks the Predator, badly wounding it before it rallies, destroys his weapon and closes in. Harrigan is saved by the sudden reappearance of Keyes, who tries to incapacitate the alien but is killed by its throwing disc. The Predator chases Harrigan to a roof and the two foes clash, leaving them hanging from a ledge. The alien activates a self-destruct device on its forearm which Harrigan then severs using the throwing disc, rendering the device harmless. The Predator falls through an apartment window, treats its wounds and flees through the building.
Harrigan follows it down an elevator shaft and finds a spacecraft in an underground chamber. Inside the ship, after Harrigan briefly glimpses a trophy room with various skulls (including a Xenomorph), he and the Predator face off in a final duel ending when Harrigan finally kills the Predator using its throwing disc. Several other Predators suddenly appear, collecting their dead comrade, and one of them presents Harrigan with an antique flintlock pistol as a trophy. Harrigan escapes from the ship as it takes off. He reaches the surface just as the remainder of Keyes' team arrives. As Keyes' subordinate Garber curses their lost opportunity to capture the alien, Harrigan privately muses that the creatures will return."	American
The Incredible 2-Headed Transplant	1971	sci-fi	Anthony Lanza	Bruce Dern, Pat Priest	Dr. Roger Girard (Bruce Dern) is a rich scientist experimenting with head transplantation. His caretaker has a son, Danny (John Bloom), who is an extremely strong full-grown man, but he has the mind of a child due to brain damage sustained in a mine accident. In an unusual turn of events, Manuel Cass (Albert Cole), a recently escaped mental patient and serial killer, has murdered Dr. Girard's caretaker and is seriously injured himself. Given an unprecedented chance to use human subjects -- a mortally wounded psychotic and a disabled man with little chance of surviving on his own, neither of whom he thinks will be missed -- Dr. Girard transplants Cass's head onto Danny's body to prove that his techniques can be applied to human beings. The new creature, with one head of a murderer and the other with the mental capacity of an eight-year old attached to an extremely powerful body, escapes and wreaks havoc.[2]	American
The Circle	2017	sci-fi	James Ponsoldt	James Ponsoldt (director/screenplay); Tom Hanks, Emma Watson, John Boyega, Karen Gillan, Patton Oswalt, Bill Paxton	"When her car breaks down, Mae Holland contacts an old acquaintance, Mercer, who is liked by her parents: Vinnie has multiple sclerosis and needs the help of his wife, Bonnie.
Mae's friend Annie Allerton works at The Circle, a tech company where Mae gets a job in Customer Experience. At a company meeting, Eamon Bailey (The Circle's CEO) introduces SeeChange, which uses small cameras placed anywhere to provide real-time video. At work, Mae rises in The Circle, embracing social networking. At a further company presentation emphasizing the need for accountability in politics, The Circle's Chief Operating Officer (COO), Tom Stenton, introduces a political candidate who has agreed to open her daily workings to the public through Circle.
Mae again sees a man from the party, Ty Lafitte. He takes her to an area where he says that all information on everyone is to be kept. Mae becomes embarrassed, as Ty is the creator of True You, a popular Circle product, and she had not recognised him. He tells her that True You has become something he did not intend. Mae is shown a picture of a light fitting, made by Mercer, in the shape of (or from) deer antlers. She photographs it and shares it on her Circle profile. The image attracts significant negative attention to Mercer, with people accusing him of killing real animals. Distressed by Mercer’s reaction to this, Mae goes kayaking at night and the rough waters cause her kayak to capsize, requiring rescue by the Coast Guard. The next day, Eamon says that SeeChange cameras recorded her at the kayak premises and in the water, which is how the Coast Guard was able to save her. At the next meeting, Eamon introduces Mae to the crowd and they discuss her experience of the rescue. The kayaking experience moves her to become the first circler to go ""completely transparent”, which involves wearing a small camera and exposing her life to the world 24/7. Mae's transparency damages her relationships, as she accidentally sees her parents having sex and they become distant from her soon after.
At a board meeting, Eamon announces support from all 50 states for voting through Circle accounts. Mae takes it a step further and suggests requiring every individual to have a Circle account, which they can then use to vote. Eamon and Tom approve, but the suggestion upsets Annie. At the next company-wide meeting, Mae says that The Circle believes it can find anyone on the planet in under 20 minutes and introduces a program to find wanted felons in the same time frame. The program identifies an escaped prisoner within 10 minutes, which causes the Circlers in the audience to erupt in applause. Mae uses this successful test to suggest transparency can be a force for good.
Mae says that the program can find anyone, not just wanted felons, and someone suggests Mercer. Mae is initially hesitant to use the program to locate Mercer, but Tom persuades Mae to continue, asking if they can break their record of 10 minutes. Mercer is quickly located in an isolated cabin where he works on his antler projects. Startled by this, he flees from the cameras to his truck and proceeds to lead those tracking him on a car chase. Not long into the escape attempt, Mercer loses control of his truck and drives off a bridge to his death, which horrifies Mae. She is seen in bed, three days later, still mourning the loss of Mercer. She calls Annie, who has also left The Circle, to her apparent benefit. Mae, however, finds that connection with others helps her cope with Mercer's death. Mae returns to the Circle, despite her parents' pleas. Mae calls Ty to ask for a favor, and Ty tells her something that he has discovered. At the next company-wide meeting, Mae explains how connection has helped her recover. She speaks with Eamon, and invites Tom onstage, then invites both Eamon and Tom to go fully transparent. She explains that Ty has found all their accounts, even the accounts that their wives were unaware of, and exposes them to the world, as no one should be exempt. Eamon and Tom, clearly upset, try to save face before Tom leaves the stage.
Mae reiterates her point of transparency being good, with the support of the audience. Mae goes kayaking again, untroubled by the drones that surround her."	American
Jules Verne's Rocket to the Moon	1967	sci-fi	Don Sharp	Burl Ives, Terry-Thomas, Gert Fröbe	"In Victorian England, everyone is trying to make new scientific discoveries. In the USA, Phineas T. Barnum's ""Greatest Show on Earth"" burns to the ground, so he heads for England with his star, Tom Thumb.
He is invited to a lecture by German explosives expert Siegfried Von Bulow who proposes the idea of sending a projectile to the moon using a powerful new explosive. Von Bulow is ridiculed but Barnum thinks the idea has the potential to make him money. He sets about finding the financial backing in order to build a giant cannon to fire the projectile, carrying a reluctant Tom Thumb.
The project attracts spies from all over the world. However the spaceship designed by Sir Charles Dillworthy proves useless since it does not provide a means for returning to the earth.
Barnum then meets an American balloon enthusiast, Gaylord Sullivan, who has run off with his girlfriend, Madelaine, on her wedding day to another man, the wealthy Frenchman Henri. Gaylord claims that he has designed a projectile equipped with round-trip rockets. Henri offers to finance Gaylord's missile if he agrees to take Tom Thumb's place.
Dillworthy and his shady brother-in-law, Harry Washington-Smythe, who have already embezzled most of Barnum's funds, immediately plot to sabotage Gaylord's flight.
When Madelaine discovers their plan, she is kidnapped and taken off to Angelica's Home for Wayward Girls. She escapes, however, and arrives back at the launching pad, located on a mountain in Wales, just as Gaylord is being removed from the sabotaged moonship.
Dillworthy, Washington-Smythe, and a Russian spy, Bulgeroff, sneak into the spaceship to continue their sabotage. Bulgeroff pulls the takeoff lever, and the three men are sent soaring on a one-way trip.
They land in what is presumably barren wasteland to find inhabitants singing in Russian. The befuddled Washington-Smythe can only conclude that the Russians are already on the moon."	British
Star Trek VI: The Undiscovered Country	1991	sci-fi	Nicholas Meyer	William Shatner, Leonard Nimoy, Christopher Plummer, Kim Cattrall, David Warner, Iman, Brock Peters, DeForest Kelley, Nichelle Nichols	"Praxis, a Klingon moon, explodes without warning. The starship USS Excelsior, commanded by Captain Hikaru Sulu, is struck by the shock wave and its crew discovers that much of the moon has been obliterated. The loss of their key energy production facility and the destruction of the Klingon homeworld's ozone layer throws the Klingon Empire into turmoil. No longer able to maintain a hostile footing, the Klingons sue for peace with their longstanding enemy, the United Federation of Planets. Accepting the proposal before the Klingons revert to a more belligerent approach, Starfleet sends the USS Enterprise-A to meet with the Klingon Chancellor, Gorkon, and escort him to negotiations on Earth. Enterprise's captain, James T. Kirk, whose son David was murdered by Klingons years earlier, opposes the negotiations and resents his assignment.
After a rendezvous between Enterprise and Gorkon's battlecruiser they continue towards Earth, with the crews sharing a tense meal aboard Enterprise. Later that night, Enterprise appears to fire on the Klingon ship with a pair of photon torpedoes, disabling the artificial gravity aboard the Klingon vessel. During the confusion, two figures wearing Starfleet spacesuits and gravity boots beam aboard the Klingon ship and grievously wound Gorkon before beaming away. Kirk surrenders to avoid armed conflict, and beams aboard the Klingon ship with Doctor Leonard McCoy to attempt to save Gorkon's life. The chancellor dies, and Gorkon's chief of staff, General Chang, has Kirk and McCoy arrested and put on trial for his assassination. The pair are found guilty and sentenced to life imprisonment on the frozen asteroid Rura Penthe. Gorkon's daughter, Azetbur, becomes the new chancellor, and continues diplomatic negotiations; for reasons of security, the conference is relocated and the new location is kept secret. While several senior Starfleet officers want to rescue Kirk and McCoy, the Federation President refuses to risk full-scale war. Azetbur likewise refuses to invade Federation space, stating that only Kirk will pay for her father's death.
Kirk and McCoy arrive at the Rura Penthe mines and are befriended by a shapeshifter named Martia, who offers them an escape route; in reality, it is a ruse to make their arranged deaths appear accidental. Once her betrayal is revealed, Martia transforms into Kirk's double and fights him, but she is killed by the prison guards to silence any witnesses. Just before the prison warden reveals who set them up, Kirk and McCoy are beamed aboard Enterprise by Captain Spock, who had assumed command and undertaken an investigation in Kirk's absence. Determining that Enterprise did not fire the torpedoes but that the assassins are still aboard, the crew has begun a search for them. The two assassins are found dead, but Kirk and Spock trick their accomplice into believing they are still alive. When the culprit arrives in sick bay to finish off the assassins, Kirk and Spock discover that the killer is Spock's protégé, Valeris. To discover the identity of the conspirators, Spock initiates a forced mind-meld, and learns that a group of Federation, Klingon, and Romulan officers plotted to sabotage the peace talks, fearing the changes their success might bring the titular ""undiscovered country"" (the future), and that Chang is one of the conspirators. The torpedoes that struck Gorkon's cruiser came from a prototype Bird of Prey that can fire while cloaked, and hovered just below Enterprise at the time of the assassination.
The crew contacts Captain Sulu, who informs them the conference is being held at Camp Khitomer. Both ships head for the talks as fast as they can. As Enterprise nears the planet, Chang's cloaked Bird of Prey moves to intercept. With Enterprise unable to track his ship's position, Chang inflicts severe damage on Enterprise and then Excelsior. At the suggestion of Uhura, the Enterprise's communications officer, Spock and McCoy modify a photon torpedo to home in on the exhaust emissions of Chang's vessel, using equipment originally intended to study gaseous anomalies. The torpedo impact reveals Chang's location, and Enterprise and Excelsior destroy the Bird of Prey with a volley of torpedoes. Crew from both ships beam to the conference and halt an attempt on the Federation President's life. Kirk pleads for those present to continue the peace process. Having saved the peace talks, Kirk and crew are contacted by Sulu, who bids farewell to his old friends and the Excelsior departs. Enterprise is ordered back to Earth by Starfleet Command to be decommissioned, but the crew decide to take their time on the return voyage. As Enterprise cruises towards a nearby star, Kirk proclaims that though this mission is the final cruise of Enterprise under his command, others will continue their voyages.[5]"	American
City Under Siege	2010	sci-fi	Benny Chan	Aaron Kwok, Shu Qi, Collin Chou, Wu Jing, Zhang Jingchu	"Sunny is the orphaned child of a former knife throwing master. Following his father's death, he is taken in by his uncle, who allows him to perform as a clown in a circus, since he did not inherit his father's knife throwing skills. Sunny still wants to be a knife thrower, though. He is tormented by his cousins, who are all performers in his uncle's troupe.
Many years ago, somewhere in Malaysia, when the Japanese are experimenting on some gases that mutate people, their lab explodes, killing everyone inside.
One day, Sunny overhears a plan the rest of the troupe are making to explore a cave, rumored to be filled with gold. Instead of killing Sunny, they use him as the point man for their expedition. They find crates filled with capsules and force Sunny to open them. Inside the first are numerous plates of gold. They then try to kill Sunny, and continue opening the rest of the capsules, releasing the experimental gas which transforms them into superhuman monsters. In the chaos, Sunny accidentally kills one of the troupe member's younger brother and he manages to escape the group's wrath. But he also gets exposed to the gas and collapses on a smuggler's ship heading to Hong Kong. He was thrown overboard when the crew discovered him.
A few days later, Angel, a reporter discovers him in his fat form after waking up from his coma. He was driven to a safe house somewhere. While sleeping, Sunny drains his fat and excess water. He later wakes up in his normal form, but finds out that he now possesses superhuman strength and heightened abilities. He tries to contact his uncle, but gets shocked when he finds out that his uncle was arrested by the Malaysian police for the incident while he was interrupted by incessant mosquitoes flying to him.
Meanwhile, several armored cars, banks and jewelry shops worth millions of dollars were blown and stolen by unidentified persons and several medical experts were abducted as well. A mutant couple disguised as detectives decide to investigate the matter.
Angel was fired on her own program for a newer one. While she's walking, she witnesses a hostage drama. Sunny also saw the scene and uses a stick to disarm the hostage taker. He becomes an instant hero, but he blows his cover to his mutated former troupe members. He also became an instant star and endorser when he was interviewed by Angel herself. The troupe attempts to kill him for his blood, knowing that it now contains the antidote for the virus. The attack is repelled and one mutated member gets killed, but this exposes Sunny's weakness to cold. The mutant detective couple decide to become Sunny's bodyguards.
In one commercial shoot, he gets attacked by the troupe again, nearly killing Sunny and Angel, during which another member later burns to death. Sunny recovers while he is away and trains under the detective for the inevitable showdown between the two."	Hong Kong
Runaway	1984	sci-fi	Michael Crichton	Tom Selleck, Gene Simmons, Cynthia Rhodes	"In the near future, robots are commonplace—a part of everyday life like any other electrical appliance—and are just as prone to malfunctions. When a robot malfunctions, it could pose a threat to people or property. Such robots are known as ""runaways."" Since they are more dangerous than the average machine, they are handled by a division of the police trained in robotics. The ""runaway"" squad, however, is treated as an easy and unexciting assignment and often ridiculed.
Sgt. Jack R. Ramsay (Selleck) is a veteran police officer who joined the runaway squad after discovering his previously unknown fear of heights, which resulted in a family's death at the hands of a man he let escape. After years on the job, Ramsay has found himself one of the division's few real experts. His new partner Karen Thompson (Rhodes) is enthusiastic about the job, but he assures her there is little excitement involved, saying that mostly it involves flipping a switch. This changes when they find themselves handling a new threat—the first robotic homicide. Investigating a household robot that murdered a family with a kitchen knife and handgun, Jack discovers strange integrated circuits, which not only override a robot's safety features but also direct it to attack humans. These circuits are not hacked chips, but created from a series of master templates, enabling them to be mass-produced.
Despite being unable to learn anything from uncooperative informants who end up dead, Ramsay refuses to give up and soon discovers the perpetrator is sociopathic genius Dr. Charles Luther (Simmons). Luther, while working for a defense contractor, developed a program that allows a robot to thermographically identify a human from amidst cover and to even differentiate between humans. Seeing the profit potential, he killed his fellow researchers and tried to sell the technology on the black market. A failed attempt to arrest Luther - complicated by Ramsay having to remove an explosive shell from Thompson's arm - results in the recovery of another of Luther's weapons, a smart bullet: a miniature heat seeking missile capable of locking onto a human target's unique heat signature, pursuing them wherever they run, even around corners.
While investigating another of Luther's partners, Ramsay and Thompson find Jackie Rogers (Alley), who was once Luther's lover. She double-crossed him and stole the circuit templates, intending to sell them herself. She is scared because she believes Luther will stop at nothing to kill her. When they create a ruse to transfer Jackie to safety, Luther attacks the police convoy with robotic smart bombs. They discover that the bombs are zeroing in on a bug in Jackie's purse; they throw the bag out the window before the bomb reaches the car. Ramsay decides to make a public appearance with Jackie at a restaurant to draw Luther out, but instead Luther captures Thompson and wants Ramsay to exchange her for Jackie and the templates. Before making the exchange, Jackie gives some of the templates to Ramsay, for insurance that Luther won't kill her. But Luther kills her anyway, after discovering the missing templates. He then fires his smart bullets into the crowded restaurant and flees.
To retrieve the missing templates, Luther plans to attack Ramsay. He uses the police computers to discover everything about Ramsay's personal life, including his son. Once Ramsay discovers his information has been hacked, he races home to find his household robot damaged and his son Bobby missing. Luther calls to confirm he kidnapped Bobby and wants to exchange him for the missing templates. Ramsay agrees to meet Luther at an unfinished skyscraper. Luther gets the templates while in exchange Ramsay sends his son down in an elevator whereupon Luther informs him that a legion of ""assassin"" robots—small, spider-like robots which kill by injecting their victims with acid—are waiting to kill the first person exiting the elevator. Thompson arrives and helps Bobby stay out of reach of the robots. Furious, Luther begins firing smart bullets, but Ramsay turns on the robotic construction equipment, creating multiple heat sources which cause the bullets to miss. Ramsay uses this distraction to escape and jump on to an elevator to go down. However, the elevator malfunctions, skyrocketing up to the very top with Ramsay onboard and stops. Ramsay is forced to overcome his fear of heights by reaching a reset button underneath the elevator to restart it, while encountering 3 robot spiders. Ramsay is able to defeat the spiders and restart the elevator downward. The elevator makes a stop on the floor Luther is on, with Luther approaching Ramsay in the elevator and exchanging words with him, causing Ramsay to start the elevator back down again and engage a struggle with Luther during the descent. Ramsay manages to gain the upper hand by pressing the elevator's stop button, catapulting Luther over the side, and the inventor lands on his back, in the midst of his robot spiders. Programmed to kill whoever came down from above, the robots rush Luther, injecting him in multiple places.
Ramsay helps his son down and then cautiously approaches the motionless villain. Screaming, Luther reaches up to grab Ramsay, but falls back, dead, while the spiders self-destruct around him."	American
Z.P.G.	1972	sci-fi	Michael Campus	Oliver Reed, Geraldine Chaplin	"Set in the future, the Earth has become severely polluted (people need to wear breathing masks when outside) with severe overpopulation affecting available resources. Because of the permanent thick smog that has settled over the dismal cities that now cover the Earth’s entire surface, all animals – even common household pets - are extinct; people eat tasteless bright-colored paste out of plastic containers. To reduce the world's population, the world's government decrees that no children may be conceived for the next 30 years. Breaking this law will result in a death penalty for both the parents as well as the newborn. Brainwashing and robot substitutes are used to end the yearning for children, with the death penalty as the ultimate deterrent, by being placed under a plastic dome and suffocated to death. Couples of child-bearing age visit ""Babyland"" and are given life-size animatronic children instead.
Russ (Oliver Reed) and Carol McNeil (Geraldine Chaplin) work in a museum recreating life in the 20th century. Carol is desperate for a child and when she conceives she avoids the abortion machine installed in their bathroom to remain pregnant. After the child's birth, the couple must shield the baby from being discovered. Once Carol decides to break the law and have a baby, they must not only avoid the prying eyes of the Big Brother-like government, but also the growing jealousy of their own friends. Neighbors finding a couple with a real child will go into the streets screaming ""baby, baby,"" until authorities show up.
When neighbours George (Don Gordon) and Edna Borden (Diane Cilento) find out about the baby, their initial offer to help conceal the baby leads quickly to trouble. Jealousy and envy arises as the Bordens want to share the baby as if it is a new car. The McNeils and the Bordens begin to fight over the baby and the Bordens then seek to keep the child for themselves. Finally, the McNeils are captured and placed under one of the state's execution domes, but the couple, along with the baby, manage to escape by digging into the underground, making their way through darkened tunnels in a raft to a remote island where there is no visible pollution; however the whole island may lay in a radioactive state."	British
