Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Knife Edge	2009	thriller	Anthony Hickox	Hugh Bonneville, Natalie Press	"A successful Wall Street trader returns to Britain with her family, but her new home in the countryside contains a disturbing secret. Her understanding of this secret is complicated by her husbands' difficulties and losing his job. In trying to hide this, he uses gaslighting to trick her into believing she is going insane.
Her son Thomas's new friend Tobias, has the same name as the little boy who was murdered in the house 30 years ago. This difficult and clever doubling blurs what is truth and what is a delusion."	British
Firewall	2006	thriller	Richard Loncraine	Harrison Ford, Paul Bettany, Virginia Madsen, Mary Lynn Rajskub	"Jack Stanfield is chief of security of Landrock Pacific Bank in downtown Seattle. He is visited by a collection agency, claiming he owes $95,000 ($115,000 today) to their online gambling site. Believing the incident is due to an identity theft, Jack entrusts a colleague to take care of the claim. He goes out for a drink with Harry Romano who introduces him to Bill Cox, a potential partner. After they leave, Cox follows Jack into his car and forces him to drive home at gunpoint.
At home, Jack finds his wife Beth and two children unharmed, but under surveillance by Cox's henchmen. The next morning, Jack is given instruction to transfer $10,000 each from the bank's 10,000 largest depositors – $100 million total ($120 million today) – to Cox's bank account. Cox rigs Jack with a camera and microphone to make sure he cannot ask for help without them knowing.
At Landrock Bank, Cox visits Jack, reintroducing himself as Bill Redmond, a potential partner. Cox asks Jack to give him a tour of the bank's security system. On the way back home, Jack attempts to bribe a henchman to betray Cox, but Cox kills the henchman. At home, Jack attempts an escape with his family, but his attempt is foiled. In retaliation, Cox gives Jack's son Andy a cookie containing nut products, sending him into an anaphylactic shock. Cox withholds the treatment (an EpiPen), until Jack acquiesces to their plan.
The next day, Cox forces Jack to fire his secretary Janet, fearing that she is growing suspicious. Jack initiates a wire transfer to send the money to Cox's offshore accounts. Before leaving, Jack uses an employee's camera phone to take a picture of the account information on the screen. Cox then begins wiping his tracks. He forces Jack to delete security data and surveillance tapes, and use a virus to cripple the building's system into disarray. Returning home, Jack finds the house empty except for Liam, one of Cox's men.
Realizing Cox has no intention of letting him live, Jack kills Liam. He tries to call Harry, but his colleague doesn't answer. Jack goes to Harry's house to inquire about Cox. However, Cox kills Harry with the gun he had earlier confiscated from Jack. Beth, held at gunpoint, leaves a message suggesting an affair on Harry's answering machine. This implicates Jack in Harry's death. In addition, the false $95,000 debts will be considered motive for Jack embezzling the bank's money.
Jack turns to the only ally he has left: his secretary Janet. She helps him retrieve the phone with the picture of Cox's account information. Jack calls Cox and announces a change of plans. Jack has hacked into his Cayman Island accounts and threatens to transfer the money away, unless Cox frees his family. During the conversation, Jack hears the family dog in the background, and realizes he can locate his family by the GPS tracking unit in the dog's collar. The signal leads him to an abandoned house. He tells Janet to call the police and approaches the house.
When one of his henchmen takes pity on the family, Cox kills him. Jack's daughter Sarah runs out of the house. Another henchman chases after her, but Jack runs him over with Janet's car. Cox, seeing that the tide has turned, panics and takes Beth and Andy to the upper floor. Jack enters the house and after a confrontation, he manages to kill Cox with a pickaxe, saving his family."	American
The Forest	2016	thriller	Jason Zada	"Natalie Dormer
Taylor Kitsch"	"The majority of the story is set in and around the Aokigahara Forest, a forest at the northwest base of Mount Fuji in Japan known as a popular destination for suicide.
Sara Price, an American woman, receives a phone call from the Japanese police telling her that they think her troubled twin sister Jess is dead, as she was seen going into Aokigahara forest. Despite the concerns of her fiancé, Rob, she journeys to Japan and arrives at the hotel where her sister was staying.
At her hotel, Sara meets a reporter named Aiden. They drink together, and she tells him of her parents' death. In reality, her father killed her mother, then committed suicide, but she tells him they were killed by a drunk driver. Her sister saw the bodies, but she didn't look. Aiden invites her to go into the forest with him and a park guide, Michi, so she can look for her sister.
As the three enter Aokigahara, Michi tells Sara that Jess has most likely killed herself. Sara refuses to believe this, explaining how, being a twin, she can ""feel"" that Jess is still alive. Deep in the woods, the group discovers a yellow tent that Sara recognizes as Jess's. With nightfall approaching, Michi suggests they leave a note for Jess and leave. Sara refuses, and Aiden volunteers to stay with her through the night.
That night, Sara hears rustling in the bushes and, believing it may be Jess, rushes into the woods after her. Sara finds a Japanese girl, Hoshiko, who claims to know Jess. The girl warns Sara not to trust Aiden and flees at the sound of his voice. Sara attempts to chase after her but falls and loses her.
The next day, Aiden and Sara become lost and begin to walk around the forest. As they walk, Sara's suspicions are raised and she demands Aiden to give her his phone and finds a picture of Jess on it. Aiden denies any involvement with Jess, but Sara runs into the forest alone. While running she begins to hear voices telling her to turn around. She appears to be unfazed by this until she hears the voice directly behind her. She turns around to see a hanging body and continues to run away. She then falls through a hole into an underground cave and goes unconscious, later she wakes up and discovers that she is in the cave with Hoshiko, who turns out to be a yūrei. Hoshiko then turns into what appears to be a ""demonic figure"". Sara then runs back towards the cave's opening, where Aiden finds her and helps her out of the cave. After some convincing, they continue to walk together.
Aiden brings Sara to an old ranger station he claims he'd discovered while looking for her. Sara hears her sister's voice coming from a locked basement, and finds a note which implies that Aiden is holding Jess captive in the basement. Convinced that he is a threat, Sara attacks and kills Aiden with a small kitchen knife. As he dies, Sara realizes that Aiden was telling the truth and that the picture on his phone, the voice at the basement door and the note had all been hallucinations.
In the basement of the ranger station, Sara sees a vision of the night her parents died. The ghost of her father suddenly appears and lunges toward her, grabbing her wrist. She cuts his fingers away from her wrist and escapes the station. Running into the forest, she sees Jess running toward the lights of the search party. Sara calls to her sister, who is unable to hear her. She realizes that her escape from the ranger station was another hallucination. When she cut at her father's fingers she was actually cutting deep into her own wrists, and is now dying from blood loss in the basement. As she succumbs to her wounds, hands of a group of yūrei pull Sara into the forest floor. Her very much alive sister is rescued by the search party and explains that the ""feeling"" of her sister is gone and it is assumed that Jess knows Sara is dead. As the search party leaves, Michi is seen staring at a figure and realizes that it's Sara's spirit."	American
Drum	2004	thriller	Zola Maseko	Taye Diggs, Gabriel Mann, Jason Flemyng	"The story is based on real events and real people and is set in the mid-1950s freehold township of Sophiatown, Johannesburg— one of the few areas in South Africa where blacks could own property and drink alcoholic beverages. Drum begins with the central character, sportswriter Henry Nxumalo, reporting on a boxing match with Nelson Mandela. Nxumalo leaves his wife Florence at home while going out into his community's night life and has an affair with a female singer. He works for Drum magazine, which was ""the first black lifestyle magazine in Africa.""[1] The magazine was financed by whites and had a multiracial staff; it was popular among the black community. Drum's British editor, Jim Bailey (Jason Flemyng), asks Nxumalo to write on the township crime scene, and Nxumalo, while at first unwilling, finally agrees. While on the job, he encounters Slim (Zola), a gang leader, that he had previously met in illegal township drinking places, and witnesses him kill a man in Sophiatown.
Initially Nxumalo stays away from political articles, but eventually writes about more than entertainment after his wife and Mandela encourage him. When a young man goes missing at a Boer farm and is feared enslaved, Nxumalo decides to investigate undercover. He gets employment as a labourer at the farm, where he is treated like a slave and nearly killed. He becomes a celebrity when his story is published, further reinforced by getting himself in prison and reporting about its conditions. Nxumalo decides that his destiny is to be a muckracker and, with the help of the German photographer Jürgen Schadeberg (Gabriel Mann), ventures on more risky investigations.
Nxumalo frequently fights the racism and apartheid that is beginning to creep into his hometown. He tries to tackle stories important to his society's well-being. However, he is no match to the plan to evict residents and ultimately destroy Sophiatown. Constantly harassed by the government, at the end of the film he is stabbed to death. The attacker has never been identified."	American
88 Minutes	2008	thriller	Jon Avnet	Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman, Deborah Kara Unger, Benjamin McKenzie, William Forsythe, Neal McDonough	"Forensic psychiatrist Dr. Jack Gramm (Al Pacino) testifies at the trial of suspected serial killer Jon Forster (Neal McDonough), dubbed ""The Seattle Slayer"" by police. Gramm's testimony and expert psychiatric opinion are crucial in the conviction of Forster for the attempted killing of Janie Cates and the murder of her sister Joanie, who was drugged, hanged upside down and killed after the killer invaded the sisters' apartment. Upon receiving a guilty verdict from the jury, Forster taunts Gramm, saying ""Tick-tock, Doc.""
Nine years later, as Forster's execution date approaches, several similar torture murders occur. Gramm, now teaching at University of Washington, is questioned by a lawyer from the Attorney General's office as well as FBI Special Agent Frank Parks (William Forsythe). The latest victim, Dale Morris, is revealed to be a former psychology student of Gramm's; they attended the same party the night before. On the way to his class, Gramm receives a phone call from someone using a voice changer, informing that he has 88 minutes to live. He reports the call to his secretary, Shelly (Amy Brenneman), asking for a risk assessment profile of suspects.
Gramm receives another phone threat while teaching and becomes suspicious of his students, particularly Mike Stempt (Benjamin McKenzie). The Dean of Students, Carol Johnson (Deborah Kara Unger), interrupts the class to report a bomb threat. Evacuating, Gramm finds threats written both on the classroom's overhead projector and on his car, which has been vandalized in the parking garage. Gramm is then met by his teaching assistant, Kim Cummings (Alicia Witt), who offers to help find the perpetrator. In the stairwell, Gramm encounters one of his students, Lauren Douglas (Leelee Sobieski), attacked by an unknown assailant and reports the assault to campus security.
Gramm and Kim go to his condo, where a package has been delivered. The package contains an audio tape of his kid sister, Kate, crying for help before being murdered. Gramm concludes that someone accessed his secure files to obtain the tape. Kim's ex-husband, Guy LaForge (Stephen Moyer), appears with a gun at the apartment door, but is shot and killed from behind by an assailant masked by a motorcycle helmet. A fire alarm is triggered by the sudden onset of smoke and the shooter flees through the crowd outside. Shortly after, Gramm's car explodes, having been rigged with a bomb.
Renting a cab, Gramm explains to Kim that his sister was killed decades earlier, when he left her alone in his apartment; the crime took exactly 88 minutes. Next, Gramm and Kim visit Sara Pollard (Leah Cairns), a woman Gramm slept with the night before, but find her murdered in her apartment with evidence incriminating Gramm. Carol calls Gramm and makes comments suggesting that she is the killer, demanding that Gramm meet her at his office. Shelly arrives at Sara's apartment and advises Gramm that she suspects Lauren was the one who stole the audio tape of Kate's death. Kim disappears from the apartment and later calls Gramm with a threat similar to Carol's, also demanding he meet her at the office.
Through prison visitation records, Gramm deduces that Forster's appeals attorney ""Lydia Doherty"" is a pseudonym for Lauren, surmising that she set up the frame on orders from Forster. Kim calls again, instructing Gramm to come to another nearby location on campus, where he finds Carol hanging over a seventh floor balcony; Kim is tied up and gagged nearby, held at gun point by Lauren. Lauren forces Gramm to ""confess"" on tape that he gave false testimony at Forster's trial. Special Agent Parks arrives and shoots Lauren, causing both Carol and Lauren to partially fall from the balcony. Gramm saves Carol from completing the fall, but Lauren comes loose and plummets to her death. When Forster calls asking to speak with Lauren, Gramm informs him of Lauren's death. He quips ""Tick-tock, tick-tock, you got 12 hours to live"" before throwing the phone into the void. Gramm flashes back to interactions with Kate and Janie Cates, then pockets the device that recorded his ""confession"". He shares knowing glances with Parks and Kim before walking away."	American
Devil Girl	2007	thriller	Howie Askins	Jessica Graham, Joe Wanjai Ross	"Devil Girl follows the story of Fay on her trip across Route 66 after the death of her father, who happened to be a mechanic. Fay takes her father's muscle car and his wedding ring, and departs from her home after saying her farewells to her sister.
The story simultaneously follows the events of an overly medicated, nonsense-spewing young man in clown makeup, who appears to be dodging authorities whilst hopping from vehicle to vehicle along his travels. The clown stops at a gas station to steal a new ride; however, there is no vehicle to be found. The clown knocks out the cashier and steals the handy supply of drugs and junk food while a woman (the cowgirl) stops for gas. The clown then ties the woman up while Fay stops for gas. As Fay searches the station for a clerk the clown rummages through her car, stealing her wallet, and then leaves in the cowgirl's truck, which later breaks down.
After the clown takes a mysterious ride in the Devil Girl's flying vehicle, and Fay's car breaks down, both stop separately in an eerie, highly religious, nearby town. Fay takes a room in the local motel, using her father's ring as collateral, as her wallet was stolen earlier. The clown meets Fay and is speechlessly smitten by her. In an attempt to pay back her debts, Fay dances at the town's strip club. The local mechanic tells Fay that the part required to fix her car should be available after a week.
One night the clown decides to enter the strip joint and witnesses hallucinations, including a dance by the Devil Girl, before seeing Fay dance and being thrown out of the club. After being driven back to the motel by an interested young man, Fay is raped in her room by a masked man and assumes it was the clown, due to the fact that she saw him outside of her window. The next night, the clown is back at the strip club, only to be kicked in the face by Fay and once again thrown out. Fay leaves in a rage to be picked up by the Devil Girl, and the two partake in sexual activities.
The Devil Girl then confronts the local preacher and accuses him of being a pervert by nature, which is later revealed to be true when Fay attempts to retrieve her ring from the preacher, whom she was told by the motel owner was in possession of. Fay finds a young, naked man trapped in a cage below the church, and is then attacked from behind by the preacher, who is revealed to be her rapist, his identity betrayed by his mask. Fay stabs the preacher with a screwdriver and beats him with a two-by-four. She then frees the young man, and together they escape.
The motel owner is shown to have been in leagues with the preacher and takes off searching for Fay after discovering the preacher's body. The young man is picked up by a police officer while Fay takes off with the clown on a motorcycle. The clown brings Fay to her car, where she finds the keys in the ignition, and prepares to leave while the clown tries to explain his feelings, and the motel owner is gaining ground. Fay drives off with the motel owner in pursuit with a pistol in his hand. As the motel owner takes aim at Fay, the clown pulls up between the two and smacks the gun away.
As the vehicles are about to collide with a tractor tailor, it is revealed that all the events of the movie were actually a drug-induced hallucination, imagined by an overly medicated, soon to be released mental patient named Donald, who fantasized himself as the clown and his nurse Fay as his alter-ego's love interest. However, in the end the Devil Girl is shown to be real, and had actually killed the crooked preacher."	American
Armed Response	2017	thriller	John Stockwell	John Stockwell (director); Matt Savelloni (screenplay); Wesley Snipes, Anne Heche, Dave Annable, Seth Rollins, Gene Simmons, Mo Gallini	A team of trained operatives find themselves trapped inside an isolated military compound after its artificial intelligence is suddenly shut down. There, they begin to experience strange and horrific phenomena as they attempt to uncover what killed the previous team.	American
Restraint	2006	thriller	David Deenan	Stephen Moyer, Travis Fimmel, Teresa Palmer	"Two fugitives from justice, Dale (Teresa Palmer) and Ron (Travis Fimmel), take hostage Andrew (Stephen Moyer), an agoraphobic art dealer who might have a dark past of his own. All three soon find themselves participants in a game of survival.
Before the narrative begins, Ron has killed Dale's boss, the owner of a strip club. On the run, the couple kill a gas station attendant who sees the body in the trunk of their car. Stumbling across Andrew's magnificent country estate, the couple plan to hide out there until the search for them abates. Ron, impulsive and out of control, abuses and threatens to kill Andrew, but Dale intervenes. Andrew proposes to give them AU 40,000 dollars and valuable jewelry to aid their getaway. Someone, though, must go to the bank to retrieve the goods. Andrew suggests Dale do it, posing as his fiancée, Gabrielle. Dale, as Gabrielle, drives to town and twice enters the bank without creating suspicion.
While Dale is gone, Andrew tells Ron that Gabrielle had left him after having an affair with his father and being paid by him to leave; he subsequently hired a hit man to kill his father. To persuade Ron to leave him alive, he offers leverage in the form of a photo that proves he had his father killed. While allegedly retrieving the photo, Andrew manages to lock Ron in the cellar, but Ron escapes and regains the upper hand.
Dale returns and the couple prepare to leave. Ron again makes a move to kill Andrew; Dale, who has been partly seduced by Andrew and his way of life, grabs their shotgun and shoots at Ron, without realizing that he has left the gun unloaded. Ron knocks Dale out and leaves her in a locked car filling with exhaust, sadistically goading Andrew into braving his agoraphobia in order to save her. Andrew manages to save her and wound Ron; reviving, Dale deals Ron a death blow.
With Ron dead, Andrew moves to call the police. Dale stops him by re-assuming her pose as Gabrielle, and, prompted by Andrew, by telling him in Gabrielle's voice that she loves him. They make love—again, with Dale coached to speak in Gabrielle's voice. Afterwards, Dale asks Andrew what would happen if Gabrielle came back while she's impersonating her. Andrew assures her Gabrielle is ""gone"", as we see him burning Gabrielle's passport, ambiguously suggesting he actually killed her. Later, Andrew plays Wagner downstairs alone and seems to celebrate, while Dale gazes forlornly out the house's top-floor window."	Australian
The Clinic	2010	thriller	James Rabbitts	Tabrett Bethell, Andy Whitfield	"The Clinic is set in the year 1978 (six years prior to the advent of DNA testing). A young mother-to-be, Beth, is traveling with her fiancé Cameron. After narrowly avoiding an accident on the road, they stop at a motel in the small town of Montgomery. Cameron goes for a midnight stroll and comes back to find his fiancée missing. After a quick search, Cameron calls the local police. Following the arrival of the police, Cameron attacks the motel owner out of frustration and the authorities arrest him. He later attempts to escape and is killed in a car crash.
Beth later awakens naked in an abandoned warehouse, lying in a bath tub filled with ice and water. She discovers a C-section scar on her abdomen and realizes her baby has been stolen. She also finds a white smock with the Roman numeral DCVIII written on the breast. Alone and afraid for her child, Beth wanders outside of the facility where she finds three other mothers who have also been kidnapped and had their unborn children surgically removed. The group finds another woman, barely alive, with her womb surgically opened, who declares her child to be “blue.""
As the mothers search around, they discover that their babies are alive and locked in cages, with colored clips that are matched to a colored tag sewn inside their true mother's abdomen. The only way to match the mother to the child is to remove the tag from their abdomens, which will lead to death by blood loss. One of the mothers decides the only way to find out which baby is hers is to kill the other women, remove their tag, and find her baby through the process of elimination. One by one, the women are picked off by the crazed mother until Beth catches and fatally injures her. Before she dies, she threatens to drop the remaining tag down a hole unless Beth promises to take care of her baby as well. The woman dies and Beth takes the tag from her hand. She then uses the tags to find the color for her baby. As she returns to find that the babies are no longer in their crib cages, she is knocked out by an unknown assailant.
Beth regains consciousness and finds herself chained to the floor. She sees a Russian couple inspecting her baby and they reveal their scam: prospective parents receive a baby to adopt based on their mother's performance in the warehouse experiment; the winning mother has the strongest child and that child is the one set for adoption. The woman running the operation runs away with Beth's baby. Beth frees herself and confronts her, only to discover that she herself was picked up as a baby from this facility by her adoptive parents. Beth takes her final revenge on the woman and escapes with her child. Months later, she visits the grave site of her biological mother and goes to meet who she believes to be her biological father."	Australian
 C Me Dance	2009	thriller	Greg Robbins	Greg Robbins, Christina DeMarco, Laura Romeo, Peter Kent	The story centers around a teenage girl named Sheri, whose desire is to join the Pittsburgh Ballet Theatre. At 17, fulfilling her dream, she discovers she has a rare blood disease. Sheri rebels against her father and God, causing her father to seek to keep his daughter close to God, to soften her heart, and to live out her dream before dying, all while he anguishes over losing his daughter so young. While praying to God to ask for strength and clear direction for her remaining days, God blesses Sheri so she is able to bring people to Christ against their will.[5]	American
